param,m,l,u,rhat,ess,prior
sigma,0.009342484563960925,0.005360137140404112,0.017291946708581273,1.0001202479420328,124.793506534612,"Uniform(-0.1, 0.1) (narrower)"
sigma,0.009475695296602084,0.005120799043810352,0.018341587852094048,1.0142161525588935,120.91888638459365,"Uniform(-0.3, 0.3) (default)"
sigma,0.00989620856938671,0.005136799579982366,0.018221367110633577,1.013722771430601,126.73885412171846,"Uniform(-1.0, 1.0) (wider)"
