param,m,l,u,rhat,ess,prior
sigma,0.00898164414998563,0.005659878976186823,0.015846843686257994,1.02893698304223,114.20334781542253,Wald interval (default)
sigma,0.009137233601446706,0.005025863731629624,0.01641740725395404,1.0076517295623455,116.40351078980677,"Wald interval, double std dev (wider)"
sigma,0.010051632296339253,0.005350127011923986,0.01771639309253384,1.0102266068427634,136.46288510130353,"Uniform(0, 0.1) (wider)"
