param,m,l,u,rhat,ess,prior
sigma,0.009456287646188373,0.005333865258675405,0.01566216192316706,1.014372577776696,104.0277479133882,"Uniform(0, 0.2) (default)"
sigma,0.008637486968518274,0.005259102249989023,0.014696321384348973,1.0030078053101041,111.37833844297279,"Uniform(0, 1.0) (wider)"
sigma,0.009645516898792103,0.0053469240414378595,0.016354084845209758,1.0032656150550001,109.49162041460774,"HalfCauchy(0, 100) (uninformative)"
