days_since_infection,median,lower_95,upper_95
22.8,0.747830714,0.71423677,0.778331932
22.9,0.744832268,0.710789358,0.775731098
23,0.74179068,0.707323291,0.773051302
23.1,0.738729086,0.703843614,0.770323367
23.2,0.735623116,0.700194081,0.767626462
23.3,0.732524431,0.696546108,0.764851384
23.4,0.729318603,0.692827702,0.762068348
23.5,0.726104192,0.689135169,0.759238126
23.6,0.722862984,0.68540494,0.75644971
23.7,0.719545322,0.681646337,0.753590121
23.8,0.716209662,0.677855718,0.750707926
23.9,0.712832834,0.674005127,0.747800996
24,0.709444276,0.670102282,0.744816947
24.1,0.705991645,0.666096187,0.741825316
24.2,0.702481598,0.66200255,0.738768481
24.3,0.698924495,0.657952832,0.735652891
24.4,0.695323587,0.653878452,0.732586768
24.5,0.69169217,0.649726571,0.72941014
24.6,0.688015232,0.645444911,0.726230926
24.7,0.684270081,0.641137751,0.723020427
24.8,0.680505361,0.636723655,0.719790505
24.9,0.676700766,0.632334911,0.716508262
25,0.672872093,0.627902941,0.713171341
25.1,0.668988717,0.623447546,0.709769205
25.2,0.665060391,0.618915201,0.706404354
25.3,0.66108305,0.61438298,0.703011682
25.4,0.657031892,0.609822843,0.699535601
25.5,0.652979413,0.605064459,0.695983443
25.6,0.648866115,0.600418592,0.692456115
25.7,0.644739441,0.595656623,0.688878079
25.8,0.640572532,0.590864368,0.685276577
25.9,0.636372042,0.586004234,0.681680334
26,0.632077197,0.581073477,0.678071717
26.1,0.6277691,0.576165369,0.674328793
26.2,0.623419765,0.571248224,0.670580659
26.3,0.619010992,0.566232342,0.666809976
26.4,0.614623982,0.561176513,0.662961972
26.5,0.610156045,0.556101046,0.659105343
26.6,0.60563201,0.550968159,0.655175451
26.7,0.601075513,0.545879089,0.651210184
26.8,0.596502414,0.540795331,0.647205955
26.9,0.59190046,0.535591352,0.643188167
27,0.58724828,0.530358531,0.639149292
27.1,0.582547805,0.525072619,0.635031796
27.2,0.577861389,0.51964632,0.630972007
27.3,0.57309885,0.514402065,0.626821241
27.4,0.568282408,0.508802,0.622634502
27.5,0.563464591,0.503239475,0.618413673
27.6,0.55861805,0.497802913,0.614145036
27.7,0.553765788,0.492199227,0.610018278
27.8,0.54882435,0.486807541,0.605776147
27.9,0.543887527,0.481164437,0.60150584
28,0.538866103,0.475675194,0.597118461
28.1,0.533863824,0.470013397,0.592747405
28.2,0.528785059,0.464362725,0.588296898
28.3,0.523722327,0.458760874,0.583848522
28.4,0.518635851,0.453236709,0.579369607
28.5,0.513521328,0.447587805,0.574915146
28.6,0.508417013,0.442047435,0.570343161
28.7,0.503275347,0.436367009,0.565710222
28.8,0.498059798,0.430775957,0.561212843
28.9,0.492857756,0.425140601,0.556522244
29,0.487604948,0.419494677,0.551713958
29.1,0.482385446,0.413861962,0.546963866
29.2,0.477115603,0.408111911,0.542232605
29.3,0.471802166,0.402399985,0.537457686
29.4,0.466469739,0.396608579,0.53276126
29.5,0.461153949,0.390990156,0.527862918
29.6,0.45579701,0.385419258,0.523077723
29.7,0.450467059,0.379761012,0.518258551
29.8,0.445124198,0.373930239,0.513407285
29.9,0.43975027,0.368287945,0.508569089
30,0.434392876,0.362599289,0.503625017
30.1,0.429048898,0.357016481,0.49864893
30.2,0.423727857,0.351499889,0.493797399
30.3,0.418381046,0.346022842,0.488803187
30.4,0.412988287,0.340458959,0.483907941
30.5,0.407563674,0.334918138,0.478971067
30.6,0.402251743,0.3294864,0.473983399
30.7,0.396911639,0.323951002,0.468993954
30.8,0.391530118,0.318438199,0.464111783
30.9,0.386200283,0.312953621,0.458990279
31,0.380856772,0.307562661,0.45395657
31.1,0.375527834,0.302154844,0.44893506
31.2,0.370181598,0.296855118,0.44392314
31.3,0.36483379,0.291475849,0.438929114
31.4,0.359553439,0.286108187,0.433906096
31.5,0.354230235,0.280845132,0.42889558
31.6,0.348959348,0.275504142,0.423857716
31.7,0.343705958,0.270333017,0.418822853
31.8,0.338476989,0.265241878,0.413916666
31.9,0.333219231,0.260235677,0.408783419
32,0.328004267,0.255307324,0.403753324
32.1,0.322802549,0.250370278,0.398809638
32.2,0.317675282,0.245507785,0.393802072
32.3,0.312594138,0.240633947,0.388716668
32.4,0.307490523,0.23577813,0.383704462
32.5,0.30242572,0.230928803,0.378738113
32.6,0.297409263,0.226232837,0.373593321
32.7,0.292392725,0.221546557,0.368539939
32.8,0.2874503,0.216830927,0.36365253
32.9,0.282532482,0.212184486,0.358727294
33,0.277630351,0.207778412,0.353859036
33.1,0.272743878,0.203315481,0.34893265
33.2,0.267917431,0.198901145,0.344121738
33.3,0.263127904,0.19450746,0.339217404
33.4,0.25837305,0.190136596,0.334312006
33.5,0.253662359,0.185872598,0.329479849
33.6,0.249000089,0.181695361,0.324589952
33.7,0.244352289,0.177563662,0.319804076
33.8,0.239798287,0.173459267,0.315031877
33.9,0.235249286,0.169398231,0.3102698
34,0.230791654,0.165509348,0.305502768
34.1,0.226333089,0.161600752,0.300750605
34.2,0.221952853,0.157790818,0.29601845
34.3,0.217616741,0.153982708,0.291368279
34.4,0.2133177,0.150302228,0.286796866
34.5,0.209074402,0.146636179,0.282105344
34.6,0.204862121,0.143068244,0.277596584
34.7,0.200682684,0.139542883,0.27296975
34.8,0.196574177,0.136118419,0.268556876
34.9,0.192511291,0.132718514,0.264085465
35,0.188495881,0.129321785,0.259603788
35.1,0.184533302,0.126024967,0.255268316
35.2,0.180615694,0.122781476,0.250844721
35.3,0.176746583,0.119590493,0.246600591
35.4,0.172953876,0.116479434,0.242385982
35.5,0.169178032,0.113430016,0.238197871
35.6,0.165471575,0.110441604,0.233998455
35.7,0.16183872,0.107547824,0.229758821
35.8,0.158228321,0.104708302,0.225587074
35.9,0.154690559,0.101908713,0.221449943
36,0.151208046,0.099177121,0.217460367
36.1,0.147793047,0.096485768,0.213465555
36.2,0.144427283,0.093821646,0.209554775
