"variable","mean","median","sd","lower","upper","rhat","ess_bulk","iter","simulation","method","fitAttempts"
"Y_hat[9]",-4.74201047777778,-4.742835,0.0584158702845921,-4.85359625,-4.629523,1.00542672427503,918.930558573617,5,"Steyn","Eales",1
"Y_hat[10]",-4.76821775555556,-4.7699,0.0577280728980156,-4.8776495,-4.6556565,1.00748951514203,893.230878815299,5,"Steyn","Eales",1
"Y_hat[11]",-4.79324826666667,-4.793645,0.0573664367820793,-4.903886,-4.6811935,1.00757714483741,882.059839742125,5,"Steyn","Eales",1
"Y_hat[12]",-4.81714373333333,-4.81505,0.0571474530300911,-4.92564025,-4.704087,1.00327328257391,881.172694203121,5,"Steyn","Eales",1
"Y_hat[13]",-4.83999701111111,-4.83954,0.0570912016841829,-4.95003875,-4.72788775,1.00375095619953,891.526952632319,5,"Steyn","Eales",1
"Y_hat[14]",-4.86191138888889,-4.86161,0.0572328947702831,-4.97173225,-4.7501145,1.00405734676091,914.390518178516,5,"Steyn","Eales",1
"Y_hat[15]",-4.88298976666667,-4.88261,0.0575141542152509,-4.99417675,-4.76954625,1.00446550651121,925.555887546408,5,"Steyn","Eales",1
"Y_hat[16]",-4.90333458888889,-4.90239,0.0577935951467507,-5.01543875,-4.79025375,1.00458355590166,873.257365683918,5,"Steyn","Eales",1
"Y_hat[17]",-4.92303101111111,-4.922535,0.0579862893078814,-5.0351605,-4.8111555,1.00462890594407,887.748786794024,5,"Steyn","Eales",1
"Y_hat[18]",-4.94211685555556,-4.94228,0.0581953904749027,-5.05563175,-4.8271035,1.00452480181245,923.525778291366,5,"Steyn","Eales",1
"Y_hat[19]",-4.96062157777778,-4.961585,0.0585113040461294,-5.07324575,-4.83956325,1.00407047284756,990.704939816323,5,"Steyn","Eales",1
"Y_hat[20]",-4.97857566666667,-4.98082,0.0589160595572091,-5.089167,-4.85306475,1.00366166912875,1009.24293823884,5,"Steyn","Eales",1
"Y_hat[21]",-4.9960088,-4.997875,0.059297657657577,-5.10769825,-4.86848675,1.00315257814642,1048.07069806932,5,"Steyn","Eales",1
"Y_hat[22]",-5.01295663333333,-5.01499,0.0596037045595156,-5.12851,-4.884062,1.00304207448729,1043.3658787555,5,"Steyn","Eales",1
"Y_hat[23]",-5.02946715555556,-5.031045,0.0599548809269213,-5.14242525,-4.89963,1.00236521928987,1044.1690554465,5,"Steyn","Eales",1
"Y_hat[24]",-5.04558877777778,-5.048665,0.0604138729588701,-5.1583665,-4.91626725,1.00159610550546,1032.59652556372,5,"Steyn","Eales",1
"Y_hat[25]",-5.06137121111111,-5.06445,0.0609096566495827,-5.17413225,-4.9335435,1.00107931487736,1021.98102040794,5,"Steyn","Eales",1
"Y_hat[26]",-5.07686273333333,-5.078575,0.061276442432573,-5.18699125,-4.94644025,1.000509532321,1004.58202527812,5,"Steyn","Eales",1
"Y_hat[27]",-5.09209448888889,-5.09463,0.0614418893357332,-5.202613,-4.96326275,1.00002601882511,1016.55136779717,5,"Steyn","Eales",1
"Y_hat[28]",-5.10706041111111,-5.10871,0.0615477797084412,-5.2145725,-4.97926425,0.999726117486055,1020.89002806226,5,"Steyn","Eales",1
"Y_hat[29]",-5.1217507,-5.12445,0.0617121652007912,-5.231841,-4.99357475,0.999464034017533,1032.52228538792,5,"Steyn","Eales",1
"Y_hat[30]",-5.13615551111111,-5.137085,0.0619435154275285,-5.2502975,-5.0072295,0.999216883735483,1074.0474420844,5,"Steyn","Eales",1
"Y_hat[31]",-5.15026498888889,-5.150665,0.0621595661160285,-5.26549075,-5.02560825,0.999477711533393,1096.99599914731,5,"Steyn","Eales",1
"Y_hat[32]",-5.16405714444444,-5.16404,0.0623549006877478,-5.2810445,-5.03947225,1.00108510395112,1145.03500986423,5,"Steyn","Eales",1
"Y_hat[33]",-5.17749107777778,-5.176395,0.062657550458238,-5.29989825,-5.05209275,1.00285671472923,1149.53408032358,5,"Steyn","Eales",1
"Y_hat[34]",-5.19052245555556,-5.188935,0.0631008440037516,-5.31589275,-5.0633425,1.00450921774875,1156.98218885896,5,"Steyn","Eales",1
"Y_hat[35]",-5.20310857777778,-5.201135,0.0635654198915097,-5.331906,-5.074347,1.00582389897344,1168.8886772407,5,"Steyn","Eales",1
"Y_hat[36]",-5.21520537777778,-5.213445,0.0638365380253749,-5.34238,-5.090725,1.00452510673849,1190.41730640821,5,"Steyn","Eales",1
"Y_hat[37]",-5.22674888888889,-5.224275,0.0638487722304669,-5.35203725,-5.106278,1.00405486066204,1169.08212092547,5,"Steyn","Eales",1
"Y_hat[38]",-5.2376461,-5.2352,0.0637727643336676,-5.36506425,-5.118961,1.00332113177165,1156.86971734929,5,"Steyn","Eales",1
"Y_hat[39]",-5.24780168888889,-5.244235,0.0637365248698401,-5.37579,-5.12847725,1.0031503699227,1145.54585793877,5,"Steyn","Eales",1
"Y_hat[40]",-5.25711986666667,-5.253165,0.0637449450807002,-5.38116,-5.13956825,1.00267478402034,1135.84837091609,5,"Steyn","Eales",1
"Y_hat[41]",-5.26550695555556,-5.26249,0.0637132327899417,-5.390811,-5.15038125,1.00179704241602,1133.30349645692,5,"Steyn","Eales",1
"Y_hat[42]",-5.27294984444444,-5.27327,0.0636637987333756,-5.397514,-5.158822,1.00101002380264,1126.87798246017,5,"Steyn","Eales",1
"Y_hat[43]",-5.27953965555556,-5.28082,0.0637531959825563,-5.40378575,-5.16203575,0.999898951066043,1116.33001508613,5,"Steyn","Eales",1
"Y_hat[44]",-5.2853742,-5.28568,0.0640337898349564,-5.409497,-5.16534375,0.998925864205152,1111.08713932766,5,"Steyn","Eales",1
"Y_hat[45]",-5.29055095555556,-5.29163,0.0643912727228455,-5.415232,-5.169144,0.999389169389106,1103.2763903616,5,"Steyn","Eales",1
"Y_hat[46]",-5.29516698888889,-5.295265,0.0646062484618271,-5.4210075,-5.17306625,0.999483757003954,1098.62884624764,5,"Steyn","Eales",1
"Y_hat[47]",-5.29928395555556,-5.297885,0.0646322622916859,-5.42456625,-5.1771825,0.999297094385917,1089.78530005884,5,"Steyn","Eales",1
"Y_hat[48]",-5.30292215555556,-5.302035,0.064637089567368,-5.43059625,-5.1806665,0.998756269887273,1076.12792297555,5,"Steyn","Eales",1
"Y_hat[49]",-5.30610103333333,-5.30489,0.0647242537140603,-5.436026,-5.184496,0.998620846794092,1062.77115155222,5,"Steyn","Eales",1
"Y_hat[50]",-5.30883916666667,-5.306785,0.0648564255311314,-5.44058175,-5.182848,0.999176478994585,1047.9773263118,5,"Steyn","Eales",1
"Y_hat[51]",-5.31115378888889,-5.309045,0.0648970889960067,-5.44189575,-5.18670125,0.999755752321535,1029.71990033439,5,"Steyn","Eales",1
"Y_hat[52]",-5.31301954444444,-5.31027,0.0648286570042927,-5.44259125,-5.1864255,1.00034458936574,1023.08380184376,5,"Steyn","Eales",1
"Y_hat[53]",-5.31436894444444,-5.31362,0.0647778153834154,-5.43934875,-5.189516,1.00083048412403,1012.32619270083,5,"Steyn","Eales",1
"Y_hat[54]",-5.3151332,-5.314965,0.0648064413604578,-5.439959,-5.19012475,1.00142849090149,1006.57493313466,5,"Steyn","Eales",1
"Y_hat[55]",-5.31524257777778,-5.31525,0.064865751339177,-5.443117,-5.18929475,1.00186007764576,1007.44280513392,5,"Steyn","Eales",1
"Y_hat[56]",-5.31463093333333,-5.31545,0.0648457820839402,-5.446648,-5.18811475,1.00193231166821,1004.90420871256,5,"Steyn","Eales",1
"Y_hat[57]",-5.31328748888889,-5.31503,0.064767565095959,-5.4472315,-5.185975,1.00368729174213,1002.45929716794,5,"Steyn","Eales",1
"Y_hat[58]",-5.31124987777778,-5.312985,0.0647576730288703,-5.44168375,-5.1868495,1.00514075138547,995.197240677196,5,"Steyn","Eales",1
"Y_hat[59]",-5.30855724444444,-5.31004,0.0648615145713347,-5.4366745,-5.1846845,1.00707794718428,993.011993692144,5,"Steyn","Eales",1
"Y_hat[60]",-5.30524926666667,-5.30606,0.0650114758288912,-5.43402825,-5.17730525,1.00843619064215,996.404902188283,5,"Steyn","Eales",1
"Y_hat[61]",-5.3013695,-5.302965,0.0651045083802141,-5.4359455,-5.1709555,1.00999181046216,1005.50198598115,5,"Steyn","Eales",1
"Y_hat[62]",-5.29703152222222,-5.296125,0.0652269260052988,-5.4334675,-5.16712675,1.00928548565646,1028.86724010854,5,"Steyn","Eales",1
"Y_hat[63]",-5.29240278888889,-5.2918,0.0655442786855513,-5.43083225,-5.16160825,1.00702326785491,1053.84503548528,5,"Steyn","Eales",1
"Y_hat[64]",-5.28765174444444,-5.28758,0.0660683487851148,-5.42678625,-5.1550815,1.00363507582399,1063.19705537534,5,"Steyn","Eales",1
"Y_hat[65]",-5.28294652222222,-5.28276,0.0666200829418889,-5.41954975,-5.14985525,1.00210734571765,1075.36138025438,5,"Steyn","Eales",1
"Y_hat[66]",-5.27844767777778,-5.27773,0.0669342690008741,-5.41785725,-5.1454785,1.00117286359444,1080.14182629756,5,"Steyn","Eales",1
"Y_hat[67]",-5.27421191111111,-5.273395,0.0669676001758911,-5.412157,-5.142033,1.00105903922992,1074.25130650252,5,"Steyn","Eales",1
"Y_hat[68]",-5.27022701111111,-5.26836,0.0668487815883293,-5.4064345,-5.140063,1.00067259618473,1126.0254141412,5,"Steyn","Eales",1
"Y_hat[69]",-5.26647874444444,-5.26616,0.0666647507430764,-5.40191125,-5.1361765,1.00007854088623,1129.4452013071,5,"Steyn","Eales",1
"Y_hat[70]",-5.26295384444444,-5.26222,0.0664220040642669,-5.3998605,-5.1344295,0.999570128245011,1117.33006901894,5,"Steyn","Eales",1
"Y_hat[71]",-5.25962218888889,-5.25734,0.066114989408289,-5.39309775,-5.1288795,0.99984051683708,1095.91889903476,5,"Steyn","Eales",1
"Y_hat[72]",-5.25629045555556,-5.254215,0.0659551432737726,-5.386583,-5.1276005,0.998657559176196,1076.76486900214,5,"Steyn","Eales",1
"Y_hat[73]",-5.25266845555556,-5.248975,0.0662071967156489,-5.38260975,-5.12405375,0.999139966976221,1049.44515510372,5,"Steyn","Eales",1
"Y_hat[74]",-5.24846483333333,-5.24499,0.0669500510231903,-5.3840415,-5.1178075,0.999445586976362,1006.32516972559,5,"Steyn","Eales",1
"Y_hat[75]",-5.24338821111111,-5.238055,0.0680402356149361,-5.38641025,-5.1096855,0.998973129314876,972.642969131273,5,"Steyn","Eales",1
"Y_hat[76]",-5.2371546,-5.233495,0.0692073973117411,-5.380451,-5.1023465,0.998837002744467,923.039657159458,5,"Steyn","Eales",1
"Y_hat[77]",-5.22954118888889,-5.225635,0.0703246449745645,-5.3746565,-5.09277775,0.99938668879924,887.192377053177,5,"Steyn","Eales",1
"Y_hat[78]",-5.22035813333333,-5.216805,0.0713282861553213,-5.36680775,-5.08270525,0.999939159164107,864.481012611893,5,"Steyn","Eales",1
"Y_hat[79]",-5.20941471111111,-5.206105,0.0720683030768055,-5.35784125,-5.070083,1.00050690319261,836.662891386312,5,"Steyn","Eales",1
"Y_hat[80]",-5.19652116666667,-5.19451,0.072313803222187,-5.34300525,-5.0556135,1.00075643455133,820.250216699938,5,"Steyn","Eales",1
"Y_hat[81]",-5.18151632222222,-5.181485,0.0718655573016792,-5.32562375,-5.04197375,1.00090019473268,817.671697622011,5,"Steyn","Eales",1
"Y_hat[82]",-5.16445434444444,-5.16445,0.0708433202130827,-5.30443325,-5.027338,1.00057857854961,826.397826870074,5,"Steyn","Eales",1
"Y_hat[83]",-5.14548644444444,-5.146165,0.0695145904709584,-5.28324025,-5.01133875,1.00043014185117,848.255382266648,5,"Steyn","Eales",1
"Y_hat[84]",-5.12476371111111,-5.124655,0.0680852099522611,-5.26150925,-4.9959905,1.00006115616951,886.683886952891,5,"Steyn","Eales",1
"Y_hat[85]",-5.10243773333333,-5.101465,0.0666562727069686,-5.232778,-4.97674675,0.999775230735144,943.955813365321,5,"Steyn","Eales",1
"Y_hat[86]",-5.07866766666667,-5.078845,0.0652809917083102,-5.2084815,-4.9530605,1.00043753899073,1007.86287791708,5,"Steyn","Eales",1
"Y_hat[87]",-5.05366346666667,-5.05466,0.0641795799756853,-5.18665475,-4.930806,1.0014675220029,1082.87467335331,5,"Steyn","Eales",1
"Y_hat[88]",-5.02765475555556,-5.026835,0.063610005569134,-5.160816,-4.90169675,1.00243369561507,1148.68995628404,5,"Steyn","Eales",1
"Y_hat[89]",-5.0008715,-4.99936,0.06370237050956,-5.12708775,-4.88197475,1.00420382051784,1151.57304165413,5,"Steyn","Eales",1
"Y_hat[90]",-4.97354291111111,-4.97345,0.064426539612348,-5.10022675,-4.85262675,1.005146624906,1141.68573057055,5,"Steyn","Eales",1
"Y_hat[91]",-4.94587977777778,-4.94433,0.06567978637377,-5.073248,-4.8176885,1.0059185756425,1097.80691303971,5,"Steyn","Eales",1
"Y_hat[92]",-4.91798833333333,-4.915395,0.0674824974539705,-5.045471,-4.788338,1.00912145612275,1037.17872524355,5,"Steyn","Eales",1
"Y_hat[93]",-4.88993916666667,-4.887505,0.0698985688456389,-5.02903425,-4.75619275,1.01070773655656,971.683478232662,5,"Steyn","Eales",1
"Y_hat[94]",-4.86180353333333,-4.85919,0.0729568704868784,-5.0116345,-4.72317825,1.01109156638932,903.814602396802,5,"Steyn","Eales",1
"Y_hat[95]",-4.8336523,-4.832335,0.076681414938954,-4.99355025,-4.69152875,1.01268616953161,870.945217770229,5,"Steyn","Eales",1
