"value","t","variable","iter"
0.023727161072617,1,"Pt",1
0.0248047719701691,2,"Pt",1
0.0260901877164351,3,"Pt",1
0.0275970140469179,4,"Pt",1
0.0293412857752855,5,"Pt",1
0.031341257659983,6,"Pt",1
0.0335968872115743,7,"Pt",1
0.0360291588143283,8,"Pt",1
0.0385148509154516,9,"Pt",1
0.0408963023589958,10,"Pt",1
0.0429833441718977,11,"Pt",1
0.0446217363053975,12,"Pt",1
0.0458367927476481,13,"Pt",1
0.0467092251141506,14,"Pt",1
0.0473372131581308,15,"Pt",1
0.0478298896784617,16,"Pt",1
0.048275272597723,17,"Pt",1
0.0486930339749118,18,"Pt",1
0.0490921070521378,19,"Pt",1
0.0494817533277513,20,"Pt",1
0.049871535142925,21,"Pt",1
0.0502710772459354,22,"Pt",1
0.050689780796943,23,"Pt",1
0.0511372798409025,24,"Pt",1
0.0516235511194689,25,"Pt",1
0.052158984691017,26,"Pt",1
0.0527558709626819,27,"Pt",1
0.0534299382754457,28,"Pt",1
0.054198178602762,29,"Pt",1
0.0550787672711403,30,"Pt",1
0.0560910892530588,31,"Pt",1
0.0572360330213316,32,"Pt",1
0.0584798484406942,33,"Pt",1
0.0597826517595772,34,"Pt",1
0.0611011214230645,35,"Pt",1
0.0623888258246972,36,"Pt",1
0.0636262416457498,37,"Pt",1
0.064838677817075,38,"Pt",1
0.0660573110647034,39,"Pt",1
0.0673156107717834,40,"Pt",1
0.0686479916232276,41,"Pt",1
0.0700343482280121,42,"Pt",1
0.071377557816422,43,"Pt",1
0.0725685712157906,44,"Pt",1
0.0734926045470697,45,"Pt",1
0.0740361199262153,46,"Pt",1
0.0742053766602691,47,"Pt",1
0.0741464057166581,48,"Pt",1
0.0740151514896747,49,"Pt",1
0.0739673189465387,50,"Pt",1
0.0741538824915174,51,"Pt",1
0.0746222425731393,52,"Pt",1
0.0753161782481452,53,"Pt",1
0.076174928735094,54,"Pt",1
0.0771362661506545,55,"Pt",1
0.0781362024412782,56,"Pt",1
0.0791215038235192,57,"Pt",1
0.0800486849892056,58,"Pt",1
0.0808729590540806,59,"Pt",1
0.0815482472076456,60,"Pt",1
0.0820314356708318,61,"Pt",1
0.082334005014409,62,"Pt",1
0.0825107041077044,63,"Pt",1
0.0826185211831045,64,"Pt",1
0.0827150000354134,65,"Pt",1
0.0828509116300273,66,"Pt",1
0.082989782925103,67,"Pt",1
0.0830358429067641,68,"Pt",1
0.0828922117793546,69,"Pt",1
0.082463500638326,70,"Pt",1
0.0816673485028829,71,"Pt",1
0.0805203727834802,72,"Pt",1
0.0790965031555008,73,"Pt",1
0.0774695087392495,74,"Pt",1
0.075710412824793,75,"Pt",1
0.0738858202103994,76,"Pt",1
0.0720545491084871,77,"Pt",1
0.0702690426777605,78,"Pt",1
0.0685770490544796,79,"Pt",1
0.0670220356869067,80,"Pt",1
0.0656359179477208,81,"Pt",1
0.0643906836588754,82,"Pt",1
0.06323512596533,83,"Pt",1
0.0621214222434167,84,"Pt",1
0.0610048374491112,85,"Pt",1
0.0598539263052167,86,"Pt",1
0.0587034765365824,87,"Pt",1
0.0576103405788579,88,"Pt",1
0.056627511441085,89,"Pt",1
0.0558047863885717,90,"Pt",1
0.0551705584646732,91,"Pt",1
0.0546493535756654,92,"Pt",1
0.0541345538628432,93,"Pt",1
0.0535234401992922,94,"Pt",1
0.0527180264128076,95,"Pt",1
0.051656063877321,96,"Pt",1
0.050412831507111,97,"Pt",1
0.0490969284035273,98,"Pt",1
0.0478080674712618,99,"Pt",1
0.0466365486849799,100,"Pt",1
0.0210516487916829,1,"Pt",2
0.0218809815340165,2,"Pt",2
0.0227673263890897,3,"Pt",2
0.0236752239398731,4,"Pt",2
0.0245633684687532,5,"Pt",2
0.0253846468973844,6,"Pt",2
0.0260975069401386,7,"Pt",2
0.026695117273336,8,"Pt",2
0.0271805848633149,9,"Pt",2
0.0275592956505108,10,"Pt",2
0.0278385839374839,11,"Pt",2
0.0280315099337592,12,"Pt",2
0.0281647750465652,13,"Pt",2
0.0282684053558077,14,"Pt",2
0.028373052367219,15,"Pt",2
0.0285098192794951,16,"Pt",2
0.0287001445440142,17,"Pt",2
