"variable","mean","median","sd","lower","upper","rhat","ess_bulk"
"lp__",-73265.4831111111,-73265.3,6.0668855628384,-73277.5575,-73254.7,1.00546069362734,252.231858327542
"a_raw[1]",-4.63042073333333,-4.667965,1.10355206011631,-6.7557955,-2.40158975,1.00056443986314,834.445928388551
"a_raw[2]",-4.68569565555556,-4.700735,0.800226139731641,-6.3023755,-3.08819125,1.00305752285319,797.826696075004
"a_raw[3]",-0.0275782879888889,0.0158987,0.942802280970118,-1.92734425,1.82669,1.00200253139966,1470.14773794815
"a_raw[4]",0.00807720360999996,0.02106795,0.996798416656755,-1.862516,1.8909145,1.00163311448195,2577.35768820974
"a_raw[5]",0.0366570646555555,0.02959855,0.995614162591537,-1.8256855,2.03696775,1.00292730347319,1186.00745965453
"a_raw[6]",0.0589049020222222,0.06771065,0.971307871848988,-1.8087,1.89581875,1.00404079300001,1486.72465190026
"a_raw[7]",0.481002092344445,0.4829285,0.931288840830085,-1.3611635,2.3658325,1.00316793003286,1227.3260070142
"a_raw[8]",0.389141874144444,0.3779805,0.854175556444382,-1.2010955,2.0094865,1.00272829392818,1765.39344338873
"a_raw[9]",0.319811281166667,0.305026,0.838718081466075,-1.289409,2.05672575,0.998913351863295,1686.79637701048
"a_raw[10]",0.280839625358889,0.3099395,0.83637133764877,-1.49624325,1.93182325,1.00218482724176,1474.9439556403
"a_raw[11]",0.0362921474111111,0.01921315,0.837216348796224,-1.584809,1.70776475,1.00559074416541,1390.19995360032
"a_raw[12]",-0.203403798737778,-0.197621,0.919699804484941,-2.09950525,1.61392775,1.00401903997297,1292.4419682283
"a_raw[13]",-0.507065446263667,-0.4975565,0.854640021327199,-2.17731325,1.08448425,1.00225241586006,1260.05733053846
"a_raw[14]",-0.849558691524444,-0.8399295,0.770537368969403,-2.3944585,0.59368895,1.0007379040878,1387.88444358211
"a_raw[15]",-0.910716665387778,-0.87534,0.827218134126087,-2.55592925,0.672026474999999,1.0035365255805,1339.75134163337
"a_raw[16]",0.302625708964444,0.2797765,0.787151652008027,-1.22354875,1.8319935,1.01581336382332,1227.85750412265
"a_raw[17]",0.605840358505556,0.597472,0.829162128429661,-0.956571025,2.1789515,1.00302044431314,1135.39928974251
"a_raw[18]",0.371977975147778,0.320264,0.887109192672754,-1.307551,2.1264345,0.998909085611686,1211.96404940714
"a_raw[19]",0.144076932951111,0.0910433,0.963815074030689,-1.72086275,2.068838,1.01175375727689,1408.29232380691
"a_raw[20]",-0.0579371511222222,-0.04447065,0.891138355215585,-1.88316825,1.6379645,1.00641023417759,1750.72798145706
"a_raw[21]",-0.256882224951111,-0.225762,0.825054060542456,-1.8235225,1.3388165,0.999322209398064,1167.63840888398
"a_raw[22]",0.116616223,0.1447175,0.782903762812529,-1.376712,1.61561125,0.999706246917704,1267.35024476862
