"variable","mean","median","sd","lower","upper","rhat","ess_bulk"
"lp__",-73260.6732222222,-73260.7,6.89252667584659,-73273.8,-73246.6475,1.05113889083047,67.271062190414
"a_raw[1]",-4.38299116288889,-4.430435,1.41275070553447,-7.08503525,-1.37881325,1.01978593601426,279.229983972777
"a_raw[2]",-4.49515927777778,-4.526405,1.00120172899436,-6.40475575,-2.418441,1.01613394494372,280.013808725891
"a_raw[3]",-0.00555997845444443,0.0323571,0.971447460173083,-1.9111695,1.83468425,1.00180293358574,965.901886309123
"a_raw[4]",0.0174629410111111,0.04263565,0.98851446898425,-1.86361125,1.967349,1.00153459404048,659.254336239389
"a_raw[5]",-0.0492828426222222,-0.04327835,0.980968748005096,-1.93336575,1.73154175,1.00710426894501,784.337775301166
"a_raw[6]",0.0845436736888889,0.0988278,0.968047989393973,-1.862143,2.0046955,1.00669431524005,846.695321230956
"a_raw[7]",0.669837459092222,0.6957445,0.818080653015185,-0.9002779,2.2152735,1.00595718798258,720.08534643355
"a_raw[8]",0.206991279888889,0.2040395,0.723278772394984,-1.18950325,1.6385,1.00263568857594,734.119973610812
"a_raw[9]",0.0851282407411111,0.06904255,0.821493775106262,-1.47775175,1.66525275,1.00072188779454,524.648140723326
"a_raw[10]",0.3877852331,0.3814215,0.804216608539296,-1.14616675,1.9611975,1.00699449337648,430.196581800478
"a_raw[11]",0.0781010564997778,0.0693575,0.902600024773318,-1.702938,1.891404,1.00899953775981,545.784840499744
"a_raw[12]",-0.0566830973417778,-0.03550775,0.901627443887947,-1.7933155,1.73050925,1.00310947658463,586.427996648108
"a_raw[13]",-0.38897845418,-0.429027,0.87601913150518,-2.0740005,1.376503,1.02555562281035,426.196789638031
"a_raw[14]",-0.867290497433333,-0.882431,0.780234652997847,-2.4079435,0.6564418,1.00139909479808,507.054581397873
"a_raw[15]",-0.997870392877778,-0.97658,0.724701488310099,-2.468395,0.47954075,1.00831935642247,358.456158761385
"a_raw[16]",0.680442831933333,0.709667,0.687047369687582,-0.685872575,1.96678175,1.011597532161,473.286679572551
"a_raw[17]",0.704206488648889,0.720831,0.721848986074291,-0.675315975,2.082247,1.00701690132712,370.156382061215
"a_raw[18]",0.170437227367778,0.1565815,0.802711594092104,-1.45619475,1.63741125,1.00206455292788,544.2962153041
"a_raw[19]",0.00103891100222222,0.00130851,0.885630729663963,-1.84231925,1.7745405,1.02614620612459,214.829162042131
"a_raw[20]",-0.222059924311111,-0.208332,0.863904400465669,-1.9137045,1.5059075,1.00746397497077,411.496932504113
"a_raw[21]",-0.406859629488889,-0.4187725,0.73400871065189,-1.8190575,0.925895475,1.00691537773125,439.612775574001
"a_raw[22]",0.2993408998,0.295166,0.76883178375687,-1.18786325,1.876726,1.00829204754137,318.013732748194
"a_raw[23]",0.550608094858889,0.515454,0.736383338290894,-0.791149575,2.00783425,1.01677152475039,223.5146762374
"a_raw[24]",0.755761319102222,0.7483635,0.723905122064731,-0.580238175,2.317363,1.00458666510931,345.815037157371
"a_raw[25]",0.744002349366667,0.75397,0.778866480532915,-0.811190075,2.25687575,1.00639117901448,473.802973174492
