"variable","mean","median","sd","lower","upper","rhat","ess_bulk"
"lp__",-73344.5443333333,-73343.7,11.3516607351547,-73368.505,-73322.9475,1.00184043942678,273.395489816661
"a_raw[1]",-4.82060351111111,-4.82205,0.266750210791674,-5.3185295,-4.297624,1.00990456478281,760.925803672897
"a_raw[2]",-4.83052067777778,-4.823125,0.231599636730237,-5.271893,-4.38603525,1.00596899014141,760.185662524289
"a_raw[3]",-0.0418811802214444,-0.04244745,1.07523033099495,-2.14210875,2.04405525,1.00426116231381,1801.56198871905
"a_raw[4]",0.0712685722911111,0.06940335,0.973103122621137,-1.8254415,2.14140875,1.00524815149099,1843.47335039074
"a_raw[5]",0.0284284950444444,0.067808,1.00378381118747,-1.934496,1.9117255,1.00465899571895,2368.89670256284
"a_raw[6]",-0.0422676436333333,-0.05548955,0.967399919829114,-1.97853525,1.950993,1.00883463419991,2055.3598843346
"a_raw[7]",0.0235790739222222,0.004378445,1.04475089498376,-2.05900275,1.98093925,1.00692895335792,1807.95769972595
"a_raw[8]",0.0275152169055556,0.02209905,1.06310833724531,-2.0331005,2.1177915,0.999682267030772,1099.91889353833
"a_raw[9]",0.160731037785556,0.155596,0.97794997297431,-1.8003515,2.01599425,1.00436192693558,1443.2766346253
"a_raw[10]",0.227047286162778,0.213612,0.992475387305845,-1.66970325,2.18003075,1.0050176401671,1879.92005931996
"a_raw[11]",0.211330609744444,0.2290995,0.927824691565852,-1.52895575,1.94146825,0.99984705445291,1346.92468350479
"a_raw[12]",0.23873345242,0.200255,0.978113835312344,-1.70465875,2.39793425,1.00048117929802,1878.26741471417
"a_raw[13]",0.218150951916111,0.258,0.950369579345726,-1.7451215,1.95379125,1.0027592005439,2402.27567362174
"a_raw[14]",0.1810256067,0.1438275,0.978831183602368,-1.7582195,2.11626525,1.01528074003938,1728.39303475022
"a_raw[15]",0.14190541419,0.1098385,0.957874280157104,-1.54754025,2.12677575,0.999471798059726,1267.39556331162
"a_raw[16]",0.136087910071111,0.157635,0.997229789136904,-1.8375305,2.0774065,1.0122605487567,2658.81825849539
"a_raw[17]",0.17229337258,0.2042375,0.975559699312949,-1.71913075,2.07494375,1.00049084254821,1320.36280735213
"a_raw[18]",0.189382740444444,0.2012915,0.928911870490232,-1.777587,1.96004525,1.00045869561883,1842.50373915521
"a_raw[19]",0.142648480744444,0.139829,0.973094628923298,-1.7862835,2.11959625,1.00010202769856,1472.01455349399
"a_raw[20]",0.090752419178889,0.0787815,0.965128866109716,-1.695058,1.935551,1.00615307750877,1327.56954663572
"a_raw[21]",0.101817612907778,0.08050995,0.956039387452206,-1.790825,1.95240275,1.00325663262851,1529.42092777232
"a_raw[22]",0.146540361714444,0.1201045,0.939471170962693,-1.5481755,1.960582,1.01361293006553,1302.57870327631
"a_raw[23]",0.150846840177778,0.1384115,0.999954874134933,-1.767342,2.12254675,1.00230011225298,2658.81825849539
"a_raw[24]",0.195210167142222,0.189008,0.933902157196357,-1.59402075,2.00847725,1.00096571466276,1145.09597880449
"a_raw[25]",0.127365314514444,0.07954375,0.961790489875245,-1.7280935,2.05392575,0.999687738170964,1553.97233800778
"a_raw[26]",0.115506985961111,0.120386,0.911566015566331,-1.63126875,1.88489075,1.00130358165463,2098.77106068574
"a_raw[27]",0.12542565031,0.138237,0.980801098876741,-1.82941625,2.01461575,1.00140177903708,1975.66243330327
"a_raw[28]",0.0940710068011111,0.0761898,0.983297389666813,-1.71305925,2.0176675,1.00224614752718,1762.60244146017
"a_raw[29]",0.0723988496397778,0.09173055,0.931823783707653,-1.8189975,1.884621,1.00878216346061,1844.24743576478
"a_raw[30]",0.0388129618444444,0.03465535,0.993403077215364,-1.9043055,2.12258175,1.01386659823761,2210.08701509702
"a_raw[31]",0.0279350380833334,0.00115646,0.974217070308132,-1.85957,2.0254855,1.00400487243162,2510.68079860669
"a_raw[32]",-0.0525151030977778,-0.0457972,0.975774726713688,-2.00313225,1.83066225,1.00332625409263,1771.25250537332
"a_raw[33]",0.0167553028434445,0.0593097,0.984538966471319,-1.961036,1.962811,1.00036576122899,1471.7818785277
"a_raw[34]",-0.0249066881555556,-0.0262137,1.02093606152081,-2.0472695,2.005009,1.00384705474767,1443.33457224666
"a_raw[35]",-0.1000243807,-0.07042615,1.02149602239634,-2.154004,1.8265005,1.00015366607912,1570.10300410049
"a_raw[36]",-0.1704565279,-0.167774,1.07682314545488,-2.30153425,1.89824425,1.00802184413842,1533.13630665027
"a_raw[37]",-0.113195704933333,-0.12644,1.0235917236652,-2.1429655,1.9219025,1.00479932787811,1279.31633902706
