"param","m","l","u","rhat","ess"
"sigma",0.00965477652571648,0.00392675951176446,0.0194003553432192,1.01896269606993,102.291729447057
"c",2.06616701416039,1.58606022021098,2.71498049884851,1.03784635450479,128.235326331721
