obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,iter,confignum
binomial,1,0.025351943259881923,0.010256760367776485,1000,10,0.01,0.001,1,22
binomial,2,0.013627038850042662,0.010397486300980873,1000,12,0.012,0.001,1,22
binomial,3,0.010694867326775265,0.010509282796237371,1000,8,0.008,0.001,1,22
binomial,4,0.03245965164104832,0.010856007290232284,1000,10,0.01,0.001,1,22
binomial,5,0.047233898093577587,0.0113810818736791,1000,9,0.009,0.001,1,22
binomial,6,0.03463030075096613,0.011782116051113572,1000,13,0.013,0.001,1,22
binomial,7,0.04224338435771484,0.012290494727882424,1000,10,0.01,0.001,1,22
binomial,8,0.055354000054488546,0.012990004502932744,1000,10,0.01,0.001,1,22
binomial,9,0.047098089022761525,0.013616445175865553,1000,16,0.016,0.001,1,22
binomial,10,0.05913729354367551,0.014445971111876184,1000,19,0.019,0.001,1,22
binomial,11,0.06665158053253836,0.015441630485713613,1000,12,0.012,0.001,1,22
binomial,12,0.03151064028269139,0.01593595346484384,1000,13,0.013,0.001,1,22
binomial,13,0.0462250471268533,0.016689884675224205,1000,24,0.024,0.001,1,22
binomial,14,0.05565546386459404,0.01764510295136601,1000,11,0.011,0.001,1,22
binomial,15,0.06679388710313079,0.018863940295718796,1000,16,0.016,0.001,1,22
binomial,16,0.08295803676302843,0.02049559972550239,1000,25,0.025,0.001,1,22
binomial,17,0.08872419885252751,0.022397165583872967,1000,20,0.02,0.001,1,22
binomial,18,0.09366953017038979,0.02459649479039861,1000,19,0.019,0.001,1,22
binomial,19,0.10564171012206999,0.027337124623434513,1000,22,0.022,0.001,1,22
binomial,20,0.05935047021243062,0.02900870986092211,1000,29,0.029,0.001,1,22
binomial,21,0.07643659717964396,0.031312980439508,1000,34,0.034,0.001,1,22
binomial,22,0.045834438532942466,0.032781592731112544,1000,39,0.039,0.001,1,22
binomial,23,0.029981253123296008,0.033779307597542066,1000,25,0.025,0.001,1,22
binomial,24,0.04723903240783456,0.035413299659127095,1000,23,0.023,0.001,1,22
binomial,25,0.04670280903472475,0.03710642945244919,1000,29,0.029,0.001,1,22
binomial,26,0.043446539932900194,0.038754109242184004,1000,40,0.04,0.001,1,22
binomial,27,0.04019882419529693,0.040343714952792625,1000,29,0.029,0.001,1,22
binomial,28,0.02462155447667647,0.041349369514018054,1000,46,0.046,0.001,1,22
binomial,29,0.007217501746228146,0.04164888824896921,1000,30,0.03,0.001,1,22
binomial,30,0.007412189117372189,0.0419587446235842,1000,50,0.05,0.001,1,22
binomial,31,0.005739430093614446,0.04220025631192258,1000,40,0.04,0.001,1,22
binomial,32,-0.0335940753753805,0.04080612608946268,1000,34,0.034,0.001,1,22
binomial,33,-0.02467367772012673,0.03981160854193221,1000,48,0.048,0.001,1,22
binomial,34,-0.005195638070807102,0.039605298253831356,1000,42,0.042,0.001,1,22
binomial,35,-0.030099343391633403,0.03843096674306117,1000,38,0.038,0.001,1,22
binomial,36,-0.03701613012736426,0.03703440813414327,1000,32,0.032,0.001,1,22
binomial,37,-0.01679514813228912,0.036417603921388306,1000,33,0.033,0.001,1,22
binomial,38,-0.011094679916099633,0.03601579535290395,1000,26,0.026,0.001,1,22
binomial,39,-0.025461965748412897,0.035110338676320574,1000,41,0.041,0.001,1,22
binomial,40,-0.021710314282259488,0.034356297046606775,1000,25,0.025,0.001,1,22
binomial,41,-0.024231375310018403,0.03353380205527596,1000,22,0.022,0.001,1,22
binomial,42,-0.016395160609465997,0.03298849241920611,1000,35,0.035,0.001,1,22
binomial,43,-0.032590465022924106,0.03193071250457951,1000,38,0.038,0.001,1,22
binomial,44,-0.019442418383185917,0.03131589833684607,1000,29,0.029,0.001,1,22
binomial,45,-0.022522238088496852,0.030618477438690093,1000,30,0.03,0.001,1,22
binomial,46,-0.024216628304175477,0.02988590714326399,1000,36,0.036,0.001,1,22
binomial,47,-0.0041656650379615495,0.02976167140663455,1000,39,0.039,0.001,1,22
