"t","mean","lower","upper","variable","model","params","iter","confignum"
1,-0.0316737272462503,-0.236622615590176,0.158913534345303,"rt","binomial","estimated",1,20
2,-0.0327263968877457,-0.222453073529335,0.14221111515688,"rt","binomial","estimated",1,20
3,-0.0317403476687493,-0.208140761142991,0.124120823797075,"rt","binomial","estimated",1,20
4,-0.0276114554037886,-0.186752293102137,0.119686348831132,"rt","binomial","estimated",1,20
5,-0.0220490956122429,-0.167101300820869,0.114646166096029,"rt","binomial","estimated",1,20
6,-0.0162548395634273,-0.150092432787666,0.111859115432019,"rt","binomial","estimated",1,20
7,-0.0120037834611773,-0.1413460915368,0.10827671967112,"rt","binomial","estimated",1,20
8,-0.00904672985771452,-0.128288349360415,0.107420488270439,"rt","binomial","estimated",1,20
9,-0.00786792692066239,-0.123474117438226,0.0989410773556835,"rt","binomial","estimated",1,20
10,-0.00437283500149122,-0.118553156643272,0.102200826784576,"rt","binomial","estimated",1,20
11,-0.000128810130861416,-0.111399774859302,0.101966361121767,"rt","binomial","estimated",1,20
12,0.00331564790671807,-0.107818607445309,0.10850039128172,"rt","binomial","estimated",1,20
13,0.00867849216730277,-0.101092833168262,0.117491297653143,"rt","binomial","estimated",1,20
14,0.0139921931985548,-0.088904378149957,0.125370092647857,"rt","binomial","estimated",1,20
15,0.0181822763564481,-0.0878849920615305,0.132437544022945,"rt","binomial","estimated",1,20
16,0.0216638209644357,-0.0796750606094091,0.131398927458405,"rt","binomial","estimated",1,20
17,0.0235900028160707,-0.0768275285913404,0.130695553691778,"rt","binomial","estimated",1,20
18,0.0258854725399337,-0.0724536643501695,0.129091541272858,"rt","binomial","estimated",1,20
19,0.0277327170411485,-0.0706708995965689,0.133476058727715,"rt","binomial","estimated",1,20
20,0.0285783200722644,-0.07488836401188,0.133414042534123,"rt","binomial","estimated",1,20
21,0.0284224814658524,-0.0776415156324909,0.131482345035624,"rt","binomial","estimated",1,20
22,0.0299746909826311,-0.0745627240028497,0.13630610095127,"rt","binomial","estimated",1,20
23,0.0322095194994034,-0.069573329150411,0.142811704245971,"rt","binomial","estimated",1,20
24,0.0333274056178536,-0.0648596549648974,0.142144525558909,"rt","binomial","estimated",1,20
