param,m,l,u,rhat,ess,model,params,runtime,iter,confignum
sigma,0.027989758263024453,0.01779282828949576,0.04587142572854403,1.0008053117339315,149.55135586956783,binomial,estimated,138.65820789337158,1,22
sigma,0.025584100991939043,0.015689278892226745,0.03931670436507008,1.003885723840559,195.14695987850607,betabinom,estimated,193.10438203811646,1,22
rho,0.0002843041636389793,3.523301387934393e-5,0.0006612971197496568,1.0056463454536457,118.23068560498069,betabinom,estimated,193.10438203811646,1,22
sigma,0.027554821543122686,0.016653083609669512,0.04472336792305145,1.0113151185713882,119.06082456578353,weighted,estimated,104.44427704811096,1,22
c,1.2493755147089554,0.9160378952680535,1.6830864697570154,1.0257945174847616,138.005681044399,weighted,estimated,104.44427704811096,1,22
sigma,0.026362653670621686,0.013105546883438086,0.05078549868977771,1.018601048732138,100.56180308105925,binomial,estimated,94.12662887573242,2,22
sigma,0.025572222322291904,0.012493017645678672,0.04459758191640258,1.0030166348673626,270.38789696777354,betabinom,estimated,147.92800402641296,2,22
rho,0.00017824373980792867,5.453241917243335e-6,0.0005338257139740842,1.009297574145122,105.31588977163538,betabinom,estimated,147.92800402641296,2,22
sigma,0.028817380927906998,0.010067382041848183,0.063681006906144,1.0243043798803793,138.5201992981956,weighted,estimated,134.43984699249268,2,22
c,0.937893731000405,0.6697688023774133,1.2727642680633817,1.0034418249437316,210.632805931887,weighted,estimated,134.43984699249268,2,22
sigma,0.014746095673759927,0.01019371831189759,0.02309675975803927,1.0355863565808647,124.57424173019848,binomial,estimated,106.27344703674316,3,22
sigma,0.015247918118009367,0.009798100195165442,0.024652976830578467,1.026636475927085,126.60579350403529,betabinom,estimated,133.60448288917542,3,22
rho,0.0001314032771123246,8.852087155496019e-6,0.00043922966509907306,1.0024363185457457,122.27732157224156,betabinom,estimated,133.60448288917542,3,22
sigma,0.016005620551890195,0.008935393066194232,0.03104374725389144,1.049009189553206,100.18285574148156,weighted,estimated,138.69781398773193,3,22
c,0.9203995623934257,0.6711540105754061,1.2632195883609814,1.0252401546994172,203.93921583079774,weighted,estimated,138.69781398773193,3,22
sigma,0.03131420332816436,0.014810793677710567,0.05262236807481578,1.026600937177972,101.69470489281322,binomial,estimated,114.61434888839722,4,22
sigma,0.02420613057169923,0.01124985456356608,0.04108353382675713,1.0021389967256529,203.12820801576578,betabinom,estimated,141.07124710083008,4,22
rho,0.00024064924320022017,2.6987598922849376e-5,0.0005956074501950248,1.013205395039905,108.61640125228244,betabinom,estimated,141.07124710083008,4,22
sigma,0.03240631205181391,0.014545497659941236,0.05988572810886633,1.0162893649686282,117.91775469208606,weighted,estimated,108.50527906417847,4,22
c,1.1319702251576762,0.8386604890554779,1.6007917135020437,1.0327202513329314,161.18880460957885,weighted,estimated,108.50527906417847,4,22
sigma,0.02193184817927819,0.012801020454490067,0.03696999540924331,1.0321810118149908,103.646047357731,binomial,estimated,105.80152797698975,5,22
sigma,0.021599086968610466,0.010599822926875276,0.03441412220782666,1.0093924364831308,132.7873769713286,betabinom,estimated,149.23057293891907,5,22
rho,0.00015344322432684284,6.504621504794621e-6,0.000431282024756087,1.0247772766990173,103.57490027304038,betabinom,estimated,149.23057293891907,5,22
sigma,0.022476322641396342,0.012119893528973288,0.03803528935103813,1.041425367524011,136.16887961674115,weighted,estimated,119.6875250339508,5,22
c,0.9936491257680438,0.6953123888044951,1.3405885544678138,1.0188907214572835,124.46722046914256,weighted,estimated,119.6875250339508,5,22
sigma,0.015547162719628376,0.006137896012195554,0.03335959410766474,1.038498646216537,112.49321459400515,binomial,estimated,122.77025389671326,6,22
sigma,0.01538532697752795,0.006048740034764435,0.027919660925716714,1.0115966329748591,107.95574995555837,betabinom,estimated,153.38660788536072,6,22
rho,0.00017791195689622442,2.7036420417129648e-5,0.0005347454723450837,1.0303968896808828,112.38990485109846,betabinom,estimated,153.38660788536072,6,22
sigma,0.016026663418276965,0.007051995374102408,0.03172932463961611,1.0160114311257393,105.3073804477742,weighted,estimated,112.53286409378052,6,22
c,1.0413254195527888,0.7386457004486023,1.4198643868969247,1.0096459063320504,145.39467344909855,weighted,estimated,112.53286409378052,6,22
sigma,0.01493298972490312,0.00856563100646044,0.026390763301152066,1.013337837150714,128.51428184100004,binomial,estimated,117.10346508026123,7,22
sigma,0.014691419214825327,0.008591374686209439,0.02539434585785797,1.0343105413276543,146.35470282962143,betabinom,estimated,157.72276091575623,7,22
rho,0.00023218427714968688,1.2736382896412176e-5,0.0006041587276936896,1.0211859433457076,129.7777604098848,betabinom,estimated,157.72276091575623,7,22
sigma,0.014311070147696257,0.008652691682236612,0.023224979003247548,1.0155847371630562,153.20666945806283,weighted,estimated,136.76558113098145,7,22
c,1.1162538660948043,0.8065836000766369,1.4941850296607881,1.0237836204652904,142.48693387258325,weighted,estimated,136.76558113098145,7,22
