param,m,l,u,rhat,ess,model,params,runtime,iter,confignum
sigma,0.026984080596077778,0.0006949986279586552,0.09673958930691673,1.0200118823542954,114.67205769540348,binomial,estimated,183.3587679862976,1,3
sigma,0.024597277619625983,0.0022173540003389692,0.07735386752325094,1.0150081536615783,114.58197898121377,betabinom,estimated,158.7503890991211,1,3
rho,0.004766344080105621,0.0003095398646910207,0.009569018187478453,1.01351707321861,135.75738323550948,betabinom,estimated,158.7503890991211,1,3
sigma,0.1867482266269194,0.15501984473574004,0.1998771006807233,1.0112878298339916,145.15550903955312,weighted,estimated,332.9506838321686,1,3
c,0.46892391659247096,0.2372854843252648,0.7731258995010047,1.026897926249405,107.26526146481426,weighted,estimated,332.9506838321686,1,3
sigma,0.028795814568019735,0.0020663386284948994,0.08275059845753455,1.0252138120214311,140.0728819424454,binomial,estimated,132.1767988204956,2,3
sigma,0.027633071346088483,0.0008087674113077536,0.0781249373574219,1.0045389961567797,112.46970878078643,betabinom,estimated,168.1002321243286,2,3
rho,0.004101996006063032,0.00015058769558221573,0.009279852564869934,0.9982206707982172,106.34936309346563,betabinom,estimated,168.1002321243286,2,3
sigma,0.17297142622214356,0.11760895463187876,0.19878744474382878,1.0017692350855598,119.7014114853196,weighted,estimated,229.73982620239258,2,3
c,0.6332533698709399,0.34765201983192207,1.053337226570021,1.00870114841167,104.78096056052921,weighted,estimated,229.73982620239258,2,3
sigma,0.02418054932883877,0.0012059561696755447,0.0836923853044022,1.0059662981517683,111.00264102229285,binomial,estimated,134.15303707122803,3,3
sigma,0.027611259074707663,0.001426334551365347,0.09531492043839343,1.014759395050778,111.16288743383693,betabinom,estimated,193.6721270084381,3,3
rho,0.005219720110430732,0.0005816103681819283,0.009681519948383342,1.0230217793657042,158.55155426070564,betabinom,estimated,193.6721270084381,3,3
sigma,0.18223431188177772,0.14290484796287595,0.1995440526231746,1.0031087066284288,137.8568262646628,weighted,estimated,273.6315920352936,3,3
c,0.6473833905206975,0.32479590313427825,1.0931807733192573,1.0460971238434145,102.34625840796987,weighted,estimated,273.6315920352936,3,3
sigma,0.015441424294844039,0.0022751592496023897,0.05673809639509605,1.0259962167257013,107.37531278655166,binomial,estimated,136.65873789787292,4,3
sigma,0.018375949367167473,0.0016874743198719289,0.07342573713035656,1.0265826242547655,116.07158871877623,betabinom,estimated,207.74526000022888,4,3
rho,0.005009423968424092,0.00024855369705145333,0.009807734601173021,1.037925239570111,142.03317006871347,betabinom,estimated,207.74526000022888,4,3
sigma,0.14205625827365814,0.07057282090169673,0.19827318780965536,1.0057581476330297,119.77887419649139,weighted,estimated,200.5569188594818,4,3
c,0.8496108233963423,0.5624483412234771,1.2533383753266005,1.0316780683391609,178.23710088181377,weighted,estimated,200.5569188594818,4,3
