"t","mean","lower","upper","variable","model","params","iter","confignum"
1,-0.034103403680663,-0.250276651378981,0.148020013951983,"rt","binomial","estimated",1,1
2,-0.0367372837256306,-0.259609337771187,0.141528240786318,"rt","binomial","estimated",1,1
3,-0.0376673858578742,-0.257788863082226,0.135126991654649,"rt","binomial","estimated",1,1
4,-0.0379458988412986,-0.254619465408181,0.125784860814479,"rt","binomial","estimated",1,1
5,-0.0369470573954005,-0.248679004582812,0.130344480189042,"rt","binomial","estimated",1,1
6,-0.0355163025654092,-0.245547445451104,0.132223329634234,"rt","binomial","estimated",1,1
7,-0.0257044220188663,-0.242213003183517,0.116628363494968,"rt","binomial","estimated",1,1
8,-0.0228090160827183,-0.225642777455344,0.114532281658213,"rt","binomial","estimated",1,1
9,-0.0199717262399936,-0.208803140083957,0.117881373342924,"rt","binomial","estimated",1,1
10,-0.0162195096428656,-0.192541943059462,0.12403221956579,"rt","binomial","estimated",1,1
11,-0.0129005901860174,-0.171821435688291,0.126448316524805,"rt","binomial","estimated",1,1
12,-0.00480112047567953,-0.155940480743988,0.127780021477478,"rt","binomial","estimated",1,1
13,-0.000827974579391695,-0.135692263033835,0.13357689830052,"rt","binomial","estimated",1,1
14,0.00328102531094878,-0.118338838911044,0.138847221997775,"rt","binomial","estimated",1,1
15,0.00713613854661373,-0.112437803559494,0.151156162011242,"rt","binomial","estimated",1,1
16,0.011025675778252,-0.0991298593814848,0.157149435156088,"rt","binomial","estimated",1,1
17,0.0133098284804312,-0.0932997642211354,0.173468306372119,"rt","binomial","estimated",1,1
18,0.015486209660517,-0.088894670145427,0.18043458232221,"rt","binomial","estimated",1,1
19,0.0172527771794079,-0.0824151236438497,0.187138256316064,"rt","binomial","estimated",1,1
20,0.0175934995254128,-0.0807298224948565,0.187590321021407,"rt","binomial","estimated",1,1
21,0.0172956606129649,-0.0771250114520989,0.188822400849644,"rt","binomial","estimated",1,1
22,0.0166593069885497,-0.0784180171730466,0.193112948870064,"rt","binomial","estimated",1,1
23,0.0149997499369639,-0.0787482756079709,0.180515219066284,"rt","binomial","estimated",1,1
24,0.0129098136136324,-0.0830787029169414,0.17759123748331,"rt","binomial","estimated",1,1
25,0.0134754698252537,-0.0846317120445188,0.167228255001815,"rt","binomial","estimated",1,1
26,0.0113568660048532,-0.0900401859046151,0.155999296754255,"rt","binomial","estimated",1,1
