obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,iter,confignum
binomial,1,-0.0018143444305081787,0.009981873004973758,10000,104,0.0104,0.0001,1,10
binomial,2,-0.011077615625286086,0.009871907852963028,10000,107,0.0107,0.0001,1,10
binomial,3,-0.012149395944734626,0.00975269577945129,10000,98,0.0098,0.0001,1,10
binomial,4,-0.018834629265937045,0.009570726412222019,10000,86,0.0086,0.0001,1,10
binomial,5,-0.017261862157428975,0.00940693558654376,10000,114,0.0114,0.0001,1,10
binomial,6,-0.013402283092212048,0.009281702253614051,10000,119,0.0119,0.0001,1,10
binomial,7,-0.023984304642402844,0.009061735498494133,10000,95,0.0095,0.0001,1,10
binomial,8,-0.028785567161243954,0.008804606854310804,10000,93,0.0093,0.0001,1,10
binomial,9,-0.015183146640893463,0.008671934954486675,10000,95,0.0095,0.0001,1,10
binomial,10,-0.01569107942702229,0.008536924930888213,10000,101,0.0101,0.0001,1,10
binomial,11,-0.00994827367061073,0.008452418309821127,10000,67,0.0067,0.0001,1,10
binomial,12,-0.010991110883889682,0.008360025522744983,10000,82,0.0082,0.0001,1,10
binomial,13,-0.02023893581584644,0.008192528203919325,10000,90,0.009,0.0001,1,10
binomial,14,-0.01882902370545797,0.008039714081295207,10000,70,0.007,0.0001,1,10
binomial,15,-0.019526930546990107,0.007884245990101972,10000,71,0.0071,0.0001,1,10
binomial,16,-0.022585807244445175,0.0077081698259683345,10000,67,0.0067,0.0001,1,10
binomial,17,-0.023933544612074493,0.007525876167882247,10000,73,0.0073,0.0001,1,10
binomial,18,-0.009492712698213744,0.00745477320156649,10000,68,0.0068,0.0001,1,10
binomial,19,-0.021245279667884302,0.007298065009025016,10000,64,0.0064,0.0001,1,10
binomial,20,-0.011905496366142312,0.007211693093046054,10000,58,0.0058,0.0001,1,10
binomial,21,-0.02092974190221361,0.0070623228113018445,10000,64,0.0064,0.0001,1,10
binomial,22,-0.02362963094505888,0.006897398948490527,10000,62,0.0062,0.0001,1,10
binomial,23,-0.033620451075927496,0.006669360147871499,10000,63,0.0063,0.0001,1,10
binomial,24,-0.025060762862661526,0.006504297827342642,10000,56,0.0056,0.0001,1,10
binomial,25,-0.024713902804376738,0.006345521317974679,10000,56,0.0056,0.0001,1,10
binomial,26,-0.014529149058237111,0.006253992818602821,10000,62,0.0062,0.0001,1,10
binomial,27,-0.010184618930625465,0.006190621538890269,10000,64,0.0064,0.0001,1,10
binomial,28,0.004821690122431653,0.00622054287535297,10000,69,0.0069,0.0001,1,10
binomial,29,0.016313350707076936,0.006322853014523678,10000,45,0.0045,0.0001,1,10
binomial,30,0.03420586560129786,0.006542873213322868,10000,58,0.0058,0.0001,1,10
binomial,31,0.02547138453533728,0.006711669869116072,10000,66,0.0066,0.0001,1,10
binomial,32,0.02954606023226468,0.006912931879986198,10000,59,0.0059,0.0001,1,10
binomial,33,0.03458694150553358,0.007156211955795478,10000,73,0.0073,0.0001,1,10
binomial,34,0.03404130013632799,0.007404012512361426,10000,84,0.0084,0.0001,1,10
binomial,35,0.02994844142829277,0.007629104906918647,10000,73,0.0073,0.0001,1,10
binomial,36,0.024322763954492736,0.007816940909961493,10000,86,0.0086,0.0001,1,10
binomial,37,0.031547136657189744,0.008067474036825926,10000,100,0.01,0.0001,1,10
binomial,38,0.02345719129313481,0.008258951298146334,10000,68,0.0068,0.0001,1,10
binomial,39,0.022437410012540016,0.00844635534327846,10000,107,0.0107,0.0001,1,10
binomial,40,0.01207332031632368,0.008548948973512579,10000,92,0.0092,0.0001,1,10
binomial,41,0.013277093579153739,0.008663211024492865,10000,85,0.0085,0.0001,1,10
binomial,42,0.006290877305773633,0.008717882006039677,10000,86,0.0086,0.0001,1,10
binomial,43,0.008132939177901723,0.008789073114222244,10000,104,0.0104,0.0001,1,10
binomial,44,0.011786651074701806,0.008893279769625487,10000,77,0.0077,0.0001,1,10
binomial,45,0.010372788714991487,0.008986007975280895,10000,95,0.0095,0.0001,1,10
binomial,46,0.010466193759986083,0.00908055116652837,10000,90,0.009,0.0001,1,10
binomial,47,0.013808337898997481,0.009206808178975527,10000,90,0.009,0.0001,1,10
binomial,48,0.006088825367695765,0.009263037838740114,10000,92,0.0092,0.0001,1,10
binomial,49,0.012396990394520422,0.00937858637707141,10000,98,0.0098,0.0001,1,10
binomial,50,0.02685568403015408,0.009633867258015162,10000,94,0.0094,0.0001,1,10
binomial,51,0.027970709805342317,0.00990713732620109,10000,117,0.0117,0.0001,1,10
binomial,52,0.02411861791419991,0.010148988621705726,10000,97,0.0097,0.0001,1,10
binomial,53,0.022685996996941755,0.010381860019745073,10000,101,0.0101,0.0001,1,10
