obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,iter,confignum
betabinom,1,-0.003009576609471108,0.009969949476263968,1000,12,0.012,0.001,1,9
betabinom,2,-0.004129468309578908,0.009928863775288217,1000,9,0.009,0.001,1,9
betabinom,3,-0.005100935840958564,0.00987834623110962,1000,4,0.004,0.001,1,9
betabinom,4,-0.005978199134166035,0.00981946767943142,1000,13,0.013,0.001,1,9
betabinom,5,-0.015207090102543414,0.009671271819484548,1000,5,0.005,0.001,1,9
betabinom,6,-0.019636408318013446,0.009483215198052867,1000,11,0.011,0.001,1,9
betabinom,7,-0.006999107381220794,0.009417072895114797,1000,7,0.007,0.001,1,9
betabinom,8,-0.01824926531248306,0.009246776848448962,1000,10,0.01,0.001,1,9
betabinom,9,-0.02500568407899356,0.009018421853038484,1000,11,0.011,0.001,1,9
betabinom,10,-0.019334841868660656,0.008845726986504336,1000,8,0.008,0.001,1,9
betabinom,11,-0.019073201676225015,0.008678609451180506,1000,7,0.007,0.001,1,9
betabinom,12,-0.018835196248915383,0.008516675950955885,1000,5,0.005,0.001,1,9
betabinom,13,-0.00920594999029226,0.008438631645239563,1000,10,0.01,0.001,1,9
betabinom,14,0.0016723918148075553,0.008452756151293333,1000,9,0.009,0.001,1,9
betabinom,15,-0.011005486275941943,0.008360239488711802,1000,8,0.008,0.001,1,9
betabinom,16,-0.01032339751932225,0.00827437737004846,1000,5,0.005,0.001,1,9
betabinom,17,-0.0034646009013052335,0.008245759558029165,1000,6,0.006,0.001,1,9
betabinom,18,0.00420804930099063,0.008280531229917808,1000,5,0.005,0.001,1,9
betabinom,19,-0.009225446422887529,0.008204490924891042,1000,8,0.008,0.001,1,9
betabinom,20,-0.007494319045819593,0.008143233679669392,1000,6,0.006,0.001,1,9
betabinom,21,-0.023330774733107944,0.007955444876325936,1000,5,0.005,0.001,1,9
betabinom,22,-0.024333968106072627,0.007764193721414769,1000,10,0.01,0.001,1,9
betabinom,23,-0.015619408062606874,0.007643863798840896,1000,10,0.01,0.001,1,9
betabinom,24,-0.01408326535187865,0.007536967726318897,1000,4,0.004,0.001,1,9
betabinom,25,-0.01389302050667482,0.007432980500067031,1000,3,0.003,0.001,1,9
betabinom,26,-0.015244174964103843,0.007320530129023361,1000,5,0.005,0.001,1,9
betabinom,27,-0.02085236437905696,0.007169460322638422,1000,12,0.012,0.001,1,9
betabinom,28,-0.015964435824640303,0.007055912706815534,1000,6,0.006,0.001,1,9
betabinom,29,-0.012284533081659046,0.006969764343340842,1000,6,0.006,0.001,1,9
betabinom,30,0.0033970529914225025,0.006993481263161905,1000,10,0.01,0.001,1,9
betabinom,31,0.004135932756481139,0.007022465728983665,1000,5,0.005,0.001,1,9
betabinom,32,0.007906502161754479,0.007078208945995322,1000,11,0.011,0.001,1,9
betabinom,33,0.003155085780561612,0.0071005765697234645,1000,3,0.003,0.001,1,9
betabinom,34,-0.00788408821058484,0.007044815100710729,1000,5,0.005,0.001,1,9
betabinom,35,-0.00012995293792256082,0.007043899665774288,1000,5,0.005,0.001,1,9
betabinom,36,0.01230230152837452,0.00713109107120411,1000,8,0.008,0.001,1,9
betabinom,37,0.01288028740609382,0.007223535652048765,1000,4,0.004,0.001,1,9
betabinom,38,0.027988347610881516,0.007428566329781467,1000,11,0.011,0.001,1,9
betabinom,39,0.021853665061953728,0.007592694600352913,1000,11,0.011,0.001,1,9
betabinom,40,0.043148228204117255,0.007927476605871132,1000,10,0.01,0.001,1,9
