"t","mean","lower","upper","variable","model","params","iter","confignum"
1,0.0498741069676621,-0.0826908445631165,0.208219927869728,"rt","binomial","estimated",1,27
2,0.0527587405222396,-0.0420146093061949,0.180519398850529,"rt","binomial","estimated",1,27
3,0.0104662404386637,-0.0755642246965496,0.0828788578995627,"rt","binomial","estimated",1,27
4,-0.00182344147977115,-0.096114519827085,0.0656495097267192,"rt","binomial","estimated",1,27
5,0.0159146487304718,-0.0634558325909244,0.0826253976404494,"rt","binomial","estimated",1,27
6,0.0478914638047549,-0.0189847298898966,0.129395802627821,"rt","binomial","estimated",1,27
7,0.0444758913196177,-0.0231676146998684,0.116958599482005,"rt","binomial","estimated",1,27
8,0.0503108032140169,-0.0159948239396582,0.142301065407343,"rt","binomial","estimated",1,27
9,0.0120315501095811,-0.0584917706140995,0.0825757833481797,"rt","binomial","estimated",1,27
10,-0.0281144382325314,-0.114041614655943,0.0368915964538192,"rt","binomial","estimated",1,27
11,-0.0235266803145598,-0.0983971336975908,0.0446166949642241,"rt","binomial","estimated",1,27
12,-0.0424717719244243,-0.127722719640873,0.0227212942356687,"rt","binomial","estimated",1,27
13,-0.0270501483459819,-0.104183938063695,0.0381027519782033,"rt","binomial","estimated",1,27
14,-0.00140463079682205,-0.0710224412172171,0.0649135007514824,"rt","binomial","estimated",1,27
15,0.0409481138919675,-0.0231888815493564,0.118779102756244,"rt","binomial","estimated",1,27
16,0.0656701134567112,0.0036546595929406,0.151464912622894,"rt","binomial","estimated",1,27
17,0.0518031965251038,-0.015448415563227,0.122795890114771,"rt","binomial","estimated",1,27
18,0.0583578410338767,-0.00774341700967044,0.138218758929745,"rt","binomial","estimated",1,27
19,0.0415305796283835,-0.0241382465260447,0.111663612048188,"rt","binomial","estimated",1,27
20,0.00823478396936222,-0.0780912809828277,0.0701479815136101,"rt","binomial","estimated",1,27
21,0.00511410190030704,-0.0849600640885538,0.0684298354072557,"rt","binomial","estimated",1,27
22,0.0330409003288558,-0.0397604439940721,0.0956139974826864,"rt","binomial","estimated",1,27
23,0.068835445482154,0.0047095135454784,0.145848335802918,"rt","binomial","estimated",1,27
24,0.08069900987051,0.0187781362323921,0.159800742319117,"rt","binomial","estimated",1,27
25,0.0827551795654041,0.0185611528600791,0.182191618650304,"rt","binomial","estimated",1,27
26,0.0224553047050505,-0.0401424629833826,0.085964002751605,"rt","binomial","estimated",1,27
27,-0.0302324279686253,-0.108286346052326,0.0309228749655266,"rt","binomial","estimated",1,27
28,-0.056808384264252,-0.135365592850479,0.00292310204518476,"rt","binomial","estimated",1,27
29,-0.0585715404338171,-0.135662052114431,0.0015842120002477,"rt","binomial","estimated",1,27
30,-0.0493255829103555,-0.123801517980902,0.0146891782966034,"rt","binomial","estimated",1,27
31,-0.00658473510178988,-0.0700723370032139,0.0834505332328762,"rt","binomial","estimated",1,27
32,-0.00945741751041965,-0.0725206508886269,0.07487991100046,"rt","binomial","estimated",1,27
33,-0.0377873639972463,-0.105364437345936,0.0307179403478445,"rt","binomial","estimated",1,27
34,-0.0613993898806716,-0.134955495145909,0.0060281623045198,"rt","binomial","estimated",1,27
35,-0.0549934024983028,-0.12313557005406,0.0185348534613186,"rt","binomial","estimated",1,27
36,-0.0885623757666487,-0.187783224640738,-0.0215278313605836,"rt","binomial","estimated",1,27
37,-0.0448819423547294,-0.118341603930664,0.0218058279391891,"rt","binomial","estimated",1,27
38,-0.0102659293356665,-0.0754387820920266,0.0758972503311198,"rt","binomial","estimated",1,27
39,-0.00223843616210644,-0.0650262004637373,0.0808225703413066,"rt","binomial","estimated",1,27
40,-0.000292868421766104,-0.0695805219108624,0.0677284326160774,"rt","binomial","estimated",1,27
41,0.00301625596209224,-0.0679907055713964,0.0723239985565515,"rt","binomial","estimated",1,27
42,0.00580679265389958,-0.0705483435502813,0.0730364238612651,"rt","binomial","estimated",1,27
