"t","mean","lower","upper","variable","model","params","iter","confignum"
1,0.00154655586792023,-0.0462681796332857,0.0469831602057171,"rt","binomial","estimated",1,7
2,0.00128699466556796,-0.0431547630394555,0.0444601919370687,"rt","binomial","estimated",1,7
3,0.00101889754504407,-0.0416764197901173,0.0415780683854386,"rt","binomial","estimated",1,7
4,0.000866107326810873,-0.0378837966417322,0.0386511010626813,"rt","binomial","estimated",1,7
5,0.000994258017405199,-0.0350861219204361,0.0368143573179515,"rt","binomial","estimated",1,7
6,0.00210905243246506,-0.0320295647061068,0.0355805967985363,"rt","binomial","estimated",1,7
7,0.00280011526167909,-0.0282465417553545,0.0321181047708077,"rt","binomial","estimated",1,7
8,0.00325819604459691,-0.0262365546602824,0.0317014086577102,"rt","binomial","estimated",1,7
9,0.00408812093486597,-0.023615489769393,0.0317982963534222,"rt","binomial","estimated",1,7
10,0.00531602320678452,-0.0203132839410753,0.0316374863502051,"rt","binomial","estimated",1,7
11,0.00668608773197894,-0.0181512058317159,0.0324344306015043,"rt","binomial","estimated",1,7
12,0.00806891217933103,-0.0159989331559732,0.0348555471482595,"rt","binomial","estimated",1,7
13,0.00896706671135708,-0.0153094651909864,0.0360489985416231,"rt","binomial","estimated",1,7
14,0.00986586746051205,-0.0132510826625369,0.0374552269726436,"rt","binomial","estimated",1,7
15,0.0101681312789075,-0.0127398884728457,0.0379181639633987,"rt","binomial","estimated",1,7
16,0.00970860577785985,-0.0130496496435122,0.0368984804626319,"rt","binomial","estimated",1,7
17,0.00872171033657625,-0.0140141219849533,0.0347599763280974,"rt","binomial","estimated",1,7
18,0.00781437304198312,-0.0148094106911949,0.0329824575536903,"rt","binomial","estimated",1,7
19,0.00679232830494689,-0.0168667873842001,0.0307722679225939,"rt","binomial","estimated",1,7
20,0.00557056944625761,-0.0209942071009484,0.0287088094811551,"rt","binomial","estimated",1,7
21,0.00486753272833815,-0.0231371996005341,0.0278014187079382,"rt","binomial","estimated",1,7
22,0.0045979682401763,-0.0224499622087657,0.0265392797023249,"rt","binomial","estimated",1,7
23,0.00478300642277164,-0.0231237461193898,0.0267549685646062,"rt","binomial","estimated",1,7
24,0.00556633234034396,-0.0228472769980557,0.0271819521887801,"rt","binomial","estimated",1,7
25,0.00657602944938251,-0.0231760082795541,0.0279277593059823,"rt","binomial","estimated",1,7
26,0.0079715927851053,-0.0209927384850937,0.0298144896952143,"rt","binomial","estimated",1,7
27,0.00987670090800512,-0.0193354584510409,0.0330459401654257,"rt","binomial","estimated",1,7
28,0.0125229336519316,-0.0148290079667941,0.0343763098866215,"rt","binomial","estimated",1,7
29,0.0154766823147202,-0.0100838551647894,0.0374312756225544,"rt","binomial","estimated",1,7
30,0.0186842258836581,-0.00608473755911815,0.0401849001693221,"rt","binomial","estimated",1,7
31,0.021837405026192,-0.00148776960324748,0.0446295924637011,"rt","binomial","estimated",1,7
32,0.0255411287446636,0.00331495847534915,0.0492043873041901,"rt","binomial","estimated",1,7
33,0.0286944658242862,0.00734508803091301,0.0546716978693256,"rt","binomial","estimated",1,7
34,0.0317130007743901,0.0100978826253955,0.0582787744174933,"rt","binomial","estimated",1,7
35,0.0344446230135854,0.013352046292981,0.0615346207132497,"rt","binomial","estimated",1,7
36,0.0363677549632794,0.0158852482166493,0.0621798385572887,"rt","binomial","estimated",1,7
37,0.037914375838332,0.016873816851384,0.0638376645600232,"rt","binomial","estimated",1,7
38,0.038961149476331,0.0178757403959574,0.0640094776495254,"rt","binomial","estimated",1,7
39,0.03993806764949,0.0183990808812412,0.0642250314855364,"rt","binomial","estimated",1,7
40,0.0407989204297651,0.0187845869180278,0.0647897744746766,"rt","binomial","estimated",1,7
41,0.0413590839682795,0.0188696932712393,0.0637915025257727,"rt","binomial","estimated",1,7
42,0.0420021548824167,0.0195833160755363,0.0643165442564365,"rt","binomial","estimated",1,7
43,0.0427031799943729,0.0199470713101267,0.0641800993539738,"rt","binomial","estimated",1,7
44,0.043540026078761,0.0194292171088545,0.0650753891607638,"rt","binomial","estimated",1,7
45,0.0449358932107824,0.0209023244257027,0.0662910831870145,"rt","binomial","estimated",1,7
46,0.0464619783267951,0.0233403511900961,0.0678455404953417,"rt","binomial","estimated",1,7
47,0.0481308568811717,0.025953327082301,0.0694179185541931,"rt","binomial","estimated",1,7
48,0.0496259200626815,0.0276801649160175,0.0712375095154653,"rt","binomial","estimated",1,7
49,0.0512824893424955,0.030490382439885,0.0731591657843648,"rt","binomial","estimated",1,7
50,0.052638600454033,0.0312816474896199,0.0753688078259969,"rt","binomial","estimated",1,7
51,0.0541133897146847,0.0339750469100484,0.0769934772921575,"rt","binomial","estimated",1,7
52,0.0555991453172932,0.0363581945938991,0.0795713504528421,"rt","binomial","estimated",1,7
53,0.056197738923842,0.0371660884594606,0.0806612259791119,"rt","binomial","estimated",1,7
54,0.0559967570016661,0.0365916997152064,0.0811071251123782,"rt","binomial","estimated",1,7
55,0.0550212836120133,0.035725987534562,0.0796751271954934,"rt","binomial","estimated",1,7
56,0.0531951857392203,0.0337473589370314,0.0758186864383686,"rt","binomial","estimated",1,7
57,0.0513167059898523,0.0324165170930114,0.0736680119914921,"rt","binomial","estimated",1,7
58,0.048739023290716,0.0288479133955272,0.0701697056418539,"rt","binomial","estimated",1,7
59,0.0462638392662561,0.0267101068943739,0.066633344204248,"rt","binomial","estimated",1,7
60,0.0433934990434484,0.0233495193056728,0.06290131434733,"rt","binomial","estimated",1,7
61,0.0409014036430272,0.0208813549228015,0.0602089495069233,"rt","binomial","estimated",1,7
62,0.0385870312404993,0.0189028557894102,0.0578960047679793,"rt","binomial","estimated",1,7
63,0.0365302689593151,0.016675651780178,0.0556761630414473,"rt","binomial","estimated",1,7
64,0.0349669726075037,0.015875344355663,0.0544330116337672,"rt","binomial","estimated",1,7
65,0.0331244592806415,0.0138995566451483,0.0534955096978178,"rt","binomial","estimated",1,7
66,0.0307775660110673,0.0113891670514847,0.0507583356025667,"rt","binomial","estimated",1,7
67,0.0282271367600782,0.00896143000667085,0.04773712390273,"rt","binomial","estimated",1,7
68,0.0249647203338075,0.00466494412586982,0.0440215939326846,"rt","binomial","estimated",1,7
69,0.0220248935457073,0.00108407313298674,0.0397550935512212,"rt","binomial","estimated",1,7
70,0.0198438194472939,-0.00140306347709004,0.0375772942380387,"rt","binomial","estimated",1,7
71,0.0180617444845546,-0.00329918024956818,0.035670089237867,"rt","binomial","estimated",1,7
72,0.0166510525552685,-0.0047708398234513,0.0340959094640761,"rt","binomial","estimated",1,7
73,0.0158428488545524,-0.00518067290236094,0.0335348725320991,"rt","binomial","estimated",1,7
74,0.015846639287453,-0.00494730729510585,0.0336470693990686,"rt","binomial","estimated",1,7
75,0.016284372134082,-0.00340995937830344,0.0342003267970578,"rt","binomial","estimated",1,7
76,0.0172631054512129,-0.0012858427013152,0.0358260044119518,"rt","binomial","estimated",1,7
77,0.0185594570995034,0.000502187401001705,0.0381925270892589,"rt","binomial","estimated",1,7
78,0.0197241304993749,0.00196743071323924,0.0397066297452483,"rt","binomial","estimated",1,7
79,0.0204021687323085,0.00274557271040252,0.0407015829611268,"rt","binomial","estimated",1,7
80,0.0205184502740219,0.00242770205729265,0.0402622836311158,"rt","binomial","estimated",1,7
81,0.0202461382950029,0.00190823664117567,0.0390576283247337,"rt","binomial","estimated",1,7
82,0.0196177258321939,0.000494990213098477,0.0375312215535304,"rt","binomial","estimated",1,7
83,0.0198729781920835,0.0003554402409498,0.0378740963208317,"rt","binomial","estimated",1,7
84,0.0202658167752721,0.00030692261538918,0.037645836736841,"rt","binomial","estimated",1,7
85,0.0212370947716832,0.00114223104303978,0.0387179990918582,"rt","binomial","estimated",1,7
86,0.0231194029310163,0.00357382690502979,0.040892381494484,"rt","binomial","estimated",1,7
87,0.0254955845120646,0.0070528058773582,0.0436245093326576,"rt","binomial","estimated",1,7
88,0.0278655285452196,0.0100588728204222,0.0466346559814709,"rt","binomial","estimated",1,7
89,0.0295664080206716,0.0117068234907914,0.0485133607653583,"rt","binomial","estimated",1,7
90,0.0304408739370419,0.0128895380860428,0.0488822790724158,"rt","binomial","estimated",1,7
91,0.0319047384859543,0.0148396679697767,0.0503921873962901,"rt","binomial","estimated",1,7
92,0.0335417064107593,0.0164147961895954,0.052697053179022,"rt","binomial","estimated",1,7
93,0.0348080197604986,0.0177489680452381,0.0545410939737665,"rt","binomial","estimated",1,7
94,0.0346967693026069,0.0173287001624868,0.0537198925530775,"rt","binomial","estimated",1,7
95,0.0355520194224918,0.0177661878685812,0.0550803413957225,"rt","binomial","estimated",1,7
96,0.0352811387190151,0.0164439417002937,0.0550672388810741,"rt","binomial","estimated",1,7
97,0.0347295603787099,0.0141555850827159,0.0554620503335382,"rt","binomial","estimated",1,7
98,0.0344871988057832,0.0112642474396538,0.0575546317798432,"rt","binomial","estimated",1,7
99,0.0343104878300527,0.00753477252624423,0.0605485423943648,"rt","binomial","estimated",1,7
100,0.0345340024818438,0.00381516095948895,0.0649286454816577,"rt","binomial","estimated",1,7
1,0.00986958684515647,0.00743485871969276,0.0126710214745691,"Pt","binomial","estimated",1,7
2,0.00986630119744691,0.00763722234778796,0.0123684192692256,"Pt","binomial","estimated",1,7
3,0.00986302136762043,0.00783391001295671,0.0120910644216373,"Pt","binomial","estimated",1,7
4,0.00986558667737211,0.00803268934901272,0.0118637986885478,"Pt","binomial","estimated",1,7
5,0.00987229980697455,0.00818035295902337,0.0116936714486223,"Pt","binomial","estimated",1,7
6,0.00988585419873736,0.00829117861107687,0.0116189384866367,"Pt","binomial","estimated",1,7
7,0.00991055996787916,0.00836401747983912,0.0115552587271447,"Pt","binomial","estimated",1,7
8,0.00994133240962699,0.00844345676374229,0.0115262861998669,"Pt","binomial","estimated",1,7
9,0.0099799810364759,0.00852879564398944,0.0115522683494149,"Pt","binomial","estimated",1,7
10,0.0100343814954084,0.00859899919955481,0.0115772296660066,"Pt","binomial","estimated",1,7
11,0.0101011612134473,0.00869510184419593,0.011628773500582,"Pt","binomial","estimated",1,7
12,0.0101823595189681,0.00874968823156001,0.0117322615467059,"Pt","binomial","estimated",1,7
13,0.0102744520931575,0.00888760477878524,0.0118459310476881,"Pt","binomial","estimated",1,7
14,0.0103756429434059,0.0089679530554602,0.0119780129669776,"Pt","binomial","estimated",1,7
15,0.0104806823681066,0.00906549172139957,0.0120766088986361,"Pt","binomial","estimated",1,7
16,0.010583499530146,0.00915355046658021,0.0121919571081364,"Pt","binomial","estimated",1,7
17,0.0106769086225342,0.00925349804085406,0.0122877397613308,"Pt","binomial","estimated",1,7
18,0.0107627777662203,0.00932145094179094,0.0124072476507207,"Pt","binomial","estimated",1,7
19,0.0108348218503587,0.00939122447657396,0.0125032088305227,"Pt","binomial","estimated",1,7
20,0.010893384062502,0.00945665687395209,0.0125505632284792,"Pt","binomial","estimated",1,7
21,0.0109447161063611,0.00947354595543935,0.0125696340252168,"Pt","binomial","estimated",1,7
