"t","mean","lower","upper","variable","model","params","iter","confignum"
1,-0.00655912071107642,-0.04448549161989,0.0311509637765143,"rt","binomial","estimated",1,11
2,-0.00673921653551842,-0.0399936095874919,0.0276156300501914,"rt","binomial","estimated",1,11
3,-0.00666704716063168,-0.0358944795050388,0.0223356294058477,"rt","binomial","estimated",1,11
4,-0.00674468640334778,-0.0324854075101153,0.0193298341550319,"rt","binomial","estimated",1,11
5,-0.00736090498719131,-0.0304335780715033,0.015343786486579,"rt","binomial","estimated",1,11
6,-0.00809689004075486,-0.0303998716449639,0.0123986745416614,"rt","binomial","estimated",1,11
7,-0.00845745192896515,-0.0303776407248434,0.0108969130725122,"rt","binomial","estimated",1,11
8,-0.00772087607431112,-0.0278979709612634,0.0107033628572274,"rt","binomial","estimated",1,11
9,-0.00634680635964131,-0.0259447137380835,0.0117083389661632,"rt","binomial","estimated",1,11
10,-0.00512556109924655,-0.0239697708571195,0.0131833780083334,"rt","binomial","estimated",1,11
11,-0.00330022274222221,-0.0212851668101165,0.014701041249854,"rt","binomial","estimated",1,11
12,-0.00185585827694555,-0.0191865605133591,0.0169662824579983,"rt","binomial","estimated",1,11
13,-0.000610872740056147,-0.0189649372858403,0.018888633462561,"rt","binomial","estimated",1,11
14,0.000262273951074321,-0.0177173008067101,0.0200102198490238,"rt","binomial","estimated",1,11
15,0.000888722177323816,-0.0166874717819739,0.0207356413292058,"rt","binomial","estimated",1,11
16,0.000654159523247834,-0.0171559856408733,0.0211445045787725,"rt","binomial","estimated",1,11
17,-0.000179874131376981,-0.0178482015618718,0.0201204425049737,"rt","binomial","estimated",1,11
18,-0.00175224629835731,-0.0194388536930819,0.0183386791814075,"rt","binomial","estimated",1,11
19,-0.00368608569351675,-0.0207667877801152,0.0151763514221464,"rt","binomial","estimated",1,11
20,-0.0059397955679476,-0.0240165277711719,0.0125057204477264,"rt","binomial","estimated",1,11
21,-0.00744466178653823,-0.0257073993313653,0.0111095902063367,"rt","binomial","estimated",1,11
22,-0.0088875052933332,-0.0265372990151238,0.00865213758342098,"rt","binomial","estimated",1,11
23,-0.0106546847966668,-0.0286347608797168,0.00798120798883663,"rt","binomial","estimated",1,11
24,-0.0124611030202028,-0.0312933532688493,0.00592921680938471,"rt","binomial","estimated",1,11
25,-0.0144380357517003,-0.0329159362491883,0.00357000320120118,"rt","binomial","estimated",1,11
26,-0.01546892599383,-0.0335714173372692,0.0024309181473079,"rt","binomial","estimated",1,11
27,-0.0170049834735688,-0.0354960644222958,0.00127372222385908,"rt","binomial","estimated",1,11
28,-0.0183632138233468,-0.0375374951065496,-0.000308727788036957,"rt","binomial","estimated",1,11
29,-0.0199489182377292,-0.0385404339950404,-0.00164090377910335,"rt","binomial","estimated",1,11
30,-0.0218812241439393,-0.0408889622651831,-0.00330221255871527,"rt","binomial","estimated",1,11
31,-0.023420654401573,-0.0430188307543387,-0.00513793843732044,"rt","binomial","estimated",1,11
32,-0.0245803565548975,-0.0448020424086881,-0.00694044481955755,"rt","binomial","estimated",1,11
33,-0.0252382160392705,-0.0464628796556088,-0.00777153882961959,"rt","binomial","estimated",1,11
34,-0.0247138344979564,-0.0455361775840061,-0.00740122281902621,"rt","binomial","estimated",1,11
35,-0.023856091967096,-0.0449249598856764,-0.00619410972870827,"rt","binomial","estimated",1,11
36,-0.0220538066929499,-0.0434851869182715,-0.00421754000439059,"rt","binomial","estimated",1,11
37,-0.0189146840624329,-0.0402997955457811,-0.001556301864166,"rt","binomial","estimated",1,11
38,-0.0146930117938018,-0.0349567717053627,0.00340921914896793,"rt","binomial","estimated",1,11
39,-0.0103325798854851,-0.0296067776598679,0.00835659223092142,"rt","binomial","estimated",1,11
40,-0.00589567225472066,-0.0248562095716192,0.0124783008550292,"rt","binomial","estimated",1,11
41,-0.0014500891545958,-0.0194893132194975,0.0176057534394013,"rt","binomial","estimated",1,11
42,0.00281728110524357,-0.0148149926037121,0.0225447290122113,"rt","binomial","estimated",1,11
43,0.00667617691058686,-0.0112876787418674,0.0265561449314805,"rt","binomial","estimated",1,11
44,0.0104785120567106,-0.00767334056809076,0.0316052902569072,"rt","binomial","estimated",1,11
45,0.013390838396921,-0.00462391748690373,0.0330223127036187,"rt","binomial","estimated",1,11
46,0.0157678434866495,-0.00212738887201411,0.0355136676922931,"rt","binomial","estimated",1,11
47,0.0177021402104085,-0.000222774816055888,0.0370816691819963,"rt","binomial","estimated",1,11
48,0.0186197352976097,1.76388860765331e-05,0.0378623762642056,"rt","binomial","estimated",1,11
49,0.0197607821442823,0.00155919961907445,0.039052262563499,"rt","binomial","estimated",1,11
50,0.021108547521695,0.00246680228384741,0.0400581250940351,"rt","binomial","estimated",1,11
51,0.0230874524449618,0.00430624537674107,0.0417421483750422,"rt","binomial","estimated",1,11
52,0.0253095155769641,0.00663809974155665,0.0447779755471523,"rt","binomial","estimated",1,11
53,0.0274926733918604,0.0102349272429466,0.0468125918676109,"rt","binomial","estimated",1,11
54,0.0286234824400788,0.011195370849111,0.0484005520343533,"rt","binomial","estimated",1,11
55,0.0290376587635792,0.0113906732263199,0.0482668542375878,"rt","binomial","estimated",1,11
56,0.0290178592655981,0.011397673512917,0.047982135048912,"rt","binomial","estimated",1,11
57,0.0285851975738299,0.0112261271460097,0.0476498797880839,"rt","binomial","estimated",1,11
58,0.0278145920940456,0.0104871573422086,0.0465765305614027,"rt","binomial","estimated",1,11
59,0.0270404726371871,0.00952022774634915,0.045423601455441,"rt","binomial","estimated",1,11
60,0.0258976673582927,0.00789882228657294,0.0443405713005891,"rt","binomial","estimated",1,11
61,0.0248135664075524,0.00697473408302876,0.0427726231530638,"rt","binomial","estimated",1,11
62,0.0232053746486988,0.00494859175508923,0.0401881649531642,"rt","binomial","estimated",1,11
63,0.0218567201820443,0.00318656835180535,0.0390173917410922,"rt","binomial","estimated",1,11
64,0.0207767631230129,0.00199680849604622,0.0380388196988628,"rt","binomial","estimated",1,11
