param,m,l,u,rhat,ess,model,params,runtime,iter,confignum
sigma,0.012848857287364058,0.008997072137255372,0.0187672494202182,1.042489717711768,109.92983474653,binomial,estimated,190.49603486061096,1,25
sigma,0.01280714059158909,0.009009722733763631,0.01856501834397069,1.0262777680315798,144.75254604390494,betabinom,estimated,285.8870429992676,1,25
rho,2.0689256916913682e-5,2.1653434353015145e-6,6.03808096873923e-5,1.0237225624254127,102.45531779145874,betabinom,estimated,285.8870429992676,1,25
sigma,0.012827170898179299,0.009096302711486863,0.01811916488605572,1.0095484956372613,120.77775820203041,weighted,estimated,177.97303104400635,1,25
c,1.0410569912461631,0.7178205115481306,1.506561934286443,1.0398756991771239,129.91636874277842,weighted,estimated,177.97303104400635,1,25
sigma,0.021278032374546226,0.011847058820249437,0.03584897173244794,1.0213881617797889,104.46613336819298,binomial,estimated,160.34383606910706,2,25
sigma,0.018057377660118036,0.009418493156005854,0.03064976403404308,1.0117224227677235,119.40993615944467,betabinom,estimated,212.64150619506836,2,25
rho,2.5067923256767888e-5,2.8942714653100815e-6,5.744241067818006e-5,1.0320687108267312,108.14972063656772,betabinom,estimated,212.64150619506836,2,25
sigma,0.01941332321551707,0.008503143482678197,0.03666992783354928,1.0143649839602216,154.4100957830357,weighted,estimated,168.9348258972168,2,25
c,1.2283213887131772,0.8569464134818305,1.7039074314006815,1.014217803441564,126.76821182441022,weighted,estimated,168.9348258972168,2,25
sigma,0.010677840296918074,0.0070941167613053765,0.01561139243291044,1.0122502505665099,102.6321773784457,binomial,estimated,162.28366994857788,3,25
sigma,0.010762066884644978,0.006895320972485665,0.016577762226058668,1.015875321081949,150.80158591507697,betabinom,estimated,217.04211497306824,3,25
rho,3.613483901567465e-5,4.5150179844794545e-6,7.671101697993943e-5,1.0122963340741509,124.80392522942581,betabinom,estimated,217.04211497306824,3,25
sigma,0.010099593795342239,0.005963737605997488,0.016520060748563548,1.0145278559630981,146.9510379306121,weighted,estimated,160.71024894714355,3,25
c,1.2885543480087347,0.9877576268509014,1.747584839983093,1.0251596621265302,156.50293000640957,weighted,estimated,160.71024894714355,3,25
sigma,0.013620747687699037,0.009979175973789436,0.01858968379369677,1.022226034276655,138.3803092051252,binomial,estimated,154.1693980693817,4,25
sigma,0.013777520594233901,0.009980120073358552,0.019671213360990963,1.020911927601728,164.3449207153757,betabinom,estimated,297.6936011314392,4,25
rho,1.402814400690201e-5,9.282785623683611e-7,4.248374544246089e-5,1.0221842606928075,109.47126678982214,betabinom,estimated,297.6936011314392,4,25
sigma,0.013566837398431127,0.00998410063208856,0.018422038396003343,1.037709573762625,127.16322586410173,weighted,estimated,158.26091694831848,4,25
c,0.9802745323347837,0.6659070539017582,1.4485990498537762,1.0343514346299025,113.79600637501554,weighted,estimated,158.26091694831848,4,25
sigma,0.015463679616299287,0.00942445616569198,0.02546497448857564,1.0285672802720545,115.7493226964349,binomial,estimated,158.3511860370636,5,25
sigma,0.01551401536992155,0.009125898162512353,0.024903509538479016,1.0321190134807965,113.77280529564823,betabinom,estimated,252.7227339744568,5,25
rho,1.1844394116206403e-5,5.26249717108236e-7,3.915214405673397e-5,1.0245400396018949,112.51641674022943,betabinom,estimated,252.7227339744568,5,25
sigma,0.015563990314395685,0.010290988216795648,0.02296090554150761,1.0112176751027901,185.39799300499,weighted,estimated,169.77185702323914,5,25
c,0.8620216227443462,0.6236443742952271,1.1907825460982813,1.0358898352342991,158.50098374353186,weighted,estimated,169.77185702323914,5,25
sigma,0.019047386774447887,0.011372523217675533,0.03465192749496403,1.0413493647613996,102.55071813953373,binomial,estimated,155.3220829963684,6,25
sigma,0.01825721718640895,0.01115977295290796,0.030248169103326776,1.016632214820028,120.8873571504623,betabinom,estimated,279.18911814689636,6,25
rho,1.951497816139762e-5,1.4189919660326533e-6,5.695277234503239e-5,1.0106028789776684,132.84962594233548,betabinom,estimated,279.18911814689636,6,25
sigma,0.018168081919608437,0.01063558795767018,0.029228713825530828,1.0353318088888768,130.42020142007175,weighted,estimated,174.34110283851624,6,25
c,1.048909011959561,0.7338042026028624,1.4709580768277675,1.0059463336073153,223.4798945927152,weighted,estimated,174.34110283851624,6,25
sigma,0.014032033193506948,0.009068800193381195,0.02030915577832844,1.0230903479119111,108.71335143084673,binomial,estimated,155.03938007354736,7,25
sigma,0.013875120143987509,0.009004329234841665,0.02170864135439996,1.0087368267691375,175.96271426892363,betabinom,estimated,308.5321469306946,7,25
rho,1.280853925909524e-5,5.56689235974703e-7,4.170331095944379e-5,1.0350624389318344,104.09041924293977,betabinom,estimated,308.5321469306946,7,25
sigma,0.014769759491828552,0.00987092836651374,0.02265439220674679,1.0113045069357682,134.50247976156655,weighted,estimated,158.73271322250366,7,25
c,0.8729770586690632,0.5912170662344661,1.1776056716969567,1.0058122149147402,182.15998970591218,weighted,estimated,158.73271322250366,7,25
sigma,0.024491113184492305,0.014498476901082741,0.03857482429355304,1.0205302466874937,111.45906182998657,binomial,estimated,146.5676019191742,8,25
sigma,0.024194010688120743,0.014001669095353138,0.03924621043825905,1.0448836910039996,136.32488822847918,betabinom,estimated,205.85572290420532,8,25
rho,1.782895008076119e-5,9.295688283231579e-7,5.0120369405751364e-5,1.0336879894465252,140.6753111384915,betabinom,estimated,205.85572290420532,8,25
sigma,0.02431033610540324,0.014122823151220456,0.040446315207830826,1.0310228818699003,145.58251639803905,weighted,estimated,180.66567587852478,8,25
c,1.0165423328266148,0.7138832503173962,1.4571177455130706,1.0291959071999568,143.83162049492697,weighted,estimated,180.66567587852478,8,25
sigma,0.015215268144593272,0.010116832021770774,0.020396536793203537,1.0095716809177582,160.0496560630647,binomial,estimated,153.4163041114807,9,25
sigma,0.014992534250002371,0.010279137203838957,0.02137697605862828,1.0090359765634387,141.43312032396236,betabinom,estimated,282.3395700454712,9,25
rho,2.034623281304763e-5,3.7953264013643515e-7,5.788033092727216e-5,1.0202395703495901,109.61196993926474,betabinom,estimated,282.3395700454712,9,25
sigma,0.014885782763507214,0.010915087167278776,0.020767151959646027,1.0251789692760322,114.89108323314039,weighted,estimated,153.99064707756042,9,25
c,0.9971114395639955,0.7041867929549723,1.315321322721118,1.0026712432580083,116.97540248913843,weighted,estimated,153.99064707756042,9,25
sigma,0.020464483300836573,0.014334085161689585,0.02873435358487609,0.9980811555579753,116.84164260906329,binomial,estimated,152.74121499061584,10,25
sigma,0.0202173164716776,0.013436420196753113,0.030047611627840254,1.007131072740998,112.36862203868617,betabinom,estimated,249.6394281387329,10,25
rho,9.854818334215032e-6,1.8102243279388385e-7,3.694479264205754e-5,1.0232549901341264,123.0148337132599,betabinom,estimated,249.6394281387329,10,25
sigma,0.020392419606497292,0.013837610531383165,0.028461380207659787,1.0046840521086384,113.37184229285002,weighted,estimated,164.22020506858826,10,25
c,0.8814161501220527,0.6481100874684096,1.2498589436615615,1.0173458127624704,106.26803139553151,weighted,estimated,164.22020506858826,10,25
