param,m,l,u,rhat,ess,model,params,runtime,iter,confignum
sigma,0.024489753017711637,0.011042982716283817,0.04705068076030316,1.0166071260087797,140.214474836404,binomial,estimated,138.53331780433655,1,23
sigma,0.022582550485318847,0.011440212798066533,0.044049043347437276,1.0105369431983022,170.5161733357554,betabinom,estimated,154.21860218048096,1,23
rho,0.00032503609660065,3.3233051913825044e-5,0.0007235655923848338,1.0264053702726592,123.00992314698975,betabinom,estimated,154.21860218048096,1,23
sigma,0.025994447365201487,0.01362042683117913,0.044728733876447865,1.0110067599493437,113.72051195045994,weighted,estimated,104.2521870136261,1,23
c,1.3121660729756899,0.9734621394247971,1.771836132355237,1.0077006878773533,131.7322811937393,weighted,estimated,104.2521870136261,1,23
sigma,0.025844673518919375,0.013688017800233238,0.05307807858154166,1.0209491938848707,153.19045635468908,binomial,estimated,107.53951907157898,2,23
sigma,0.023871844977781036,0.01127559948701797,0.045389126804394574,1.0049574363625409,230.79526402312553,betabinom,estimated,149.63343000411987,2,23
rho,0.0004441781137047838,5.7752308626311816e-5,0.000940764319402211,1.0254038154337282,100.18747277488741,betabinom,estimated,149.63343000411987,2,23
sigma,0.04636118502866106,0.013917577482910509,0.11441543618777747,1.0116738612974494,112.24787265160967,weighted,estimated,136.26057887077332,2,23
c,1.7116376967681857,1.1695901005543183,2.6340062445879577,1.012628127032467,163.28337459135824,weighted,estimated,136.26057887077332,2,23
sigma,0.010153004252909216,0.004814036425911331,0.020163545602903246,1.0067046020806873,103.82167918560464,binomial,estimated,105.20975399017334,3,23
sigma,0.00991085597400788,0.005196556890615109,0.018514586281078084,1.0039996576196957,210.53229389962502,betabinom,estimated,153.77902793884277,3,23
rho,0.0002582207992844958,1.3624476806671975e-5,0.0006137715863808878,1.0269454041976356,111.75657876428726,betabinom,estimated,153.77902793884277,3,23
sigma,0.008909644369653903,0.004678231188536263,0.016933984797462966,1.0233641594126286,182.80797957772413,weighted,estimated,137.43229794502258,3,23
c,1.4611226015078715,1.088414115091614,1.913667512292723,1.0361009524421356,121.78541509104485,weighted,estimated,137.43229794502258,3,23
sigma,0.014417258105538303,0.005329895815734066,0.03407994232330552,1.0184133600027299,124.30975280432011,binomial,estimated,117.83168196678162,4,23
sigma,0.014151533200006627,0.0061354620415239045,0.03162257860072792,1.0342118444136716,141.39003167866605,betabinom,estimated,142.84463906288147,4,23
rho,0.00021040108480121494,1.5936587915896716e-5,0.0005404726458706925,1.0219734630191872,102.08833501190632,betabinom,estimated,142.84463906288147,4,23
sigma,0.024243837443934643,0.005640281086607699,0.06761793212956244,1.047287045761532,115.4838675396064,weighted,estimated,111.5201530456543,4,23
c,1.3448057199340953,0.886724604874644,1.9965431314312438,1.033203394451987,100.57852587093504,weighted,estimated,111.5201530456543,4,23
sigma,0.01333672828680717,0.0059834981542959105,0.027056341245810054,1.0136023853210139,128.80982629397303,binomial,estimated,113.25196695327759,5,23
sigma,0.011995857691511796,0.005958074257622888,0.02599744821226708,1.0217586199912314,144.7367894039434,betabinom,estimated,142.4363489151001,5,23
rho,7.929560840519152e-5,4.4477251791407936e-6,0.0002364864708103585,1.0206942819130729,114.26575017592144,betabinom,estimated,142.4363489151001,5,23
sigma,0.01330977216944233,0.005910877669786052,0.029906889589400104,1.0329217840852363,119.24688078514612,weighted,estimated,127.33643221855164,5,23
c,1.060675840931777,0.7535736131221419,1.4761986144382637,1.0126945266602845,183.04269410452653,weighted,estimated,127.33643221855164,5,23
sigma,0.01655692691178174,0.0037589113463685816,0.04379399710283218,1.015614607843102,113.24802720862544,binomial,estimated,108.09325504302979,6,23
sigma,0.014481450886174804,0.002844563880981024,0.041070275528034696,1.031559157574122,131.27926291420397,betabinom,estimated,157.45732617378235,6,23
rho,0.00022478995184134376,1.7920207096626135e-5,0.0005586952193942781,1.0033795894109752,114.27303397055925,betabinom,estimated,157.45732617378235,6,23
sigma,0.03331774076568715,0.008307961177096902,0.06463252012930466,1.027899232345908,105.83593082439101,weighted,estimated,118.72420120239258,6,23
c,1.263286878680988,0.8902897171030777,1.9057165122102586,1.0123314235248406,136.3637172056819,weighted,estimated,118.72420120239258,6,23
sigma,0.017212334931188417,0.009793781492041059,0.03139537821339356,1.0286445816404572,113.49113709065925,binomial,estimated,120.93019700050354,7,23
sigma,0.017112649804969404,0.009691281373370093,0.02932717249731592,1.012104123140077,172.02644168411447,betabinom,estimated,171.77985095977783,7,23
rho,0.00018495799424855775,8.259892367306747e-6,0.0005556289492666308,1.0156268778312356,106.76828759227193,betabinom,estimated,171.77985095977783,7,23
sigma,0.016884356279319862,0.009888016254120304,0.030542082528227994,1.018809993636744,114.54543362269922,weighted,estimated,124.57173299789429,7,23
c,1.2843374232978844,0.9299937472533509,1.7138615139225788,1.0206427422808917,116.1856519336079,weighted,estimated,124.57173299789429,7,23
sigma,0.011726815558939932,0.004760711240248128,0.03223063211379529,1.0212513804512118,103.41003957690172,binomial,estimated,120.98473405838013,8,23
sigma,0.011537269205334856,0.003570095841708828,0.029869802369956268,1.0043543834750395,130.89400556840593,betabinom,estimated,169.5888068675995,8,23
rho,0.00013231945312651924,5.55398210144719e-6,0.00036378405829816276,1.0130356808904675,111.430260771348,betabinom,estimated,169.5888068675995,8,23
sigma,0.01268628357675962,0.004535383354018567,0.027429911180927094,1.022043273046659,126.57152810960942,weighted,estimated,131.9363420009613,8,23
c,1.1048120573669562,0.8084935938340736,1.4390737986820197,1.0005352872548028,225.0129830479891,weighted,estimated,131.9363420009613,8,23
sigma,0.0149441924773035,0.004483372929324268,0.0344514953714525,1.009126070597091,119.82207127658289,binomial,estimated,109.52011513710022,9,23
sigma,0.013867571333315575,0.00459173040312047,0.029829780862360555,1.0267093045489795,116.70531691919743,betabinom,estimated,144.26169681549072,9,23
rho,0.00011916766627664499,1.7885168737462136e-6,0.00038369736306379524,1.0064418120919012,158.04402088532046,betabinom,estimated,144.26169681549072,9,23
sigma,0.014349536709359874,0.005821350380165531,0.029693742053929734,1.025914902120753,108.4089872612659,weighted,estimated,122.60106587409973,9,23
c,1.181861196978764,0.8858907092357456,1.5878836148273157,1.02765219193028,109.26742728825677,weighted,estimated,122.60106587409973,9,23
sigma,0.012028346047432895,0.006035492724337136,0.02496010707704137,1.0142038984261241,111.45154036138182,binomial,estimated,127.80405497550964,10,23
sigma,0.011745120327133086,0.005658683947626895,0.0230389719684992,1.0040606834194665,291.58496005766125,betabinom,estimated,184.36105585098267,10,23
rho,0.0002244426434781174,1.0175518939220117e-5,0.0006113079648402534,1.034904987340077,103.55912034206604,betabinom,estimated,184.36105585098267,10,23
sigma,0.012637490671126858,0.006506391196199819,0.026659827495674596,1.008544214313757,101.0852682790242,weighted,estimated,130.08542203903198,10,23
c,1.149478619162407,0.8359668015653474,1.4905388060975338,1.0163400198362036,171.84984649903376,weighted,estimated,130.08542203903198,10,23
