"t","mean","lower","upper","variable","model","params","iter","confignum"
1,-0.0689681003661197,-0.259723181756027,0.115478000165318,"rt","binomial","estimated",1,2
2,-0.0711628102649454,-0.261007621201402,0.104475688106814,"rt","binomial","estimated",1,2
3,-0.0725590084861726,-0.26268776600319,0.0959709564776837,"rt","binomial","estimated",1,2
4,-0.0727808816531921,-0.258389264868655,0.0927581298366107,"rt","binomial","estimated",1,2
5,-0.0719782368757872,-0.256525790792148,0.0908597933429438,"rt","binomial","estimated",1,2
6,-0.0710560200722555,-0.251725025935248,0.0831038202736534,"rt","binomial","estimated",1,2
7,-0.0694934859503969,-0.244575015430491,0.0818207332382788,"rt","binomial","estimated",1,2
8,-0.0677209435394326,-0.235216776520239,0.0831069554242671,"rt","binomial","estimated",1,2
9,-0.0653315062143462,-0.232728734144821,0.0860790985468425,"rt","binomial","estimated",1,2
10,-0.0635540350055844,-0.223579670548254,0.0817074620388884,"rt","binomial","estimated",1,2
11,-0.0450786056983262,-0.213300857327586,0.084303697827084,"rt","binomial","estimated",1,2
12,-0.0422460160898182,-0.200775563083737,0.0862952910587526,"rt","binomial","estimated",1,2
13,-0.0391987448676991,-0.190758431831683,0.0832564798028744,"rt","binomial","estimated",1,2
14,-0.0367013501148224,-0.182959950315971,0.0869486760640013,"rt","binomial","estimated",1,2
15,-0.0340722802916512,-0.173655849061435,0.0869799287972527,"rt","binomial","estimated",1,2
16,-0.0327214803308382,-0.169032699728838,0.0918535752044688,"rt","binomial","estimated",1,2
17,-0.0267458468449,-0.17019923247,0.0858783414228777,"rt","binomial","estimated",1,2
18,-0.0245463173586775,-0.166044405610692,0.0844913240068849,"rt","binomial","estimated",1,2
19,-0.023074803748685,-0.164944501040445,0.0898379967428345,"rt","binomial","estimated",1,2
20,-0.0207377233369272,-0.157307129249458,0.0925691853092237,"rt","binomial","estimated",1,2
21,-0.0196522665831322,-0.154399837255594,0.0944641849866664,"rt","binomial","estimated",1,2
22,-0.0184577142695323,-0.154677256789385,0.0955197236564609,"rt","binomial","estimated",1,2
23,-0.0162265765900902,-0.149552569505075,0.0992318156757294,"rt","binomial","estimated",1,2
24,-0.0145397953711584,-0.148800952453182,0.102220982685692,"rt","binomial","estimated",1,2
25,-0.0129675231926362,-0.148655287653812,0.100554640460599,"rt","binomial","estimated",1,2
26,-0.0102554022653891,-0.14367232025895,0.10156770311952,"rt","binomial","estimated",1,2
27,-0.0071440816413749,-0.137912396881509,0.113076895976219,"rt","binomial","estimated",1,2
28,-0.00488742833420467,-0.138509911917706,0.116099839400985,"rt","binomial","estimated",1,2
29,-0.00250069840130131,-0.132825353587693,0.114060375725407,"rt","binomial","estimated",1,2
30,-0.000542804098394075,-0.127163780318544,0.115873926843806,"rt","binomial","estimated",1,2
31,0.00147461451557944,-0.120719019280443,0.122559149031803,"rt","binomial","estimated",1,2
32,0.00321513417210372,-0.122739929099727,0.12051398108465,"rt","binomial","estimated",1,2
33,0.00582677700660656,-0.117828056429553,0.122883323524979,"rt","binomial","estimated",1,2
34,0.00740636409505201,-0.119292048619634,0.128185906171779,"rt","binomial","estimated",1,2
35,0.010368266363982,-0.115337392590145,0.132407036733503,"rt","binomial","estimated",1,2
36,0.0127790133988417,-0.11116325163118,0.136537818447754,"rt","binomial","estimated",1,2
37,0.0135344274667313,-0.111127360023956,0.132013800712771,"rt","binomial","estimated",1,2
38,0.0148507226401116,-0.108571710894724,0.130018957787294,"rt","binomial","estimated",1,2
39,0.0158830256408578,-0.108081922025035,0.129164710315376,"rt","binomial","estimated",1,2
40,0.0175960713331334,-0.105563752973502,0.13522361296325,"rt","binomial","estimated",1,2
41,0.0185822562419271,-0.109719081903043,0.138740767996808,"rt","binomial","estimated",1,2
42,0.0200792877131439,-0.105268160664871,0.139738794952376,"rt","binomial","estimated",1,2
43,0.0212711401727479,-0.103217892727805,0.137882784893858,"rt","binomial","estimated",1,2
44,0.0232697666466567,-0.104091352520392,0.143262409012283,"rt","binomial","estimated",1,2
45,0.0244355487629361,-0.104075832370906,0.142622009234867,"rt","binomial","estimated",1,2
46,0.0271995254450759,-0.0989361186040225,0.140966439904175,"rt","binomial","estimated",1,2
47,0.0298689627277066,-0.0977623063703805,0.142678698115242,"rt","binomial","estimated",1,2
48,0.0330067506149087,-0.086174269830742,0.151452433609307,"rt","binomial","estimated",1,2
49,0.0367996133216216,-0.0813798183410318,0.157242138071935,"rt","binomial","estimated",1,2
50,0.0396356288903675,-0.0764807080228771,0.157625726896053,"rt","binomial","estimated",1,2
51,0.0429614484717205,-0.070047460837065,0.164532281788208,"rt","binomial","estimated",1,2
52,0.0463415559782595,-0.0632545174553912,0.173905571143989,"rt","binomial","estimated",1,2
53,0.0499896548528495,-0.0569384104965409,0.178780333307936,"rt","binomial","estimated",1,2
54,0.053396211604953,-0.046844653509304,0.186836146844356,"rt","binomial","estimated",1,2
55,0.0561146623833006,-0.0425178489891717,0.192039593804636,"rt","binomial","estimated",1,2
56,0.0592092859872329,-0.0400238599574237,0.196501650516539,"rt","binomial","estimated",1,2
57,0.0617737571572664,-0.0383206413787532,0.196885105007876,"rt","binomial","estimated",1,2
58,0.0637396660401462,-0.0325040580715652,0.202289517537119,"rt","binomial","estimated",1,2
59,0.0653816650305833,-0.031561379034353,0.201415935578815,"rt","binomial","estimated",1,2
