param,m,l,u,rhat,ess,model,params,runtime,iter,confignum
sigma,0.011044128497779531,0.0067335662838201105,0.01719722393520942,1.0330234479133362,147.67184470682497,binomial,estimated,173.98644995689392,1,10
sigma,0.01091959374697758,0.006356996461203212,0.01760041211105812,1.027429315381527,114.51551800863946,betabinom,estimated,213.59927988052368,1,10
rho,2.133516580848676e-5,2.21833711544046e-6,6.237316295478409e-5,1.0229955815066962,133.14507677369025,betabinom,estimated,213.59927988052368,1,10
sigma,0.010775098396854527,0.006704931149313538,0.01761361656746429,1.0117612731602112,133.8386422975524,weighted,estimated,141.05184602737427,1,10
c,1.0928357548964036,0.8547745164128577,1.4285854866096122,1.0270120956240492,102.9658168223615,weighted,estimated,141.05184602737427,1,10
sigma,0.006247819130087963,0.0035810394774798424,0.009695864274278921,1.0134110140686703,109.85198126132745,binomial,estimated,137.02666115760803,2,10
sigma,0.005431450256946024,0.003259626245701403,0.010205845618607507,1.0126165398139892,147.05269987237645,betabinom,estimated,191.42013597488403,2,10
rho,2.4317347896071022e-5,3.6798307215129833e-6,6.196690224760287e-5,1.041679522986174,110.60516533005794,betabinom,estimated,191.42013597488403,2,10
sigma,0.0058291021202438245,0.003201371766166914,0.010201932258502956,1.0223548966495775,133.87551794319333,weighted,estimated,136.6563789844513,2,10
c,1.1749062751640709,0.8557792143767095,1.57505148708757,1.017895235709053,189.67999257473437,weighted,estimated,136.6563789844513,2,10
sigma,0.013222783566358962,0.007397090279071452,0.02079768091819913,1.0187643571765794,155.11713835058424,binomial,estimated,129.53906297683716,3,10
sigma,0.01242323937683107,0.007851887187914346,0.01977715649532617,1.0055955652956825,142.18107284274075,betabinom,estimated,209.77315402030945,3,10
rho,1.4941323429993624e-5,3.193526925651774e-7,4.954365892388689e-5,1.0488771009571762,102.36685997769347,betabinom,estimated,209.77315402030945,3,10
sigma,0.013731206903307897,0.006536226284623302,0.02512796119574741,1.0220193450356956,107.58688089446797,weighted,estimated,134.8812780380249,3,10
c,1.0188290696434124,0.74808127546208,1.38305431384354,1.011147446319976,164.33273588242713,weighted,estimated,134.8812780380249,3,10
sigma,0.007261715515219617,0.00430936199969667,0.013064867335136843,1.0164058298974707,104.43704989993414,binomial,estimated,141.58361291885376,4,10
sigma,0.007211781680046365,0.003557124040081526,0.014370292116843025,1.0124780811953762,127.84312646856753,betabinom,estimated,254.9548180103302,4,10
rho,1.3386425884871476e-5,7.3776422528353e-7,3.9685412664815944e-5,1.0235543813556012,107.8749073615391,betabinom,estimated,254.9548180103302,4,10
sigma,0.007125496094568088,0.004027654115255931,0.010366301029481073,1.0107032304415053,103.69335127256413,weighted,estimated,133.180508852005,4,10
