param,m,l,u,rhat,ess,model,params,runtime,iter,confignum
sigma,0.007750353733769577,0.0039019262318880075,0.012365978266902495,1.0091564322699311,118.8995777391514,binomial,estimated,149.97103595733643,1,11
sigma,0.0069483552231858784,0.003570810208597411,0.013316730463046482,1.025810245378876,123.29295994503993,betabinom,estimated,228.78375101089478,1,11
rho,1.093358384730494e-5,8.714699205943386e-7,3.7010495692098865e-5,1.0153878387085484,101.06883141479342,betabinom,estimated,228.78375101089478,1,11
sigma,0.007529657539135162,0.00421213850393843,0.012383159344467156,1.008247965808647,142.44365140003404,weighted,estimated,118.20475196838379,1,11
c,1.1681225743863723,0.8808439246533197,1.5648107696345552,1.0111795230684797,101.6234509149377,weighted,estimated,118.20475196838379,1,11
sigma,0.010453379286883762,0.006466381273816555,0.020223553331921083,1.0124747784392591,128.0696370756339,binomial,estimated,127.34250092506409,2,11
sigma,0.010715036628020447,0.005364174182029986,0.01797635333171953,1.026752055656268,157.36897996117912,betabinom,estimated,195.16100311279297,2,11
rho,4.839009082446278e-5,7.545944994716354e-6,9.908469985900311e-5,1.0341332746246945,125.04112137696235,betabinom,estimated,195.16100311279297,2,11
sigma,0.010041307500533971,0.004639811639557073,0.019945312857283876,1.0287882343905694,159.72221273296813,weighted,estimated,115.77872896194458,2,11
c,2.085503049085069,1.45470761239587,2.6872263082011094,1.0129827712461312,123.57136320853257,weighted,estimated,115.77872896194458,2,11
sigma,0.007576387567193964,0.0044469007458718054,0.012678908614755315,1.0124476657465389,104.5928074592423,binomial,estimated,104.21502184867859,3,11
sigma,0.007682026541574012,0.004160437481505824,0.01258054994721445,1.0251633362811623,162.2088082871573,betabinom,estimated,200.0381419658661,3,11
rho,1.9966447031688496e-5,6.030675773585556e-8,5.4362706986891975e-5,1.0127200992947794,106.4984141563108,betabinom,estimated,200.0381419658661,3,11
sigma,0.007173363715519551,0.0034583892724124573,0.01452420884596968,1.0252098948018762,149.20283877783913,weighted,estimated,141.54917120933533,3,11
c,1.2010358496699618,0.8857334135026982,1.6749212832288654,1.0044013550908826,217.4369900921885,weighted,estimated,141.54917120933533,3,11
sigma,0.01042470186087896,0.005751540343603276,0.018234164442529587,1.0150664510111393,116.54287414643467,binomial,estimated,103.28684496879578,4,11
sigma,0.009346972731124132,0.005303856150366172,0.01683710793706276,1.0143983419209506,181.0621270208139,betabinom,estimated,186.95633387565613,4,11
rho,2.495719730016688e-5,1.1002006574536465e-6,6.771876814313042e-5,1.017506510954958,121.44824389917576,betabinom,estimated,186.95633387565613,4,11
sigma,0.010232230770910008,0.005074366361142321,0.018882047751431662,1.0114788083710373,110.83499055624108,weighted,estimated,121.56211996078491,4,11
c,1.4291400069809372,0.9788732929608003,1.909124642093614,1.008941052214768,133.20279260739056,weighted,estimated,121.56211996078491,4,11
sigma,0.011465697174174653,0.006638180573112976,0.01716785108872715,1.0276723787995805,123.52236066669336,binomial,estimated,114.84711480140686,5,11
sigma,0.010318031372917374,0.006449309016015084,0.015540696444272395,1.0115375529533486,138.10940615297065,betabinom,estimated,207.43563103675842,5,11
rho,2.3548183733068994e-5,6.678019044710578e-7,5.5107220239860216e-5,1.0060050822738054,108.4182922501075,betabinom,estimated,207.43563103675842,5,11
sigma,0.010452329223626365,0.006273136143978517,0.016441932091043693,1.0103414697458726,130.16457649661024,weighted,estimated,116.40109205245972,5,11
c,1.2582636141610388,0.9368719002519506,1.7447320948867893,1.049046965734374,121.70107251182681,weighted,estimated,116.40109205245972,5,11
sigma,0.009587610323914697,0.005731412681223757,0.016231919660325826,1.0042481426283527,122.63177197791768,binomial,estimated,115.33837914466858,6,11
sigma,0.009052747003864246,0.005652502064693334,0.015096635720635042,1.0318719815056954,105.34507129940452,betabinom,estimated,243.84361100196838,6,11
rho,1.3996469967764884e-5,6.116053479848988e-7,5.0841981276513005e-5,1.0283155923970104,126.09959562861759,betabinom,estimated,243.84361100196838,6,11
sigma,0.01147288148794844,0.005898717572406003,0.021955345033912103,1.0191000617511512,101.75585298378616,weighted,estimated,161.68196606636047,6,11
c,1.6454151982248886,1.1242728144990295,2.410101235889189,1.008232385499185,172.09083451469172,weighted,estimated,161.68196606636047,6,11
sigma,0.011643484570252298,0.006943344215401389,0.021512354485429607,1.0481776382183705,101.88710957227738,binomial,estimated,122.0211169719696,7,11
