param,m,l,u,rhat,ess,model,params,runtime,iter,confignum
sigma,0.021301152085201464,0.010659023848500652,0.04006412611073198,1.0223701353880257,119.74317315135208,binomial,estimated,126.89027810096741,1,19
sigma,0.01906545114486724,0.010148456581676693,0.03355866753839609,1.0049817157240777,242.4821122602825,betabinom,estimated,146.32035207748413,1,19
rho,0.00121287059083747,4.710825802908998e-5,0.004558877971811025,1.043898075090328,129.28681532126294,betabinom,estimated,146.32035207748413,1,19
sigma,0.0217962900728724,0.012085417978322325,0.04446793048095767,1.0185271842414232,112.37138821701083,weighted,estimated,123.65473985671997,1,19
c,0.9221583798917938,0.6923548874286636,1.2507152130474353,1.0348899884693818,204.18521823371427,weighted,estimated,123.65473985671997,1,19
sigma,0.0073847005991914015,0.0017131381408746272,0.01859595267043926,1.0034974642352383,122.46577712229247,binomial,estimated,110.50713610649109,2,19
sigma,0.008286212012677138,0.0010926812566370743,0.02172629275427353,1.002230228212101,194.12729531290577,betabinom,estimated,160.42180514335632,2,19
rho,0.001748712162125391,0.00010651520830392289,0.005433498901661428,1.046205293239477,100.60659130547094,betabinom,estimated,160.42180514335632,2,19
sigma,0.008333154134804026,0.0017624333422147686,0.018166271117901426,1.0101000078615834,112.17679096489019,weighted,estimated,124.28779101371765,2,19
c,1.0450626802651373,0.7761202161913608,1.4932310719983863,1.029714681348481,109.86401926008226,weighted,estimated,124.28779101371765,2,19
sigma,0.034511791180988134,0.01002424500830419,0.08300672657628619,1.0389409691866756,148.133348039807,binomial,estimated,107.89843702316284,3,19
sigma,0.02344591830979841,0.00742983822975515,0.06354149325405879,1.003530587082374,150.9527897251992,betabinom,estimated,150.04061698913574,3,19
rho,0.002763292449066795,0.00025112841842621396,0.006860701149821384,1.0307695534660581,156.1825292326022,betabinom,estimated,150.04061698913574,3,19
sigma,0.03964768533250156,0.011847338431959087,0.09576338106742184,1.0013742970480586,114.33814690384602,weighted,estimated,126.75905704498291,3,19
c,1.1904529851562473,0.8225517368207366,1.6950701543920854,1.0317935131863523,146.06059738919507,weighted,estimated,126.75905704498291,3,19
sigma,0.014168147451163965,0.0015406478331092429,0.044478175359453455,1.0260439008342215,115.1545735020324,binomial,estimated,107.40802001953125,4,19
sigma,0.01472516119234064,0.0017347358601947308,0.04945306193195442,1.0470616547291984,117.17326115934621,betabinom,estimated,133.13508796691895,4,19
rho,0.002809336182030872,0.000330914882558344,0.007106481851492547,1.03980149677587,134.0435824805202,betabinom,estimated,133.13508796691895,4,19
sigma,0.044359283914673475,0.017686327744000405,0.09861084150957325,1.0136836043908322,132.13620825237342,weighted,estimated,126.0677239894867,4,19
c,1.2204014780604604,0.8201892505980543,1.966403643667284,1.0202942080322166,139.878739887094,weighted,estimated,126.0677239894867,4,19
sigma,0.006310252016269566,0.00022011296320889086,0.022195819748422344,1.0044282929389965,114.49248722050918,binomial,estimated,102.50787401199341,5,19
sigma,0.006718766876172494,7.946836678224072e-5,0.024709798553827156,1.0237181130967077,149.18679712496586,betabinom,estimated,144.73063802719116,5,19
rho,0.0024248316856208345,0.0001415419825326193,0.006664950580720966,1.0296525228236686,113.87717285887538,betabinom,estimated,144.73063802719116,5,19
sigma,0.021221232042348943,0.0006642191255187849,0.07484581712447459,1.0201635405609284,102.63565952639956,weighted,estimated,117.6005928516388,5,19
c,1.2224898919761265,0.8363355018324405,1.7606584054092085,1.016851443482428,199.80530589145624,weighted,estimated,117.6005928516388,5,19
sigma,0.02510833275049835,0.0017935743220780197,0.09581954707543709,1.0228515671773695,110.41357256700482,binomial,estimated,90.9203588962555,6,19
sigma,0.02297028329494708,0.001240900244672112,0.08970545998872945,1.0371211239373805,111.36794049496648,betabinom,estimated,134.6282160282135,6,19
rho,0.0021073010476112958,9.671612693934331e-5,0.0067822957548529525,1.0323693175143636,116.81496835791772,betabinom,estimated,134.6282160282135,6,19
sigma,0.09265701222808766,0.0339473830908815,0.18072081369062903,1.0261599409296414,105.99150324763976,weighted,estimated,124.96093893051147,6,19
c,0.9230321612648571,0.6119781822875204,1.444121339385538,1.0099726322903673,103.57279153696939,weighted,estimated,124.96093893051147,6,19
sigma,0.011842664493199085,0.000786942612807635,0.032520216126684647,1.039810456310479,120.30108462662528,binomial,estimated,105.18085598945618,7,19
sigma,0.009647003565677086,4.174959442569334e-5,0.03720910944232247,1.0184171564338684,115.01906654834013,betabinom,estimated,141.80033993721008,7,19
rho,0.0028400929909337316,0.0002600643675761828,0.006373764945912336,1.0205833392459651,100.63873998563051,betabinom,estimated,141.80033993721008,7,19
sigma,0.012818465582458336,0.0021429081071937224,0.036828331433052995,1.0199406977045409,102.82994397222052,weighted,estimated,158.29247403144836,7,19
c,1.2402058501655309,0.8506387915531646,1.7491385478892865,1.0424242436368327,134.78520434567562,weighted,estimated,158.29247403144836,7,19
