"t","mean","lower","upper","variable","model","params","iter","confignum"
1,-0.0302531564429531,-0.149132496535383,0.110601726545099,"rt","binomial","estimated",1,4
2,-0.0301203975756715,-0.136975985746995,0.101918797534644,"rt","binomial","estimated",1,4
3,-0.0295439910366656,-0.131637414833121,0.094147198587742,"rt","binomial","estimated",1,4
4,-0.027818759217785,-0.117100984337751,0.0913224965293768,"rt","binomial","estimated",1,4
5,-0.0259919011064654,-0.104637196981914,0.0900526172795176,"rt","binomial","estimated",1,4
6,-0.0249525034226116,-0.0989630680346013,0.0845375595552312,"rt","binomial","estimated",1,4
7,-0.0247749333900782,-0.0918581138604629,0.0802651066607899,"rt","binomial","estimated",1,4
8,-0.0258414232311438,-0.0911232894309357,0.0747340681438157,"rt","binomial","estimated",1,4
9,-0.0274309764524724,-0.090858113306604,0.068247767977551,"rt","binomial","estimated",1,4
10,-0.0302842991186734,-0.0921290707204583,0.0566564429889512,"rt","binomial","estimated",1,4
11,-0.0315996769835652,-0.0958982432401848,0.045389451968747,"rt","binomial","estimated",1,4
12,-0.0343463552892492,-0.0963523238056648,0.0363866194458052,"rt","binomial","estimated",1,4
13,-0.0359337654934422,-0.100794521425001,0.0331563670136417,"rt","binomial","estimated",1,4
14,-0.0371789875168884,-0.103301461300704,0.030324001942504,"rt","binomial","estimated",1,4
15,-0.0375249512501961,-0.104280202250824,0.0287021494347494,"rt","binomial","estimated",1,4
16,-0.0384208985500091,-0.10596620035231,0.0269492262088395,"rt","binomial","estimated",1,4
17,-0.0390723044487519,-0.105247302133188,0.0259592864209443,"rt","binomial","estimated",1,4
18,-0.0391269616360712,-0.105780503045792,0.0294908575828141,"rt","binomial","estimated",1,4
19,-0.0391907683528668,-0.104860460792486,0.0294119056070148,"rt","binomial","estimated",1,4
20,-0.0400648610415277,-0.106394487794063,0.0300630899567782,"rt","binomial","estimated",1,4
21,-0.0410885821425508,-0.108924821094795,0.0297139329098002,"rt","binomial","estimated",1,4
22,-0.0418524624723139,-0.113015463963087,0.0307820614823419,"rt","binomial","estimated",1,4
23,-0.0428439297891658,-0.112433352943433,0.0296655442614135,"rt","binomial","estimated",1,4
24,-0.0438008189801163,-0.115651676167692,0.0262431933698891,"rt","binomial","estimated",1,4
25,-0.0455707630623305,-0.121758375849942,0.0230397746330871,"rt","binomial","estimated",1,4
26,-0.0489570559355483,-0.127192949252172,0.01267073976629,"rt","binomial","estimated",1,4
27,-0.05160834582354,-0.136008058987904,0.00902849914882986,"rt","binomial","estimated",1,4
28,-0.054032581578502,-0.145229312229697,0.00569109631160278,"rt","binomial","estimated",1,4
29,-0.0549164024485078,-0.147564115451697,0.00152983928225571,"rt","binomial","estimated",1,4
30,-0.0561306916731737,-0.15018114993653,-0.00100930303980716,"rt","binomial","estimated",1,4
31,-0.056180179188304,-0.151517587324004,-0.000335031809054816,"rt","binomial","estimated",1,4
32,-0.055839034165503,-0.150920602296787,0.00215940668190084,"rt","binomial","estimated",1,4
33,-0.0551631601319259,-0.147188827194651,0.00258710263216626,"rt","binomial","estimated",1,4
34,-0.054092483391484,-0.147214084451337,0.0057484561861496,"rt","binomial","estimated",1,4
35,-0.0521562509017384,-0.145080401700838,0.00829795194165565,"rt","binomial","estimated",1,4
