obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,theoreticalvar,iter,confignum
weighted,1,0.0026311689567067205,0.010026346335196966,100,1,0.010792105708795517,0.011969226912132471,0.00013670722298270626,1,5
weighted,2,0.012511407668370405,0.010152578063286908,100,0,0.0,0.012882614707991336,0.00016397921949975704,1,5
weighted,3,0.010918803560691104,0.010264039474049441,100,1,0.011300750361766565,0.013056931939381485,0.0001663074375120899,1,5
weighted,4,-0.0027298181756294053,0.01023605872109762,100,0,0.0,0.012154696725173978,0.00014657931204280922,1,5
weighted,5,-0.0015229432630316647,0.01022048164893761,100,2,0.015642487894927677,0.012400569233856433,0.00015365405818738485,1,5
weighted,6,-0.0053091305708763085,0.010166363564472704,100,0,0.0,0.01212737392043027,0.0001408907195157,1,5
weighted,7,-0.006092885524365196,0.01010460939665573,100,1,0.006202528881338313,0.013476790276147272,0.00017424676509825493,1,5
weighted,8,-0.017284415929102282,0.009931457847485694,100,1,0.007206548328035129,0.01331377040033324,0.0001725257676483058,1,5
weighted,9,-0.00972307969936215,0.009835361424955948,100,1,0.014213029500647244,0.012855432792911327,0.00015544996607078158,1,5
weighted,10,-0.010827185444305948,0.009729446557531463,100,0,0.0,0.013920528477456244,0.00019370744829322233,1,5
weighted,11,-0.004336248769395764,0.009687348596449596,100,1,0.007980201324830892,0.012382535581657899,0.00014505944285853002,1,5
weighted,12,0.013939387223242106,0.009823329845515184,100,0,0.0,0.012524065961667758,0.00014632532798281934,1,5
weighted,13,0.019935888392530753,0.010021131780456948,100,1,0.008830647081000103,0.013000557250831673,0.0001625514138953874,1,5
weighted,14,0.011994743678656961,0.010142056468027674,100,1,0.010086479347503547,0.01194412308205847,0.00013760658394683164,1,5
weighted,15,0.008950103743488378,0.010233236351639646,100,1,0.011337936999916788,0.01298142914925868,0.00017320558222910933,1,5
weighted,16,0.011210955434521467,0.010348606203102958,100,2,0.023284857575800087,0.012393501187055735,0.0001552136627364625,1,5
weighted,17,0.00486753822680781,0.010399101232936844,100,2,0.01205368014016085,0.012577526093349467,0.0001538937738796742,1,5
weighted,18,0.008585659879634132,0.010488768755794829,100,0,0.0,0.01308694046889606,0.00017876993556785621,1,5
weighted,19,0.010775014392010965,0.01060239646081669,100,0,0.0,0.012560967202935234,0.0001691580221910285,1,5
weighted,20,0.0164292018118331,0.010778024132779156,100,1,0.02444957469259739,0.012807302941947063,0.0001667948183903073,1,5
weighted,21,0.022635449244773675,0.01102477163600926,100,2,0.026222503104632013,0.012164883689363012,0.000159221280264984,1,5
weighted,22,0.04284873382097205,0.011507436075358634,100,1,0.011047883209252457,0.012008566421782727,0.00016033511792701456,1,5
weighted,23,0.052912136703420265,0.012132715669945449,100,1,0.006435342399593423,0.013199097298114647,0.00021314148051511557,1,5
weighted,24,0.04543655818647772,0.012696700245835678,100,0,0.0,0.012972962672312727,0.0002000145868375913,1,5
weighted,25,0.055747751251833094,0.013424614001881087,100,0,0.0,0.01238091701824609,0.00019787289019247483,1,5
weighted,26,0.05312673234378667,0.014157105027284707,100,2,0.014549630276734627,0.012704110235604563,0.00021725580420058253,1,5
weighted,27,0.045930341935787676,0.014822509863993668,100,2,0.037992298948005945,0.013117997895904855,0.00024583629567186284,1,5
weighted,28,0.04404950759122171,0.01549002811803064,100,2,0.04246270794413723,0.012793021729937163,0.00024697878762145164,1,5
weighted,29,0.04407400649371628,0.016188004033157188,100,0,0.0,0.013012468021249102,0.00025298590755780593,1,5
weighted,30,0.043123183701759625,0.016901352695169885,100,1,0.008177979184600519,0.01265314989698087,0.0002508080806410377,1,5
weighted,31,0.04831101458097788,0.017737919176755428,100,1,0.012554138953822512,0.012488759029437864,0.00026621544442400203,1,5
weighted,32,0.05198110870679105,0.018684340808762103,100,1,0.02451029486296806,0.012827002424766828,0.00028112270775930117,1,5
weighted,33,0.0504841494191626,0.019651819561288624,100,0,0.0,0.012657589466543658,0.00030612938394473997,1,5
weighted,34,0.055447923953479056,0.020772247822625253,100,1,0.011345240436464208,0.012446577617734648,0.00030418480601271007,1,5
