"t","mean","lower","upper","variable","model","params","iter","confignum"
1,-0.0348017410671757,-0.287576861076109,0.195770478046451,"rt","binomial","estimated",1,30
2,-0.0297672722913399,-0.127476122126551,0.0555048214432944,"rt","binomial","estimated",1,30
3,0.069182617697474,-0.0171838477698077,0.157902680956415,"rt","binomial","estimated",1,30
4,0.415099624659757,0.323379764140699,0.507696566474764,"rt","binomial","estimated",1,30
5,-0.253409444364423,-0.397753435466819,-0.139656906693167,"rt","binomial","estimated",1,30
6,-0.228891266799755,-0.342633900368067,-0.0840172611844616,"rt","binomial","estimated",1,30
7,0.000415118151290046,-0.0865033302158074,0.0835040337345201,"rt","binomial","estimated",1,30
8,0.178783609143342,0.101417979865481,0.257108671438343,"rt","binomial","estimated",1,30
9,0.117165485629015,0.0407975188277109,0.190132804222714,"rt","binomial","estimated",1,30
10,0.0932877124810417,0.0227606840385591,0.165557691476491,"rt","binomial","estimated",1,30
11,-0.213458972516845,-0.29016605017983,-0.137367436624695,"rt","binomial","estimated",1,30
12,0.0195968063472426,-0.0543667946726401,0.094359143035984,"rt","binomial","estimated",1,30
13,-0.0917458466425845,-0.166433271630879,-0.0107321426313643,"rt","binomial","estimated",1,30
14,0.00855506196596868,-0.0707809245044269,0.0813856850472781,"rt","binomial","estimated",1,30
15,0.0600667737251648,-0.00905147404675785,0.132488306354898,"rt","binomial","estimated",1,30
16,0.119036629386659,0.0429335511863855,0.200137877134264,"rt","binomial","estimated",1,30
17,-0.14675956597459,-0.223890638800861,-0.055817261165909,"rt","binomial","estimated",1,30
18,0.0148717648279436,-0.066241463300269,0.085893473992435,"rt","binomial","estimated",1,30
19,-0.107616131443727,-0.185671385808654,-0.0253494370785087,"rt","binomial","estimated",1,30
20,0.0431950122699516,-0.0362858727201464,0.119590873748336,"rt","binomial","estimated",1,30
21,0.125226214405584,0.0469893728292547,0.215635664084388,"rt","binomial","estimated",1,30
22,-0.102962507957508,-0.184725929489008,-0.0342093180923841,"rt","binomial","estimated",1,30
23,0.277560114453908,0.198411485644465,0.360014074169297,"rt","binomial","estimated",1,30
24,0.0111486325896252,-0.0543322861010069,0.102790125053233,"rt","binomial","estimated",1,30
25,-0.00680766070827053,-0.078247613876438,0.0699575332239084,"rt","binomial","estimated",1,30
26,-0.0202696329594275,-0.0764212301977248,0.0370535578197371,"rt","binomial","estimated",1,30
27,0.00467543946095967,-0.0686042693011606,0.0890192346172765,"rt","binomial","estimated",1,30
28,0.0746643015368904,-0.000519944987321511,0.139670759660952,"rt","binomial","estimated",1,30
29,-0.0170941265810811,-0.0834516727742425,0.0374168176334325,"rt","binomial","estimated",1,30
30,0.0719209662082223,-0.00553081553795745,0.140913159737293,"rt","binomial","estimated",1,30
31,-0.157806962327911,-0.22798751137357,-0.079759378255223,"rt","binomial","estimated",1,30
32,0.253953013240046,0.170012696848001,0.330769248514211,"rt","binomial","estimated",1,30
33,0.0377177175460616,-0.0273601753060502,0.111421520362036,"rt","binomial","estimated",1,30
34,-0.0678947935278835,-0.1248234718614,-0.00618046584961406,"rt","binomial","estimated",1,30
35,0.201470938004822,0.135670199474285,0.261813512698395,"rt","binomial","estimated",1,30
36,0.209706064073833,0.146892501717798,0.264053241309677,"rt","binomial","estimated",1,30
37,-0.0240302544004691,-0.0702390014452604,0.0177246894234291,"rt","binomial","estimated",1,30
38,-0.00352264284116226,-0.0566981691070634,0.0684492379947452,"rt","binomial","estimated",1,30
39,-0.0669650244824483,-0.12673004533197,-0.00111199406000279,"rt","binomial","estimated",1,30
40,0.102001301932023,0.0579113024508105,0.155755343518863,"rt","binomial","estimated",1,30
41,0.0897992232740115,0.0468758167203688,0.134880277221736,"rt","binomial","estimated",1,30
