param,m,l,u,rhat,ess,model,params,runtime,iter,confignum
sigma,0.009404001789488544,0.006181564295471032,0.015242246219756481,1.0257760035947496,134.2398878411615,binomial,estimated,127.32464289665222,1,14
sigma,0.009251475862496538,0.005708137490892857,0.013913983487045898,1.0382258042360775,88.9427564429322,betabinom,estimated,247.5705590248108,1,14
rho,2.5270621568926197e-6,3.832072775006295e-8,6.071515778714357e-6,1.0337625559386974,48.340263432266276,betabinom,estimated,247.5705590248108,1,14
sigma,0.014822920328852468,0.006679919080263372,0.024360216580345685,1.0105439914498382,126.49596593077392,weighted,estimated,131.64904284477234,1,14
c,1.6233368703071183,1.0199755155319852,2.4501501314045,1.0153008931567322,101.1786877481633,weighted,estimated,131.64904284477234,1,14
sigma,0.0073023761966465595,0.004380024769608525,0.011219923785985084,1.0029744074944247,117.22256663679525,binomial,estimated,102.532222032547,2,14
sigma,0.007164542996166663,0.004247938000864098,0.012004746673977978,1.1169843659028358,56.85944361138029,betabinom,estimated,243.99165296554565,2,14
rho,1.1216847795762002e-6,2.175516130158166e-8,4.250740741240323e-6,1.144058279275954,42.49760529061515,betabinom,estimated,243.99165296554565,2,14
sigma,0.012921784710353731,0.00770206061158386,0.021711620756089164,1.0136643239160377,108.55340942137612,weighted,estimated,126.69001913070679,2,14
c,1.4285598553087948,0.8991829769147255,2.1550187273564374,1.0250227627235207,110.97323182942995,weighted,estimated,126.69001913070679,2,14
sigma,0.011160768363261154,0.007405931151172763,0.015755964756070585,1.0075998451940922,106.907537023073,binomial,estimated,93.49834895133972,3,14
sigma,0.010526845167647837,0.006859545092523764,0.016300359071425023,1.0368399943175388,107.28096088543532,betabinom,estimated,214.63060307502747,3,14
rho,4.042677057506514e-6,2.6733539692556734e-7,9.412407905646078e-6,1.0230746426033726,102.90073571775757,betabinom,estimated,214.63060307502747,3,14
sigma,0.014051615647048155,0.00712325261841771,0.02440181295165602,1.0200010976054483,123.55761966918801,weighted,estimated,135.76610612869263,3,14
c,2.955620900288443,1.7708170141491486,4.4777823499341185,1.032599694407218,105.60983817046004,weighted,estimated,135.76610612869263,3,14
sigma,0.010148901153495121,0.006589850449444286,0.014622725239117704,1.0141633297113113,122.2469194119522,binomial,estimated,99.8832848072052,4,14
sigma,0.010202109075720984,0.006375982891017929,0.017105004717417868,1.0195844936664105,62.322676534305835,betabinom,estimated,243.78546905517578,4,14
rho,1.5711115585696007e-6,1.6822457174232593e-7,4.6740867443324884e-6,1.0763983428633308,70.24901230453581,betabinom,estimated,243.78546905517578,4,14
sigma,0.014066995621701115,0.007081209591458318,0.024429789048806785,1.0236313185140526,117.35882409293121,weighted,estimated,191.87620091438293,4,14
c,1.572348756185972,1.0435463945330572,2.2425915625958415,1.0475987012600614,106.26968847591996,weighted,estimated,191.87620091438293,4,14
sigma,0.004955312932308333,0.002941371252197375,0.008532930597404157,1.0405177309934277,108.26882320473469,binomial,estimated,112.1439437866211,5,14
sigma,0.004837260484078174,0.002163346913812161,0.008286968795266953,1.0396379468406354,80.93481604705141,betabinom,estimated,242.69012784957886,5,14
rho,2.866958101436008e-6,2.62325860291571e-8,7.19726343474505e-6,1.062847464739054,68.41845795042973,betabinom,estimated,242.69012784957886,5,14
sigma,0.011794224819399369,0.005589449893112899,0.02245137788971335,1.0072389879306103,117.8651007419785,weighted,estimated,137.54458713531494,5,14
c,2.040815526032225,1.1220298834678089,2.981465637861504,1.0296689931462752,106.80546552006687,weighted,estimated,137.54458713531494,5,14
sigma,0.006404585424470133,0.004062961430832134,0.009582636486429057,1.040728112426805,133.39280130653978,binomial,estimated,112.01174402236938,6,14
sigma,0.0066959829093500315,0.0036131229181395165,0.011692122832370044,1.0111113226404054,78.1926869125017,betabinom,estimated,251.89675188064575,6,14
rho,2.486837265297267e-6,9.893292683010788e-8,5.891395511729723e-6,1.0906625697107255,84.1629248220975,betabinom,estimated,251.89675188064575,6,14
sigma,0.019402815929419625,0.0073616868864426355,0.036120479618245244,1.0140760179519828,139.83305293716688,weighted,estimated,167.4978699684143,6,14
c,2.808697854124282,1.6564303748637146,4.3117811792758225,1.0413295101583373,100.28508321205408,weighted,estimated,167.4978699684143,6,14
sigma,0.007257295316597311,0.004218970177948081,0.011708867813632989,1.0097892781692994,119.00773004283134,binomial,estimated,97.51877403259277,7,14
sigma,0.0084548751681458,0.003935892470729478,0.0122690697721757,1.1764132848329871,34.48947351108409,betabinom,estimated,251.26098012924194,7,14
rho,1.2841242487763533e-6,4.072892656557585e-8,4.472015832132388e-6,1.0872965524502674,50.17199341176785,betabinom,estimated,251.26098012924194,7,14
sigma,0.014017710978350246,0.006851220872178795,0.024227173234191143,1.0158738135294942,131.55877021915194,weighted,estimated,156.3943109512329,7,14
c,1.251564699294321,0.7305579405988256,1.7821065058025818,1.0089561607215831,123.48320990708775,weighted,estimated,156.3943109512329,7,14
sigma,0.010557047410952567,0.00669944329420883,0.015887923224779398,1.0216198556303686,101.02452382543679,binomial,estimated,98.86173295974731,8,14
sigma,0.010518275872208235,0.007149965046800548,0.015436075752554046,1.0281107158060903,100.19795894493758,betabinom,estimated,242.30220103263855,8,14
rho,1.307477302268956e-6,3.201446759203319e-8,4.224459621168694e-6,1.0074640809383173,124.17854448922813,betabinom,estimated,242.30220103263855,8,14
sigma,0.017638134355603092,0.007621231140223214,0.029445199211841112,1.0269577742697162,144.3606043217637,weighted,estimated,155.60972213745117,8,14
c,1.7034173393603707,0.8219223543480949,2.8411908217042594,1.0021276248887199,121.67337535883432,weighted,estimated,155.60972213745117,8,14
sigma,0.011536786841533673,0.0078899217215548,0.015912810333305483,1.0448714304187723,134.4334471048397,binomial,estimated,100.1039788722992,9,14
sigma,0.011989632695797638,0.008583500221629441,0.017352181470020628,1.1257912177392402,60.637309705793015,betabinom,estimated,258.82711005210876,9,14
rho,1.7071840444473235e-6,2.139389699479061e-7,5.447562567941872e-6,1.0331478117309298,91.19435728452115,betabinom,estimated,258.82711005210876,9,14
sigma,0.012325884116424513,0.007813604396722712,0.019547402570363463,1.0149700687655239,104.21348173180604,weighted,estimated,141.65655398368835,9,14
c,1.515062919880713,0.92244726032521,2.227548242560556,1.0093075297193645,100.1405534031461,weighted,estimated,141.65655398368835,9,14
sigma,0.00523136935605878,0.0029633681392314576,0.008226101162279379,1.0187776814070975,105.71445806288445,binomial,estimated,99.84374189376831,10,14
sigma,0.005228719169432677,0.0036004998253668435,0.0076512814712988335,1.1184161406172382,39.71351541237172,betabinom,estimated,252.07003784179688,10,14
rho,2.2675180143160837e-6,2.751865349334557e-7,6.677361109872195e-6,1.2791908920761084,31.886060022094668,betabinom,estimated,252.07003784179688,10,14
