param,m,l,u,rhat,ess,model,params,runtime,iter,confignum
sigma,0.0955569967292493,0.012516630894809299,0.19057682748270027,1.0196088342416072,151.89601509434402,binomial,estimated,114.80445599555969,1,18
sigma,0.09524589356945569,0.012821498211010189,0.18635946096948797,1.0219904056909679,108.477620393982,betabinom,estimated,115.64629101753235,1,18
rho,0.005160250949081199,0.0003200983758346241,0.00960656011577125,1.0070659059299125,137.7029578138596,betabinom,estimated,115.64629101753235,1,18
sigma,0.1838680639519063,0.15071302815492274,0.19952215242242335,1.0370568794103738,103.19305807128043,weighted,estimated,196.29956603050232,1,18
c,0.4260404143164003,0.30476945708131126,0.6104402731831514,1.0158125422531639,108.29908934405887,weighted,estimated,196.29956603050232,1,18
sigma,0.05135376661299096,0.013690927021247228,0.144743416443709,1.0172147143054096,150.7416016991871,binomial,estimated,88.377112865448,2,18
sigma,0.051949009502860966,0.013519408599649336,0.13311360499140237,1.0347312742248964,128.5152376018549,betabinom,estimated,120.1182610988617,2,18
rho,0.006354640118885969,0.0008331965219669666,0.009846581327363284,1.0021392754206344,156.19170283003737,betabinom,estimated,120.1182610988617,2,18
sigma,0.17438702210167464,0.1277440761347507,0.19973556986770977,1.0446172451053755,107.92958727831092,weighted,estimated,196.99708604812622,2,18
c,1.0000229405033465,0.5383003328484883,1.756684474076783,1.0310811605330086,111.99518531348288,weighted,estimated,196.99708604812622,2,18
sigma,0.030179625583342844,0.00017553161350696705,0.0970000134706444,1.0351788844212768,112.57318954200548,binomial,estimated,91.26017618179321,3,18
sigma,0.03562122043829748,0.0016990058992281147,0.09711895825260194,1.015465445719984,126.60946974287164,betabinom,estimated,123.27308511734009,3,18
rho,0.004985661797053772,0.0003066729839545819,0.009705068342107591,1.0261486826405202,100.14356864656388,betabinom,estimated,123.27308511734009,3,18
sigma,0.059004557279649816,0.022278970345443162,0.15224914592808564,1.0315925297781134,100.47042117248881,weighted,estimated,207.28569912910461,3,18
c,0.6473904437834583,0.40673202579192247,1.0090877674179835,1.015893191812931,145.39392230986695,weighted,estimated,207.28569912910461,3,18
