obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,theoreticalvar,iter,confignum
weighted,1,0.004284048630108914,0.01004293238284731,10000,70,0.00824726707782809,0.00012710101045386424,1.5809057428689044e-6,1,26
weighted,2,-0.006393520338852464,0.009978927516630468,10000,82,0.010214959452761824,0.00012799113019565072,1.6119814447639617e-6,1,26
weighted,3,0.003421787268309942,0.010013131770224261,10000,61,0.00753006997844608,0.00012808621054907798,1.6158588606495827e-6,1,26
weighted,4,0.004864550339699943,0.010061959820745172,10000,84,0.012024071193475917,0.0001295868368689072,1.677749025782641e-6,1,26
weighted,5,0.036824985098129134,0.010439398271787251,10000,77,0.010334641313646803,0.00012768776519264918,1.6551874096536517e-6,1,26
weighted,6,0.024542514854567217,0.010698777245817288,10000,87,0.012030307788774102,0.00012737218974204169,1.7037650526365859e-6,1,26
weighted,7,0.019908026999962344,0.010913903052262778,10000,95,0.012293699798093263,0.00012794178512639254,1.7433265215973213e-6,1,26
weighted,8,0.03728470869338939,0.011328505892452703,10000,80,0.009459406066425272,0.00012845592636422088,1.8420418750313545e-6,1,26
weighted,9,0.027628762142407656,0.011645862383138705,10000,89,0.012501180442105048,0.0001284881911876801,1.8969368003155374e-6,1,26
weighted,10,0.030434777615909146,0.01200575039146787,10000,112,0.0137194399305064,0.00012768449514120297,1.9053933087328994e-6,1,26
weighted,11,0.034411412613201804,0.0124260757400481,10000,89,0.01112638130853193,0.00012623510955500026,1.9396285009193095e-6,1,26
weighted,12,0.05354404187753829,0.013109552838804068,10000,108,0.014246047805218296,0.00012853641521515057,2.14605115712075e-6,1,26
weighted,13,0.0657964668870284,0.014001124610009755,10000,102,0.012393189696864398,0.00012726065839665634,2.198726194134632e-6,1,26
weighted,14,0.06554743595811306,0.014949608192497408,10000,117,0.016171797540681668,0.00012800445050585157,2.381721222852502e-6,1,26
weighted,15,0.07070747761277632,0.016044924503390654,10000,122,0.015405262885016455,0.00012749928861893728,2.5231149958031286e-6,1,26
weighted,16,0.08880200559619307,0.017534924446238297,10000,135,0.016875981640290468,0.00012939943264369885,2.9166317211101498e-6,1,26
weighted,17,0.05975968442030283,0.01861474966601193,10000,164,0.02108165678043975,0.00012871140526551586,2.9832333211258764e-6,1,26
