obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,theoreticalvar,iter,confignum
weighted,1,0.009007928576440482,0.010090486220612845,10,0,0.0,0.11737713631415146,0.0013798543651491074,1,17
weighted,2,-0.02832211301778359,0.009808711393749725,10,0,0.0,0.15331344236531164,0.001946831475965922,1,17
weighted,3,-0.023558089406422407,0.00958033748217067,10,0,0.0,0.12983152593203168,0.0014379298588370769,1,17
weighted,4,-0.017482499612674063,0.009414304797819652,10,0,0.0,0.11162027426105477,0.0011253840108507015,1,17
weighted,5,-0.018772615883052922,0.009239222191031132,10,0,0.0,0.1164272613730417,0.0012031325900200818,1,17
weighted,6,-0.041935512936831086,0.008859782277892202,10,0,0.0,0.11079303533803685,0.001069469367670549,1,17
weighted,7,-0.053952495586248234,0.008394440950215234,10,0,0.0,0.10848996371986894,0.0009833428835757073,1,17
weighted,8,-0.04537169416155519,0.008022082094504118,10,0,0.0,0.12920449236038986,0.0012031578315212905,1,17
weighted,9,-0.03242202489242059,0.00776616110550844,10,0,0.0,0.11308162768795633,0.0009712011280627625,1,17
weighted,10,-0.020019570013378552,0.007612231839369264,10,0,0.0,0.11243649157544293,0.000932251870117869,1,17
weighted,11,-0.016647798631944457,0.0074865539691193255,10,0,0.0,0.1158050940146929,0.000982176350935793,1,17
weighted,12,-0.012819473814033687,0.007391192832311463,10,0,0.0,0.13523338887600997,0.001231126832108102,1,17
weighted,13,0.022286784441558967,0.007557768072183057,10,0,0.0,0.20352778301682634,0.0024463088151861876,1,17
weighted,14,0.01739064902248772,0.007690352083641045,10,0,0.0,0.11740305355370069,0.0009996083139867126,1,17
weighted,15,0.010262071192314277,0.007769677348831922,10,0,0.0,0.10751510152361764,0.0008897908614626978,1,17
weighted,16,0.03836242395651524,0.008073532042876648,10,0,0.0,0.15286958693845512,0.0016032936297067065,1,17
weighted,17,0.04582869098719671,0.00845214075621937,10,0,0.0,0.11330567857670432,0.0010282056182702964,1,17
weighted,18,0.05173506127325253,0.008900921533675355,10,0,0.0,0.11531072883981888,0.0011268618784170468,1,17
weighted,19,0.05760843861647905,0.009428747368608244,10,0,0.0,0.1137505636281009,0.0011870881881725648,1,17
weighted,20,0.06812543033550304,0.010093470033705716,10,0,0.0,0.11543505197655558,0.0012713967337346318,1,17
weighted,21,0.06586554702931471,0.010780664769065975,10,0,0.0,0.11715740348870729,0.0013764765462112632,1,17
weighted,22,0.038295280534736076,0.011201520309442969,10,0,0.0,0.14388388439384914,0.0021649634204113193,1,17
weighted,23,0.026376436242186253,0.011500907522386212,10,0,0.0,0.12336542693617535,0.0017071865824228206,1,17
weighted,24,0.01734837577445014,0.01170217033150382,10,0,0.0,0.12525235473432392,0.001745436713593128,1,17
weighted,25,0.009366072859859312,0.011812288594289599,10,0,0.0,0.10756851048774238,0.0013494792902906745,1,17
weighted,26,0.03473180061061579,0.012229758420646407,10,0,0.0,0.10371265584172809,0.0012934890559090076,1,17
weighted,27,0.05235525863283991,0.012887108300447286,10,1,0.05356950982246442,0.12017812168029639,0.0017493814196593838,1,17
weighted,28,0.0717454170569407,0.013845674483321909,10,0,0.0,0.1209762367281817,0.001846445401863656,1,17
weighted,29,0.06490446077958864,0.014774124897758574,10,0,0.0,0.11248827631720971,0.0018305777402659663,1,17
weighted,30,0.05726810707986897,0.01564490711464355,10,0,0.0,0.1320722340273599,0.0023658606409192855,1,17
