"variable","mean","median","sd","lower","upper","rhat","ess_bulk","timetofit"
"lp__",-26039.1563492593,-26039.1,8.09979654572373,-26055.2,-26023.6,1.03094049284783,143.941207448229,1021.34299999999
"a_raw[1]",-5.13161368467471,-4.948985,2.67298444364534,-11.46332,-0.23450800000001,1.01341575774964,110.268439761903,1021.34299999999
"a_raw[2]",-5.24593362047567,-5.08601,2.05460090637906,-9.87158025,-1.53922875000002,1.01117325842557,113.276436444003,1021.34299999999
"a_raw[3]",-0.031224131379001,-0.0340018,0.992178343599932,-1.9620005,1.95391175,1.00869515836394,353.407420349547,1021.34299999999
"a_raw[4]",-0.0214419817493853,0.004676425,1.00648481751904,-2.00888,1.9024615,1.01415748598094,277.162460820991,1021.34299999999
"a_raw[5]",0.0294907322003297,0.056518,1.02466583157594,-1.99937025,2.03328275,1.03205904646873,226.339508884502,1021.34299999999
"a_raw[6]",-0.0288183932778919,-0.0281518,0.984547997926078,-1.953031,1.8880715,1.00638529232575,308.496448838916,1021.34299999999
"a_raw[7]",-0.0848712606890728,-0.08338515,0.984327791762584,-1.95599,1.84444025,1.00472383853114,161.678498462991,1021.34299999999
"a_raw[8]",-0.496038360357799,-0.4896205,0.866559099172232,-2.2082375,1.26479549999999,1.01189412341059,174.181648159312,1021.34299999999
"a_raw[9]",-0.692031747417249,-0.684807,0.804607979404322,-2.2322405,0.837873449999999,1.00642369416731,213.35349371092,1021.34299999999
"a_raw[10]",0.810369818146082,0.8060575,0.793104635708939,-0.733855325,2.41702,1.01156008023183,323.567033702957,1021.34299999999
"a_raw[11]",0.948963286798505,0.926238,0.837159245723678,-0.651237125,2.69236,1.01234274906314,255.950101487953,1021.34299999999
"a_raw[12]",0.609250434574592,0.583692,0.843266713508848,-0.9643416,2.34016125,1.02224980024941,172.110250537591,1021.34299999999
"a_raw[13]",0.206012314564937,0.20953,0.902033999666357,-1.54299075,2.03942125,1.00358843506417,279.479068332517,1021.34299999999
"a_raw[14]",-0.189495757539112,-0.1639475,0.86640700536795,-1.97100125,1.40517225,1.00774719110746,324.580808935719,1021.34299999999
"a_raw[15]",-0.614725057537387,-0.606547,0.925181820539996,-2.47095375,1.19185025,1.02129774728152,249.474373427883,1021.34299999999
"a_raw[16]",-0.960751500018416,-0.955252,0.835032376484032,-2.6273115,0.6540401,1.0164663970813,262.482580717506,1021.34299999999
"a_raw[17]",-0.181093259731716,-0.1457795,0.852121866295849,-1.9582225,1.43653275,1.0167208055828,182.572128376208,1021.34299999999
"a_raw[18]",0.315642371312896,0.320425,0.847491569020951,-1.389451,1.89568424999999,1.02307830721813,237.737075948793,1021.34299999999
"a_raw[19]",0.0945290333369885,0.08399055,0.92783102404752,-1.64210025,1.945133,1.02449938168705,202.257582527322,1021.34299999999
"a_raw[20]",0.153380520248306,0.157986,0.8803074498539,-1.59513375,1.835001,1.01230375495957,322.067483949232,1021.34299999999
"a_raw[21]",0.173530505512526,0.162133,0.932596611928645,-1.7236005,1.97737075,1.00886108184471,301.048224064275,1021.34299999999
"a_raw[22]",0.397468058705573,0.362766,0.868141825924256,-1.21151025,2.17479175,1.00508304401922,292.195889211362,1021.34299999999
"a_raw[23]",0.536190136501366,0.549671,0.820769454681478,-1.12042,2.11402125,1.00303589567751,339.704898928588,1021.34299999999
"a_raw[24]",0.203525647970535,0.1917725,0.793881660751107,-1.3005805,1.79127474999999,1.03659183310902,165.18022442261,1021.34299999999
"a_raw[25]",-0.23605571555637,-0.2664785,0.815348708150633,-1.7979935,1.39268,1.00788912299491,211.901191638147,1021.34299999999
"a_raw[26]",-0.322110521209346,-0.340686,0.889710158782352,-2.029461,1.425821,1.01115200823724,229.632368095138,1021.34299999999
"a_raw[27]",0.166265950550729,0.1826735,0.913052544844252,-1.64505,1.966142,1.02311866796188,186.109799469417,1021.34299999999
"a_raw[28]",0.594630476113251,0.603467,0.873933505104586,-1.15480375,2.299041,1.02223055391898,191.105861802727,1021.34299999999
"a_raw[29]",0.851075431704403,0.8751025,0.809121661936749,-0.787259375,2.40768,1.01119409238629,238.750612862665,1021.34299999999
"a_raw[30]",-0.129735861091834,-0.1601315,0.788697030739679,-1.652352,1.4498205,1.00937332633914,230.436233062276,1021.34299999999
"a_raw[31]",-0.200186593293731,-0.199341,0.798134466918413,-1.81601025,1.35146025,1.01452382380236,191.86057114824,1021.34299999999
"a_raw[32]",0.275159485792939,0.2751595,0.766174550077388,-1.22113125,1.7745215,1.01570794229314,194.860411048669,1021.34299999999
"a_raw[33]",-0.231336653229224,-0.2168095,0.837181134610834,-1.8677705,1.38528075,1.01409116182668,227.934922681716,1021.34299999999
"a_raw[34]",-0.66123020587506,-0.685733,0.802860814263876,-2.1718705,0.968238599999999,1.02653731249379,233.835640333689,1021.34299999999
"a_raw[35]",-0.471426568339621,-0.476157,0.779360778592941,-1.98545475,1.06027125,1.00363975235935,192.80719485741,1021.34299999999
"a_raw[36]",0.379237080772572,0.3906915,0.672439417339917,-0.966407925,1.67028025,1.01445061030742,213.370384879086,1021.34299999999
"a_raw[37]",-0.0628408718104232,-0.0707409,0.678192231288622,-1.40583075,1.28499,1.02945747179231,145.256753034641,1021.34299999999
"a_raw[38]",-0.24750549653547,-0.2538935,0.722272490320504,-1.6596735,1.170301,1.052387482844,74.2920592472915,1021.34299999999
"a_raw[39]",0.220790752811037,0.2089875,0.821917705411815,-1.36818075,1.848131,1.02095431849859,208.24477933982,1021.34299999999
"a_raw[40]",0.629664524026242,0.63722,0.652794116135162,-0.634280075,1.9125425,1.01297178216757,216.520339737462,1021.34299999999
"a_raw[41]",-0.0726490676663968,-0.0790163,0.635556800519178,-1.31721075,1.17534125,1.00471317646312,180.580433050674,1021.34299999999
"a_raw[42]",-1.99067960217301,-1.97273,0.618719558027178,-3.2459615,-0.835855325000001,1.01164138337111,160.732691816385,1021.34299999999
"a_raw[43]",1.23473703712658,1.258225,0.787382525414342,-0.3709741,2.7338335,1.01901803532337,111.565175202141,1021.34299999999
"a_raw[44]",-0.297681219589395,-0.2741335,0.726321687699472,-1.75293175,1.0753905,1.00951300404473,188.724441332265,1021.34299999999
"a_raw[45]",-0.534903917578801,-0.534893,0.79641903667498,-2.2087095,0.965953125,1.0058698376559,300.053222055912,1021.34299999999
"a_raw[46]",-0.486152279394239,-0.4770785,0.675897510864976,-1.84084,0.785206549999997,1.00328688200004,229.343281083785,1021.34299999999
"a_raw[47]",0.701867503364922,0.7043455,0.68441137634487,-0.683961075,2.024492,1.01005383793895,215.624285353233,1021.34299999999
"a_raw[48]",0.763718800214511,0.751031,0.630265730189998,-0.421993375,2.044701,1.0063227189602,237.620331394849,1021.34299999999
"a_raw[49]",-0.439271087975317,-0.449726,0.851367558261694,-2.05812,1.318122,1.03240390818995,152.433871946629,1021.34299999999
"a_raw[50]",-0.248743364804159,-0.2476595,1.00203559732975,-2.215631,1.70889025,1.00645262555436,315.276629121144,1021.34299999999
"a_raw[51]",0.0258912291422187,0.007941755,1.04564414069691,-1.98838375,2.1380915,1.00961009089921,246.519738016949,1021.34299999999
"a_raw[52]",0.140978688870925,0.166882,0.968280450899469,-1.76156025,2.01467025,1.00807069435967,358.306892848148,1021.34299999999
"a_raw[53]",0.0603986814533488,0.07178445,0.99531633085335,-1.88324075,1.99099474999999,1.0196043147615,323.103370516717,1021.34299999999
"sigma",0.31804868521963,0.289546,0.135150268857404,0.134470975,0.637865075,1.02616124569594,104.570347657693,1021.34299999999
"a[1]",-5.13161368467471,-4.948985,2.67298444364534,-11.46332,-0.23450800000001,1.01341575774964,110.268439761903,1021.34299999999
"a[2]",-5.24593362047567,-5.08601,2.05460090637906,-9.87158025,-1.53922875000002,1.01117325842557,113.276436444003,1021.34299999999
"a[3]",-5.36805597007778,-5.23769,1.50251593734611,-8.730424,-2.749458,1.01166630583257,121.975658024634,1021.34299999999
"a[4]",-5.49176439674074,-5.406315,1.0005181379051,-7.74940025,-3.74199975,1.01059474725041,137.418157541318,1021.34299999999
"a[5]",-5.60425973885185,-5.56181,0.603927292025151,-6.94651,-4.53575975,1.00993744357751,164.862997752295,1021.34299999999
"a[6]",-5.72502052111111,-5.70686,0.317218959273307,-6.39742125,-5.16135,1.00776066215247,415.048862338075,1021.34299999999
"a[7]",-5.87959378225926,-5.8804,0.196342570206838,-6.26369,-5.49087975,1.00443547304743,623.101093058446,1021.34299999999
"a[8]",-6.20037490718519,-6.20692,0.150525233446006,-6.47947075,-5.88512975,1.01004523058592,232.461717845426,1021.34299999999
"a[9]",-6.76040664,-6.75413,0.130914111202914,-7.03730125,-6.52108,1.0076764741323,429.115181826374,1021.34299999999
"a[10]",-7.06948677862963,-7.060305,0.179798993196941,-7.44852,-6.74039975,1.01017332460922,408.574749057426,1021.34299999999
"a[11]",-7.09650054248148,-7.0874,0.262603856650016,-7.63995075,-6.60457975,1.00517769567715,592.450096237257,1021.34299999999
"a[12]",-6.95059122877778,-6.95322,0.375697700689633,-7.68855025,-6.1901475,1.01245646017515,408.430131496896,1021.34299999999
"a[13]",-6.7538461942963,-6.78211,0.414887539034479,-7.49925025,-5.84490975,1.01659484365629,331.575756156442,1021.34299999999
"a[14]",-6.61332852051852,-6.64852,0.371861701164008,-7.25247075,-5.81176975,1.01820505778491,298.353393616903,1021.34299999999
"a[15]",-6.66018774662963,-6.67449,0.237687080699315,-7.09028,-6.17071925,1.00571899212577,290.379247849955,1021.34299999999
"a[16]",-7.00061456481482,-6.9998,0.128011583025765,-7.25485075,-6.75122975,1.00645704640189,789.766470429312,1021.34299999999
"a[17]",-7.37027545362963,-7.36395,0.148517170650668,-7.68141025,-7.09655975,1.00725674889199,632.818644718341,1021.34299999999
"a[18]",-7.62130619118519,-7.614635,0.224560273570338,-8.08091025,-7.19931925,1.01490083512795,520.288655041252,1021.34299999999
"a[19]",-7.86747975111111,-7.85393,0.350488177395678,-8.61281075,-7.1991795,1.0060010932545,440.533193708393,1021.34299999999
"a[20]",-8.07527700077778,-8.05323,0.437484421664953,-9.01258,-7.24264,1.01166294562833,352.05769124507,1021.34299999999
"a[21]",-8.23705348703704,-8.21067,0.404525837802527,-9.110301,-7.49128925,1.01065146398575,342.57547098518,1021.34299999999
"a[22]",-8.28350193103704,-8.26459,0.303504291254685,-8.93511025,-7.7398795,1.00666280731756,411.601190019711,1021.34299999999
"a[23]",-8.15649039081481,-8.14927,0.192635028389126,-8.555941,-7.79936975,1.00832687194498,770.043377092314,1021.34299999999
"a[24]",-7.96690945274074,-7.968375,0.180107867516478,-8.31764,-7.60651975,1.00434372816059,580.034954100749,1021.34299999999
"a[25]",-7.86586549085185,-7.87118,0.228784318626322,-8.30301025,-7.40413825,1.00717111917559,520.299996192437,1021.34299999999
"a[26]",-7.8880216762963,-7.88395,0.285194239475398,-8.46412025,-7.32419975,1.01022131523845,364.542939585212,1021.34299999999
"a[27]",-7.86720577096296,-7.84733,0.282126841453864,-8.49032175,-7.3696695,1.00099654327883,323.716919536589,1021.34299999999
"a[28]",-7.65746870133333,-7.64195,0.202832490256104,-8.10316025,-7.30168,1.00336551911085,401.276893514766,1021.34299999999
"a[29]",-7.17955106433333,-7.17997,0.133298652675329,-7.44073025,-6.91382975,1.00551757255008,652.065423477719,1021.34299999999
"a[30]",-6.77275208207407,-6.7757,0.136728441178793,-7.03438025,-6.492419,1.00600197288671,388.81664048054,1021.34299999999
"a[31]",-6.44242285666667,-6.43853,0.156197544338984,-6.76364075,-6.14875,1.00529307753622,474.444018025234,1021.34299999999
"a[32]",-6.00327790866667,-6.00714,0.211417692337339,-6.41789,-5.5735395,1.00570040315318,336.963270941778,1021.34299999999
"a[33]",-5.62866083685185,-5.63534,0.175282308303424,-5.95829025,-5.26719925,1.01626864373175,300.913892444506,1021.34299999999
"a[34]",-5.45575572214815,-5.45699,0.0847464128691601,-5.62095,-5.28606975,1.00371580522929,459.599058633271,1021.34299999999
"a[35]",-5.41097601822222,-5.40685,0.0784318152597488,-5.5828305,-5.26789975,1.00841021145795,329.642371630596,1021.34299999999
"a[36]",-5.240476756,-5.24142,0.0821319414742912,-5.40239025,-5.074,1.01264568644001,278.127800055191,1021.34299999999
"a[37]",-5.09366911918519,-5.09798,0.120024444033592,-5.31990025,-4.84577,1.02339902874748,251.029116070538,1021.34299999999
"a[38]",-5.033836574,-5.02717,0.175710115826395,-5.39944,-4.7026595,1.0106839887714,264.528298051211,1021.34299999999
"a[39]",-4.90769226962963,-4.89992,0.115903132507056,-5.15658075,-4.70011,1.01752641860648,315.777019683136,1021.34299999999
"a[40]",-4.58833084733333,-4.585325,0.0605063425959699,-4.7185805,-4.47667975,1.00231854114299,263.600498872616,1021.34299999999
"a[41]",-4.27588561548148,-4.2828,0.0844648600539924,-4.41993,-4.09147975,1.00942906757489,167.214835850628,1021.34299999999
"a[42]",-4.57798321244444,-4.56385,0.108877097580976,-4.82746,-4.40486975,1.01765026751957,150.289343346139,1021.34299999999
"a[43]",-4.43955099240741,-4.45755,0.14902768672531,-4.68954025,-4.089139,1.00834215888453,215.257939355289,1021.34299999999
"a[44]",-4.41380235692593,-4.450545,0.221810666150091,-4.75818025,-3.8889985,1.01703566442737,234.257423571757,1021.34299999999
"a[45]",-4.57124016825926,-4.58624,0.13916664668195,-4.80294,-4.26128,1.01541895430922,206.863240875127,1021.34299999999
"a[46]",-4.88785970892593,-4.88134,0.0714101148476095,-5.04768025,-4.76413975,1.01087539550494,250.39010340429,1021.34299999999
"a[47]",-4.96609912759259,-4.96301,0.0720990333856966,-5.1181005,-4.83228,1.0064633188615,424.747383649767,1021.34299999999
"a[48]",-4.82147303081481,-4.82899,0.0966261586309717,-4.99295,-4.60870925,1.01990109912088,274.636589827562,1021.34299999999
"a[49]",-4.84211200333333,-4.837695,0.148402097678557,-5.15082025,-4.56201975,1.00975915832662,673.035023150847,1021.34299999999
"a[50]",-4.96263782037037,-4.9151,0.494739078063687,-6.10997225,-4.1157195,1.01281256823213,279.534845313261,1021.34299999999
"a[51]",-5.07179703525926,-4.98136,0.945407549718612,-7.32277175,-3.45895,1.00678587776769,310.410573564805,1021.34299999999
"a[52]",-5.1448062113292,-5.00471,1.53203574065037,-8.81874525,-2.541697,1.00398344522382,309.996470171559,1021.34299999999
"a[53]",-5.20433624260947,-4.99472,2.2123491298205,-10.4815025,-1.43882775,1.00362296094336,304.440748033904,1021.34299999999
"Y_hat[1]",-5.60563731455556,-5.561915,0.601438903324686,-6.94477175,-4.54042875,1.0108553477914,159.815819932521,1021.34299999999
"Y_hat[2]",-5.6296023477037,-5.592915,0.531820102298654,-6.8096605,-4.6878095,1.01053768293467,172.821842293754,1021.34299999999
"Y_hat[3]",-5.65412632281482,-5.62342,0.466885885509907,-6.6822005,-4.82730925,1.00994935677219,192.046601399061,1021.34299999999
"Y_hat[4]",-5.67942515511111,-5.65346,0.407765027693605,-6.56883025,-4.95957975,1.00886868524924,221.529606332964,1021.34299999999
"Y_hat[5]",-5.70571477814815,-5.684185,0.355296988585383,-6.46907175,-5.0787,1.00737989534094,268.3518992092,1021.34299999999
"Y_hat[6]",-5.73321125403704,-5.7157,0.309616344909585,-6.389731,-5.18447975,1.00698951424135,348.480502314531,1021.34299999999
"Y_hat[7]",-5.76232564648148,-5.7482,0.270252732257891,-6.33127075,-5.27702,1.00695949980202,503.430025968682,1021.34299999999
"Y_hat[8]",-5.79406388359259,-5.78316,0.237136935258001,-6.28825025,-5.36151975,1.00662417599242,823.921567881678,1021.34299999999
"Y_hat[9]",-5.82954515788889,-5.82184,0.210383295726149,-6.26335025,-5.43874925,1.00595354800938,1192.14076849373,1021.34299999999
"Y_hat[10]",-5.86988851385185,-5.86518,0.18947993661733,-6.25590075,-5.51016975,1.00504006167335,1359.68229763648,1021.34299999999
"Y_hat[11]",-5.91621257581482,-5.91377,0.172833634485159,-6.2627,-5.58243975,1.00413520440047,1186.41832736451,1021.34299999999
"Y_hat[12]",-5.96949990959259,-5.96886,0.158661284573978,-6.28343025,-5.6598095,1.00358258927845,881.018634128764,1021.34299999999
"Y_hat[13]",-6.03041374303704,-6.03071,0.14654654828257,-6.31849,-5.74162,1.00366697388398,644.386834155719,1021.34299999999
"Y_hat[14]",-6.09957149474074,-6.10027,0.136273682836262,-6.36671025,-5.82988975,1.00441430835869,483.228341941886,1021.34299999999
"Y_hat[15]",-6.17759054877778,-6.17835,0.126965158520749,-6.42552,-5.92549,1.00543075993292,410.732232895249,1021.34299999999
"Y_hat[16]",-6.26507225033333,-6.26586,0.117148902271416,-6.49330025,-6.03248,1.00600078314319,415.64429913742,1021.34299999999
"Y_hat[17]",-6.3610463997037,-6.36125,0.106768392129853,-6.56987025,-6.14951,1.00561210141583,537.203580160836,1021.34299999999
"Y_hat[18]",-6.46167468055556,-6.46151,0.0988023200508235,-6.65584025,-6.26767975,1.00452782637918,934.962490181615,1021.34299999999
"Y_hat[19]",-6.56281358607407,-6.56197,0.0962084946367142,-6.75406025,-6.37677,1.00372973844479,1808.09266894058,1021.34299999999
"Y_hat[20]",-6.66031954648148,-6.65811,0.0992648157131291,-6.86098,-6.47177,1.00403133364034,1336.15264813805,1021.34299999999
"Y_hat[21]",-6.75008012077778,-6.7469,0.105506022014399,-6.96557025,-6.55155975,1.00509858527523,730.134654926944,1021.34299999999
"Y_hat[22]",-6.82949843540741,-6.82564,0.11329764957163,-7.06212,-6.61723975,1.00625540275765,538.373437721229,1021.34299999999
"Y_hat[23]",-6.89814481914815,-6.89401,0.123143686049874,-7.15082025,-6.66784975,1.0070527898609,483.113975768297,1021.34299999999
"Y_hat[24]",-6.95575627818519,-6.95069,0.135079671412364,-7.23338,-6.703649,1.00718607390095,486.074210161967,1021.34299999999
"Y_hat[25]",-7.00206979451852,-6.99604,0.148242266427259,-7.30780025,-6.72669,1.00658889353821,530.635623596696,1021.34299999999
"Y_hat[26]",-7.03684093044444,-7.03031,0.161684827033174,-7.37089,-6.73682,1.00543006274785,618.344020705979,1021.34299999999
"Y_hat[27]",-7.06035907218518,-7.05297,0.17599714237954,-7.4251605,-6.73437975,1.00428569731477,734.124443907028,1021.34299999999
"Y_hat[28]",-7.07351471155556,-7.06555,0.192584407827731,-7.47340025,-6.7174995,1.00384790633683,798.0044464236,1021.34299999999
"Y_hat[29]",-7.07723042237037,-7.0688,0.211731107813002,-7.51638,-6.68548,1.00431567896384,740.864634416638,1021.34299999999
"Y_hat[30]",-7.07242874540741,-7.06377,0.232613243449605,-7.55405075,-6.63886975,1.00546789305281,665.264427742275,1021.34299999999
"Y_hat[31]",-7.06003521014815,-7.05202,0.254070431311669,-7.58093075,-6.57963975,1.00697144356864,594.826125423003,1021.34299999999
"Y_hat[32]",-7.04103079348148,-7.03396,0.275808404356289,-7.59981175,-6.50983975,1.00855151136295,537.789962901178,1021.34299999999
"Y_hat[33]",-6.70557992288889,-6.71648,0.217818073727974,-7.10333,-6.2584895,1.00732525046983,327.162203697799,1021.34299999999
"Y_hat[34]",-6.74972944407407,-6.75619,0.190162087455125,-7.10464,-6.36579925,1.00513890889305,374.453683909623,1021.34299999999
"Y_hat[35]",-6.80402902748148,-6.806215,0.163142664607131,-7.1156405,-6.48087975,1.00329147942995,482.268221164276,1021.34299999999
"Y_hat[36]",-6.86624467333333,-6.86584,0.139151595784613,-7.13814,-6.59576,1.00197926691367,762.716619077309,1021.34299999999
"Y_hat[37]",-6.93414209348148,-6.93252,0.120537540220772,-7.17362,-6.70146,1.00155925851887,1504.3558232798,1021.34299999999
"Y_hat[38]",-7.00548690440741,-7.0039,0.108352968744466,-7.22172075,-6.79697975,1.0021232579943,2227.19429832278,1021.34299999999
"Y_hat[39]",-7.07820888385185,-7.07689,0.102065771985981,-7.28255025,-6.88212,1.00312573157102,2084.89790972947,1021.34299999999
"Y_hat[40]",-7.150894074,-7.14919,0.101456645982587,-7.35525,-6.95727,1.00385889185476,1582.25794351923,1021.34299999999
"Y_hat[41]",-7.222292627,-7.21988,0.105930251328038,-7.43734025,-7.02209925,1.00375413718308,1344.56663222834,1021.34299999999
"Y_hat[42]",-7.29115469018519,-7.28815,0.113734129673209,-7.52373025,-7.07708975,1.00282649981547,1331.66440355599,1021.34299999999
"Y_hat[43]",-7.35623068211111,-7.35297,0.122945849206665,-7.60732075,-7.12505975,1.00166029567562,1496.18872483822,1021.34299999999
"Y_hat[44]",-7.41674844992593,-7.41312,0.133412433919883,-7.68904025,-7.16582875,1.00137416391597,1675.82140150829,1021.34299999999
"Y_hat[45]",-7.47339273785185,-7.46869,0.147144654357355,-7.7744615,-7.19723,1.00295505059412,1520.2644964567,1021.34299999999
"Y_hat[46]",-7.5271252702963,-7.52109,0.165000157908805,-7.86556,-7.2189595,1.00586195705019,1139.97002657922,1021.34299999999
"Y_hat[47]",-7.57890771992593,-7.57227,0.185999736768506,-7.96207,-7.23233,1.00867632680811,822.007911777218,1021.34299999999
"Y_hat[48]",-7.62970052966667,-7.62249,0.208435780430747,-8.06073125,-7.24055,1.0102781244315,669.320392202602,1021.34299999999
"Y_hat[49]",-7.68012663137037,-7.67243,0.231563495036303,-8.1598405,-7.24523975,1.01040433082356,593.479680207447,1021.34299999999
"Y_hat[50]",-7.73001633188889,-7.72146,0.255890030526946,-8.26404,-7.24642975,1.00967940961057,543.98210765004,1021.34299999999
