"variable","mean","median","sd","lower","upper","rhat","ess_bulk","timetofit"
"lp__",-18171.0778888889,-18170.6,4.48339291173413,-18181.2,-18163.4475,0.999667955102956,236.235781417888,35.0860000000102
"a_raw[1]",-4.70654168888889,-4.735405,1.07032812583663,-6.7955505,-2.44805025,1.00516115789252,379.863250504351,35.0860000000102
"a_raw[2]",-4.74886468888889,-4.770835,0.764740945782709,-6.19534725,-3.20134,1.00413507822031,390.407578068025,35.0860000000102
"a_raw[3]",-0.0200728594,-0.00440767,1.02477567305119,-1.9646535,2.09103575,0.998349171535777,1214.44205754859,35.0860000000102
"a_raw[4]",-0.0255848103388889,-0.01538475,0.955685092759041,-1.98299,1.826283,1.00581608362392,1042.19231612176,35.0860000000102
"a_raw[5]",0.0365635571888888,0.01487755,0.994217703223053,-1.87032475,2.01630275,1.00644541552144,881.594028814757,35.0860000000102
"a_raw[6]",0.0679316761555556,0.06883935,0.9829841435075,-1.760001,1.993715,1.00084365849056,784.943621579517,35.0860000000102
"a_raw[7]",0.463677139926667,0.4719005,0.946209080574535,-1.30241425,2.32640775,0.999123021270927,1074.21290821636,35.0860000000102
"a_raw[8]",0.401532128622222,0.41646,0.846618556506189,-1.18752825,2.08611025,1.01185715304468,986.372594832766,35.0860000000102
"a_raw[9]",0.307457305277778,0.298353,0.832998519069961,-1.3556325,1.98227875,1.00247625082685,798.456590233228,35.0860000000102
"a_raw[10]",0.3947788494,0.438178,0.868427328868124,-1.2622435,2.0474465,1.00612047062527,683.431625991235,35.0860000000102
"a_raw[11]",0.0727072346144445,0.0726209,0.883118465633086,-1.588193,1.89795125,1.01385506326171,737.576955978799,35.0860000000102
"a_raw[12]",-0.329286796155556,-0.338755,0.939915218633015,-2.14045525,1.513286,1.00009556644176,787.311791822758,35.0860000000102
"a_raw[13]",-0.569183931755556,-0.5741025,0.917013846060751,-2.396099,1.14964125,1.00157958772475,1556.55407492757,35.0860000000102
"a_raw[14]",-1.05477865833689,-1.086005,0.862425435134133,-2.61943725,0.670580299999999,1.0077484240312,1067.079111038,35.0860000000102
"a_raw[15]",-0.992891490111111,-0.9932065,0.840381388870087,-2.7380845,0.623786175,1.00960661324961,859.55316304823,35.0860000000102
"a_raw[16]",0.367118964266667,0.3686905,0.789398338822179,-1.130266,1.8666685,1.00071616078659,1037.34753233874,35.0860000000102
"a_raw[17]",0.7225031196,0.7286595,0.83080008900341,-0.9045433,2.41404375,1.00008063315254,891.785876591975,35.0860000000102
"a_raw[18]",0.3209671345,0.335707,0.85025488300747,-1.36155625,2.002251,1.00210178350217,722.640035620018,35.0860000000102
"a_raw[19]",0.191415555541111,0.1886225,0.891333285857526,-1.4572735,1.926027,1.00219010961619,779.39233293887,35.0860000000102
"a_raw[20]",-0.00603834655444442,0.0227954,0.908962672077638,-1.737267,1.785625,1.0024976058225,387.701054988283,35.0860000000102
"a_raw[21]",-0.264970458646667,-0.248524,0.782135694419154,-1.78292925,1.237675,1.00337957091522,615.286201088269,35.0860000000102
"a_raw[22]",0.194735218977778,0.195726,0.788140101128911,-1.3140795,1.800679,1.00395604401803,817.33737063644,35.0860000000102
"a_raw[23]",0.658108116663333,0.659276,0.752237164536352,-0.8333357,2.18617275,1.00311275330119,900.594855022674,35.0860000000102
"a_raw[24]",0.722657948366667,0.69567,0.827534442014617,-0.821896075,2.4166965,1.00144504872793,1094.24882123509,35.0860000000102
"a_raw[25]",0.375156971692222,0.3991355,0.969676821383911,-1.49831625,2.30314375,0.998859144688916,1001.46837771258,35.0860000000102
"a_raw[26]",0.0364943957222222,0.032445,0.993795027713117,-1.94830425,2.067065,1.00269120425998,1105.45295874237,35.0860000000102
"a_raw[27]",-0.0219310436144444,-0.0214424,1.0826348670697,-2.04936175,1.995958,1.00793931753098,1812.43378582248,35.0860000000102
"a_raw[28]",0.00577066567777776,-0.009469875,1.03398463843108,-1.8905465,2.014671,1.00022229223257,894.175564479241,35.0860000000102
"a_raw[29]",0.00918006960000001,0.0304961,1.02539668020219,-2.06306975,2.063384,1.00693480917275,979.040769985181,35.0860000000102
"sigma",0.146827210444444,0.135289,0.0608297207610371,0.060753735,0.290169925,1.01040053125189,258.821408693753,35.0860000000102
"rho",0.000101567564443333,8.60847e-05,7.14211768154026e-05,8.64209225e-06,0.0002709378,1.0125784018266,576.697682299034,35.0860000000102
"a[1]",-4.70654168888889,-4.735405,1.07032812583663,-6.7955505,-2.44805025,1.00516115789252,379.863250504351,35.0860000000102
"a[2]",-4.74886468888889,-4.770835,0.764740945782709,-6.19534725,-3.20134,1.00413507822031,390.407578068025,35.0860000000102
"a[3]",-4.7940286,-4.80018,0.495525245126369,-5.737972,-3.7277375,1.00247857484318,425.723270326039,35.0860000000102
"a[4]",-4.84319825555556,-4.85703,0.28435530691946,-5.401031,-4.24406025,1.00174708157444,611.483454476442,35.0860000000102
"a[5]",-4.8858705,-4.88549,0.138310891121246,-5.152411,-4.610142,1.00213666939643,975.261314616902,35.0860000000102
"a[6]",-4.91842587777778,-4.92079,0.0721858849375137,-5.05627825,-4.780792,1.0009859268137,1019.44213302726,35.0860000000102
"a[7]",-4.88081996666667,-4.880285,0.0708613875985394,-5.024024,-4.74885225,1.00153023013013,951.201565787182,35.0860000000102
"a[8]",-4.78917566666667,-4.78875,0.0791779899396212,-4.9381035,-4.637767,1.00145184989518,1111.64438446465,35.0860000000102
"a[9]",-4.6603552,-4.65477,0.118787322856793,-4.91458275,-4.4391665,0.998553855276039,1089.94635623024,35.0860000000102
