"variable","mean","median","sd","lower","upper","rhat","ess_bulk","timetofit"
"lp__",-26024.5581111111,-26024.2,5.70736218230146,-26036.305,-26014.2475,1.00168078399383,350.112661064877,166.559000000008
"a_raw[1]",-4.93120789,-4.90759,1.15291746565789,-7.23934175,-2.74448575,1.0068723427756,443.540442629667,166.559000000008
"a_raw[2]",-5.12857503333333,-5.112515,0.937126303303789,-6.933459,-3.32935825,1.00578730171141,469.404269444224,166.559000000008
"a_raw[3]",-0.00857962896111111,-0.003038135,1.00348016943531,-2.00692525,1.98139525,1.00360451758682,1005.33819991601,166.559000000008
"a_raw[4]",0.0288547511233334,0.0412254,0.983513297585312,-1.90768675,2.0277445,1.00643390231092,1169.91632291197,166.559000000008
"a_raw[5]",0.0122304197255555,-0.01980565,0.997096550701741,-1.9046585,1.94350575,1.00446331465502,1224.09533041061,166.559000000008
"a_raw[6]",-0.0900360843577778,-0.0565526,1.00034615146877,-2.201933,1.896308,1.00774464410112,1110.01599195113,166.559000000008
"a_raw[7]",0.0151775637888889,0.01103865,1.0056755677482,-2.04581575,2.009742,1.00033592449659,1000.54593343479,166.559000000008
"a_raw[8]",-0.0530975079955555,-0.006667485,1.01883104568314,-2.1332095,1.904321,0.998893007020589,1039.47099882812,166.559000000008
"a_raw[9]",0.0414275390444444,0.02700065,0.927033570149795,-1.704271,1.85422625,0.999369092084219,969.339143312667,166.559000000008
"a_raw[10]",0.490545560401111,0.488837,0.932917644732407,-1.3599045,2.27497075,1.00154141934389,952.062683755533,166.559000000008
"a_raw[11]",0.5577553672,0.587084,0.828544811628342,-1.10174425,2.12901925,0.999961493102218,901.168042355039,166.559000000008
"a_raw[12]",0.458196383933333,0.4162365,0.952487023383809,-1.48638575,2.3821605,0.998045558290076,797.490365773296,166.559000000008
"a_raw[13]",0.2181194874,0.252258,0.978856131419121,-1.5723555,2.14886825,1.00389427040373,1424.24723153377,166.559000000008
"a_raw[14]",0.0221759990111111,0.0431791,0.926690079162644,-1.86200875,1.77619975,1.00402565630356,1049.36960686094,166.559000000008
