"param","m","l","u","rhat","ess"
"sigma_WT",0.0387675531767489,0.00141698285492228,0.128044915054046,1.00742817560702,220.318659118861
"sigma_AL",0.00774822216202948,0.0013308160745442,0.017567832246837,1.00999730320709,255.353199746193
"sigma_DE",0.0142651809055557,0.000893931281821657,0.0508115683767805,1.02783307644178,103.46984412272
"rho",0.000129470892294184,5.30982877854378e-05,0.000231109691798515,1.00256695577594,311.311568861699
