"param","m","l","u","rhat","ess"
"sigma_DE",0.0163482977244024,0.0084007630182811,0.0285115160944726,1.02847940878942,158.176733966459
"sigma_OM",0.0345330963952854,0.0199134745869077,0.061581533108234,1.0380769259215,111.163519676367
"sigma_BA",0.0203980004382335,0.00701592651597513,0.0482187774177274,1.0076446282588,149.971876681222
"rho",0.000168292319399054,5.35771672582117e-05,0.00032553670771594,1.01733953132028,166.779071777514
