"param","m","l","u","rhat","ess"
"sigma",0.00827081712449073,0.00413909476878299,0.0161845098868675,1.01899885236624,110.092285333556
"rho",0.000125721711725123,6.07623025432027e-05,0.000221089533966756,1.00878345073641,110.274026722219
