"X","t","mean","lower","upper","variable","date"
1,1,0.0491387834375457,0.0435655713801418,0.0560310782626097,"Pt","2022-01-05"
2,2,0.0471037451696862,0.0428722921714254,0.0521834308099162,"Pt","2022-01-06"
3,3,0.0452665004382402,0.0418919007131274,0.0491617151668691,"Pt","2022-01-07"
4,4,0.0436395513658307,0.0406264326616617,0.0469714652896501,"Pt","2022-01-08"
5,5,0.0422340243626532,0.0393154586747248,0.0452625608825583,"Pt","2022-01-09"
6,6,0.0410604004362314,0.0382217110698297,0.0441323521703159,"Pt","2022-01-10"
7,7,0.0401204376256049,0.0373866900699355,0.042988708214184,"Pt","2022-01-11"
8,8,0.0393807577451825,0.0366425199207015,0.0422294916707994,"Pt","2022-01-12"
9,9,0.0388033555307391,0.0361352036804806,0.0416510765065765,"Pt","2022-01-13"
10,10,0.0383532277198418,0.0356028135777057,0.041195257031466,"Pt","2022-01-14"
11,11,0.037997112577759,0.0352329794266851,0.0408736846385142,"Pt","2022-01-15"
12,12,0.0377085209245418,0.0347658523447401,0.0406083763034975,"Pt","2022-01-16"
13,13,0.0374827659426641,0.0343914308959191,0.0404869512697417,"Pt","2022-01-17"
14,14,0.0373205748323949,0.0340782348867484,0.0405845633168729,"Pt","2022-01-18"
15,15,0.0372221784640404,0.0336968572018647,0.0408497235737045,"Pt","2022-01-19"
16,16,0.037187366590152,0.0333083290409867,0.0413901401271707,"Pt","2022-01-20"
17,17,0.0372144338213142,0.0328382608422096,0.0418192518960992,"Pt","2022-01-21"
18,18,0.0372946525272056,0.0322801197456231,0.0425228634876514,"Pt","2022-01-22"
19,19,0.0374166046133385,0.031771626549834,0.0431746526127085,"Pt","2022-01-23"
20,20,0.0375670288985892,0.0313555118451546,0.0441202892866779,"Pt","2022-01-24"
21,21,0.037730753085187,0.030886659626982,0.0452835234937156,"Pt","2022-01-25"
22,22,0.0378925063872599,0.0302423031681095,0.0462014973787609,"Pt","2022-01-26"
23,23,0.0380405449989647,0.0297611123544435,0.0468763883691362,"Pt","2022-01-27"
24,24,0.0381634233695717,0.0296546108029754,0.0481232608549644,"Pt","2022-01-28"
25,25,0.0382483482480358,0.029548761664964,0.0488787769379791,"Pt","2022-01-29"
26,26,0.0382813610104316,0.0294827612866839,0.0491789349757848,"Pt","2022-01-30"
27,27,0.0382492478521801,0.0296303058630994,0.0488369210880905,"Pt","2022-01-31"
28,28,0.0381428973642969,0.0299005329575552,0.0488415869353208,"Pt","2022-02-01"
29,29,0.0379545196349393,0.0300449296459916,0.0479761052976581,"Pt","2022-02-02"
30,30,0.0376761673463271,0.030121279805822,0.0473280688632918,"Pt","2022-02-03"
31,31,0.037299925350657,0.030181408091078,0.046199541390768,"Pt","2022-02-04"
32,32,0.0368215686794649,0.0303043664542519,0.0445514243676391,"Pt","2022-02-05"
33,33,0.0362486464588852,0.0305117993599285,0.0431744931459217,"Pt","2022-02-06"
34,34,0.035590889057508,0.0307430647700489,0.041658581797652,"Pt","2022-02-07"
35,35,0.0348562957619373,0.0305824288021209,0.0396620243474972,"Pt","2022-02-08"
36,36,0.0340510251540974,0.0302897367113679,0.0383264668540825,"Pt","2022-02-09"
37,37,0.0331851170371912,0.0300142256751634,0.0367560051890002,"Pt","2022-02-10"
38,38,0.0322871226409841,0.0293282780049037,0.0351741028378119,"Pt","2022-02-11"
39,39,0.0313878465952295,0.0287812897517458,0.0338456398315699,"Pt","2022-02-12"
40,40,0.0305144761876551,0.0281060419811781,0.0328201317296714,"Pt","2022-02-13"
41,41,0.0296906683131655,0.0272970584207276,0.0319316810810741,"Pt","2022-02-14"
42,42,0.0289353351954827,0.0267034573447536,0.0311628123134036,"Pt","2022-02-15"
43,43,0.028257565241667,0.0259171714360673,0.0304574534608087,"Pt","2022-02-16"
44,44,0.0276637197377663,0.0252996519769626,0.029956994619714,"Pt","2022-02-17"
45,45,0.0271593386230709,0.0248452968994305,0.0294530785058498,"Pt","2022-02-18"
46,46,0.0267494154532025,0.0244515803376266,0.0291098786687488,"Pt","2022-02-19"
47,47,0.0264398329641969,0.0241482280694945,0.0287783531927951,"Pt","2022-02-20"
48,48,0.0262397632101525,0.0239617094855407,0.0284949122969048,"Pt","2022-02-21"
49,49,0.0261596377301523,0.02379904547323,0.028454151607154,"Pt","2022-02-22"
50,50,0.0262104861681533,0.0236746783408241,0.0286734270050317,"Pt","2022-02-23"
51,51,0.0264045350895755,0.0237741579226555,0.0289648386696138,"Pt","2022-02-24"
52,52,0.0267542368923229,0.0239438678501224,0.0294513980781329,"Pt","2022-02-25"
53,53,0.027266429653035,0.0243433791777919,0.0301404863907236,"Pt","2022-02-26"
54,54,0.0279482068432875,0.0248081575992078,0.0309961496195536,"Pt","2022-02-27"
55,55,0.0288084942232078,0.0254940799568116,0.0322257896969402,"Pt","2022-02-28"
56,56,0.0298581099076627,0.0263763657725461,0.0334648008553964,"Pt","2022-03-01"
57,57,0.0311064616789923,0.0274588481024856,0.0350286878935196,"Pt","2022-03-02"
58,58,0.0325486231036831,0.0287862896298596,0.0365248346751819,"Pt","2022-03-03"
59,59,0.0341741558115023,0.0302519949540618,0.0381533678660874,"Pt","2022-03-04"
60,60,0.0359687688015528,0.0320169298031115,0.0400620152119912,"Pt","2022-03-05"
61,61,0.0379127350351475,0.0339114223638277,0.0421189901066633,"Pt","2022-03-06"
62,62,0.0399858452291371,0.0361000473025866,0.0440579370622965,"Pt","2022-03-07"
63,63,0.0421863755703516,0.0383991457524783,0.0461642230640345,"Pt","2022-03-08"
64,64,0.0445170621894967,0.0408288844344894,0.0484672964366934,"Pt","2022-03-09"
65,65,0.0469787800671031,0.0434577217852269,0.0506391611335103,"Pt","2022-03-10"
66,66,0.0495699765390292,0.0460651613175086,0.0529764810315314,"Pt","2022-03-11"
67,67,0.0522779480932282,0.049019022415136,0.0556663860892887,"Pt","2022-03-12"
68,68,0.0550484592169446,0.0518300483282089,0.0582937427252376,"Pt","2022-03-13"
69,69,0.0578056980412216,0.0546134241226594,0.0609510670649932,"Pt","2022-03-14"
70,70,0.0604594179915698,0.0569998917355672,0.0638128938813329,"Pt","2022-03-15"
71,71,0.0629058828466894,0.0591568568064751,0.0665350951627788,"Pt","2022-03-16"
72,72,0.0650555467434123,0.0613288246159677,0.0687507204256759,"Pt","2022-03-17"
73,73,0.0669154941863839,0.0631515929610852,0.0707258964182588,"Pt","2022-03-18"
74,74,0.0685264498322105,0.0648303500795052,0.0720617999192023,"Pt","2022-03-19"
75,75,0.0699368691984907,0.0661907396102354,0.0737044679679711,"Pt","2022-03-20"
76,76,0.071200972008975,0.0671385372409228,0.0752662668257865,"Pt","2022-03-21"
77,77,0.0723653905260085,0.0681993901559476,0.0762011974033982,"Pt","2022-03-22"
78,78,0.0734284255695146,0.0691269184538498,0.0775948136986731,"Pt","2022-03-23"
79,79,0.0743750683714987,0.0699568893799824,0.0787362114992815,"Pt","2022-03-24"
80,80,0.0751887053315672,0.0705592257790078,0.0799870785415676,"Pt","2022-03-25"
81,81,0.0758517679683827,0.0710329830080151,0.0811694208538107,"Pt","2022-03-26"
82,82,0.0763530527298942,0.0712227166483735,0.0819193953065828,"Pt","2022-03-27"
83,83,0.0767047632768686,0.0713228282431492,0.0824830330655626,"Pt","2022-03-28"
84,84,0.0769264563540634,0.0704335982628481,0.083525081098562,"Pt","2022-03-29"
85,85,0.0770387272921285,0.0696461816204736,0.0848165580981951,"Pt","2022-03-30"
86,86,0.0770635503617355,0.067972018416287,0.0868196710103732,"Pt","2022-03-31"
87,1,NA,NA,NA,"rt","2022-01-05"
88,2,-0.0415675190506704,-0.083666822137085,-0.00759215678345371,"rt","2022-01-06"
89,3,-0.0393996286526288,-0.0757167693947834,-0.0103127743597512,"rt","2022-01-07"
90,4,-0.0364504783492497,-0.0667843831080477,-0.0114233314293425,"rt","2022-01-08"
91,5,-0.0327188117200405,-0.0576558823003837,-0.0121114228554487,"rt","2022-01-09"
92,6,-0.0282044856528213,-0.0478673052599707,-0.0105204871778039,"rt","2022-01-10"
93,7,-0.0231615234325219,-0.0401925859453313,-0.00685213025389812,"rt","2022-01-11"
94,8,-0.0186025664157977,-0.0350423208846705,-0.00237678383762814,"rt","2022-01-12"
95,9,-0.0147842818395342,-0.0325320758768784,0.00366655724967413,"rt","2022-01-13"
96,10,-0.0117092925751234,-0.0292464468959175,0.00710143784052766,"rt","2022-01-14"
97,11,-0.00937930172085078,-0.0251249061682229,0.00691102777453884,"rt","2022-01-15"
98,12,-0.00767046868205903,-0.0245314005596618,0.0102705057120409,"rt","2022-01-16"
99,13,-0.00608084363758644,-0.025032186979855,0.0145445819896669,"rt","2022-01-17"
100,14,-0.00448451317578663,-0.0248786270599212,0.0177614335489827,"rt","2022-01-18"
101,15,-0.00288081086461134,-0.0248222793818307,0.0195658297674522,"rt","2022-01-19"
102,16,-0.00126943090137428,-0.0244798717023992,0.0216368847301386,"rt","2022-01-20"
103,17,0.000292856016530706,-0.0253407749875561,0.0264009069302837,"rt","2022-01-21"
104,18,0.00158181294210093,-0.0266357334471475,0.0328402077915594,"rt","2022-01-22"
105,19,0.00254285034429858,-0.0286165094424245,0.0347698301875603,"rt","2022-01-23"
106,20,0.00317815352425353,-0.0262879701639419,0.0343366521713227,"rt","2022-01-24"
107,21,0.0034896567352905,-0.0244669364918913,0.0329868276875459,"rt","2022-01-25"
108,22,0.00348449639305451,-0.0229406461809427,0.0317848797155814,"rt","2022-01-26"
109,23,0.00318867699481256,-0.0230152602180846,0.0311204400173325,"rt","2022-01-27"
110,24,0.00260973158939391,-0.0237774185805327,0.0306461544582274,"rt","2022-01-28"
111,25,0.00174923251414755,-0.0220274289750391,0.0277181628026928,"rt","2022-01-29"
112,26,0.000608216686748942,-0.0223368587074567,0.0242524721001802,"rt","2022-01-30"
113,27,-0.00081238210997866,-0.0231512764745812,0.0234347966339347,"rt","2022-01-31"
114,28,-0.00250802708481206,-0.0244889552239468,0.0224806469800916,"rt","2022-02-01"
115,29,-0.00447751453900969,-0.0283308014997318,0.0224526800314647,"rt","2022-02-02"
116,30,-0.00672057846054488,-0.0308226957606105,0.019566027758675,"rt","2022-02-03"
117,31,-0.00923747632826883,-0.034448334892358,0.0180486419391505,"rt","2022-02-04"
118,32,-0.0119794767928659,-0.0392639694150514,0.0158240095266002,"rt","2022-02-05"
119,33,-0.0147464455678735,-0.0426486518091861,0.01297917121832,"rt","2022-02-06"
120,34,-0.0174869336949105,-0.0470952691116608,0.0105484413834473,"rt","2022-02-07"
121,35,-0.0201988111398361,-0.0499370891393109,0.00781311146874596,"rt","2022-02-08"
122,36,-0.0228802210670144,-0.0524939967671502,0.00441060333616045,"rt","2022-02-09"
123,37,-0.0253928036044438,-0.0531200138229858,-5.86529911089441e-05,"rt","2022-02-10"
124,38,-0.0271846179238792,-0.0543400731959204,-0.0019807964972197,"rt","2022-02-11"
125,39,-0.0281146842012274,-0.053081342931223,-0.00430681031059728,"rt","2022-02-12"
126,40,-0.0281790176693232,-0.0512945955182287,-0.00686339604138897,"rt","2022-02-13"
127,41,-0.0273740633885981,-0.0475480170663072,-0.00936427639423366,"rt","2022-02-14"
128,42,-0.0257796480360188,-0.045570767737415,-0.00864566556493973,"rt","2022-02-15"
129,43,-0.0237231848958229,-0.0435443110582517,-0.00671823153373286,"rt","2022-02-16"
130,44,-0.0212859947130725,-0.0407907750306307,-0.00412895790916122,"rt","2022-02-17"
131,45,-0.0184671993319133,-0.0368495291009593,-0.00154536688520602,"rt","2022-02-18"
132,46,-0.0152664175720832,-0.0319016600606114,0.000383746187754045,"rt","2022-02-19"
133,47,-0.0116705011385506,-0.030089311501623,0.00432190095184498,"rt","2022-02-20"
134,48,-0.00762526864693796,-0.0270702592806818,0.0101236151414983,"rt","2022-02-21"
135,49,-0.00311749269066807,-0.0237991798854635,0.0152017288572542,"rt","2022-02-22"
136,50,0.00185211282304775,-0.0171652866438577,0.0200748613335405,"rt","2022-02-23"
137,51,0.00728198449160282,-0.0108088438171315,0.0250284050060379,"rt","2022-02-24"
138,52,0.0130777449316602,-0.00532331913030079,0.0322513856508254,"rt","2022-02-25"
139,53,0.0188706258131676,-0.00160153955808566,0.0387272563384658,"rt","2022-02-26"
140,54,0.0245669365248621,0.00391064493306711,0.0450707824978216,"rt","2022-02-27"
141,55,0.0301647675225214,0.0108819172671311,0.0509494105699689,"rt","2022-02-28"
142,56,0.0356618919047905,0.0178381399340275,0.0549920993607223,"rt","2022-03-01"
143,57,0.0409092406869746,0.023590995888113,0.0596922110441646,"rt","2022-03-02"
144,58,0.0453217395627518,0.0272054907063135,0.065111449636589,"rt","2022-03-03"
145,59,0.048755768562797,0.0300800179416928,0.0697196285188502,"rt","2022-03-04"
146,60,0.0512159367526977,0.0329210450362797,0.0708935158206863,"rt","2022-03-05"
147,61,0.0527083611245201,0.0361744880485986,0.0702548463702157,"rt","2022-03-06"
148,62,0.0533694112765804,0.0359683812802524,0.0703315587211604,"rt","2022-03-07"
149,63,0.0537227411468707,0.0349529416391131,0.0726126855570812,"rt","2022-03-08"
150,64,0.0538997603484532,0.0347839411550751,0.0745096268706297,"rt","2022-03-09"
151,65,0.0539026931390297,0.0358953245927618,0.0730247183181088,"rt","2022-03-10"
152,66,0.0537341401340135,0.0369669133634428,0.071297662561972,"rt","2022-03-11"
153,67,0.0532164257092918,0.0377287870644482,0.07033207221039,"rt","2022-03-12"
154,68,0.0516372225973748,0.035772672835028,0.0695116718126423,"rt","2022-03-13"
155,69,0.0488316984937984,0.0327586499988056,0.0660334366596564,"rt","2022-03-14"
156,70,0.0448164626749454,0.029359159608889,0.0606316968401946,"rt","2022-03-15"
157,71,0.0396064494737046,0.0262232087995269,0.0530218458344239,"rt","2022-03-16"
158,72,0.0335754012725101,0.0212000615208867,0.0452945661191878,"rt","2022-03-17"
159,73,0.0281776025245305,0.0134493782685307,0.041349386137124,"rt","2022-03-18"
160,74,0.0237671738432513,0.00844648995961831,0.0374461383014253,"rt","2022-03-19"
161,75,0.0203362489349666,0.00566963751221462,0.0338995783980357,"rt","2022-03-20"
162,76,0.0178786043570339,0.0043206386792801,0.03074615431399,"rt","2022-03-21"
163,77,0.0162020370687728,0.00225301396443346,0.029804321814482,"rt","2022-03-22"
164,78,0.0145594689144574,-0.000466013217832274,0.0304998085890284,"rt","2022-03-23"
165,79,0.0127661145750771,-0.00164995418420277,0.029065553334579,"rt","2022-03-24"
166,80,0.0108239595827794,-0.0037641800430654,0.0262787841855626,"rt","2022-03-25"
167,81,0.00873361842506246,-0.00563880130741567,0.023747313756806,"rt","2022-03-26"
168,82,0.0065513939472636,-0.0102505271379637,0.0237027012358239,"rt","2022-03-27"
169,83,0.00450902593561722,-0.0168333491698761,0.0263867781120343,"rt","2022-03-28"
170,84,0.0026634440236031,-0.0243923458806053,0.0291823917132237,"rt","2022-03-29"
171,85,0.00101362509289022,-0.0310007744823426,0.0322161180853391,"rt","2022-03-30"
172,86,-0.000442473631183491,-0.0379588065441915,0.0349510727349651,"rt","2022-03-31"
173,1,NA,NA,NA,"Rt","2022-01-05"
174,2,NA,NA,NA,"Rt","2022-01-06"
175,3,NA,NA,NA,"Rt","2022-01-07"
176,4,NA,NA,NA,"Rt","2022-01-08"
177,5,NA,NA,NA,"Rt","2022-01-09"
178,6,NA,NA,NA,"Rt","2022-01-10"
179,7,NA,NA,NA,"Rt","2022-01-11"
180,8,NA,NA,NA,"Rt","2022-01-12"
181,9,NA,NA,NA,"Rt","2022-01-13"
182,10,NA,NA,NA,"Rt","2022-01-14"
183,11,NA,NA,NA,"Rt","2022-01-15"
184,12,NA,NA,NA,"Rt","2022-01-16"
185,13,NA,NA,NA,"Rt","2022-01-17"
186,14,NA,NA,NA,"Rt","2022-01-18"
187,15,0.879660538622843,0.789857620592126,0.979999643895598,"Rt","2022-01-19"
188,16,0.902021156490669,0.806932529966518,1.01535685225348,"Rt","2022-01-20"
189,17,0.923148680038894,0.812473289594799,1.04489569327303,"Rt","2022-01-21"
190,18,0.942661765605527,0.817941494765666,1.07774984466951,"Rt","2022-01-22"
191,19,0.960264308543112,0.814358412090879,1.11183673372037,"Rt","2022-01-23"
192,20,0.975765324424888,0.814661385011773,1.13997299909683,"Rt","2022-01-24"
193,21,0.989046134592449,0.816866395405855,1.173913392416,"Rt","2022-01-25"
194,22,1.00004378763705,0.82061893032857,1.20288662164967,"Rt","2022-01-26"
195,23,1.0087693017938,0.829209792330303,1.22449600265739,"Rt","2022-01-27"
196,24,1.0152004186131,0.830886409415083,1.23940061498739,"Rt","2022-01-28"
197,25,1.0192363795332,0.835418319694113,1.24407770518131,"Rt","2022-01-29"
