"param","m","l","u","rhat","ess"
"sigma",0.0102883785409201,0.00712381713451904,0.0143241983129932,1.0068794811344,113.432348139997
"rho",0.000187444423418355,0.000132478877539734,0.000266971612990154,1.00280965077271,164.127692076436
