"X","t","mean","lower","upper","variable","date"
1,1,0.0153717698625912,0.0107430009846993,0.0202322600686997,"Pt","2020-12-30"
2,2,0.0152197661516106,0.0110684518297797,0.0195701754668352,"Pt","2020-12-31"
3,3,0.0150767795671495,0.0114729921693904,0.0189197731063119,"Pt","2021-01-01"
4,4,0.0149418665445528,0.0118301813493224,0.0182402079111438,"Pt","2021-01-02"
5,5,0.0148140084973093,0.0121143638679214,0.0176279599953088,"Pt","2021-01-03"
6,6,0.0146920924162637,0.0124444787756659,0.0170801240584419,"Pt","2021-01-04"
7,7,0.0145749318979222,0.0126927993234913,0.0165924496114924,"Pt","2021-01-05"
8,8,0.0144612061278831,0.0128842001162127,0.0161690334711755,"Pt","2021-01-06"
9,9,0.0143496546009877,0.0129674469970638,0.0157333023613378,"Pt","2021-01-07"
10,10,0.0142390406573664,0.013049607847852,0.0154607678870276,"Pt","2021-01-08"
11,11,0.0141281364335004,0.0130157867521508,0.0152363220626944,"Pt","2021-01-09"
12,12,0.0140145022752101,0.0129184453750566,0.0150678617507672,"Pt","2021-01-10"
13,13,0.0138915524355413,0.012845187245933,0.0149279866116486,"Pt","2021-01-11"
14,14,0.0137520781746565,0.0126513050489861,0.0148020381987563,"Pt","2021-01-12"
15,15,0.0135891570819917,0.0124561123038158,0.0147232749629149,"Pt","2021-01-13"
16,16,0.0133962544076349,0.0122025349768733,0.0146249074582948,"Pt","2021-01-14"
17,17,0.0131688611526342,0.0119185208696667,0.0144664001944772,"Pt","2021-01-15"
18,18,0.012907509280001,0.0115899617931123,0.0142404401462728,"Pt","2021-01-16"
19,19,0.0126138824547227,0.0112423450703464,0.0140397546646,"Pt","2021-01-17"
20,20,0.012289835397053,0.0108769089292987,0.013772722317036,"Pt","2021-01-18"
21,21,0.0119374025598293,0.0104904408133754,0.0134753389421612,"Pt","2021-01-19"
22,22,0.0115597979358382,0.0101075021103098,0.0131251497055712,"Pt","2021-01-20"
23,23,0.0111629492235234,0.00972427049280863,0.0127821014505759,"Pt","2021-01-21"
24,24,0.0107528566963303,0.00929429897093823,0.0124253530884157,"Pt","2021-01-22"
25,25,0.010334952473349,0.00892515941650627,0.0120348941916566,"Pt","2021-01-23"
26,26,0.0099140909957651,0.00853889008025172,0.0115497311979228,"Pt","2021-01-24"
27,27,0.00949459365451776,0.00816562668205027,0.011118439244973,"Pt","2021-01-25"
28,28,0.00908021046056102,0.00775897589788949,0.0106462536475896,"Pt","2021-01-26"
29,29,0.00867409561088375,0.00737403427246956,0.010212271157159,"Pt","2021-01-27"
30,30,0.00827878679851416,0.00701577961274589,0.00976801833762632,"Pt","2021-01-28"
31,31,0.00789626933048538,0.0066542987098458,0.00929646073427811,"Pt","2021-01-29"
32,32,0.00752810017717296,0.00636462177444704,0.00883911915811839,"Pt","2021-01-30"
33,33,0.00717551671899769,0.00605990870388599,0.00842418088730519,"Pt","2021-01-31"
34,34,0.00683945870032631,0.00576490243826954,0.00799834796453009,"Pt","2021-02-01"
35,35,0.00652056406781526,0.00550412695609575,0.00755816563892208,"Pt","2021-02-02"
36,36,0.00621921418253972,0.00525346830373513,0.00715306498687728,"Pt","2021-02-03"
37,37,0.00593566803473472,0.00503961800884364,0.00679879609246832,"Pt","2021-02-04"
38,38,0.00567015776591151,0.00482061695622172,0.00645172705321239,"Pt","2021-02-05"
39,39,0.00542273694856254,0.00462229257304466,0.00614092226978863,"Pt","2021-02-06"
40,40,0.00519326920390519,0.00446790877786038,0.00585308088701921,"Pt","2021-02-07"
41,41,0.00498147556197418,0.00433407821978228,0.00560492965633325,"Pt","2021-02-08"
42,42,0.00478656349121698,0.00417334668543898,0.00537282893231996,"Pt","2021-02-09"
43,43,0.00460687377719339,0.00403945099343591,0.00515850512253995,"Pt","2021-02-10"
44,44,0.0044407992751185,0.00391801796100514,0.00495343767324512,"Pt","2021-02-11"
45,45,0.00428687109220283,0.00380365996716774,0.00478104635361942,"Pt","2021-02-12"
46,46,0.00414374688441979,0.00367179446764698,0.00462879809636424,"Pt","2021-02-13"
47,47,0.00401020088752614,0.00355243864255034,0.00449264712706042,"Pt","2021-02-14"
48,48,0.00388509926848847,0.0034363311988391,0.00436766538653886,"Pt","2021-02-15"
49,49,0.00376740219942016,0.00332193389159269,0.00424753882332958,"Pt","2021-02-16"
50,50,0.00365614045307099,0.00320623322501446,0.00417167785444983,"Pt","2021-02-17"
51,51,0.00355041469016332,0.00308329612213489,0.00408917137684757,"Pt","2021-02-18"
52,52,0.00344943669415718,0.00297303080598772,0.00401254066777369,"Pt","2021-02-19"
53,53,0.00335253034792162,0.00286953032901617,0.00393797337209561,"Pt","2021-02-20"
54,54,0.0032590444168022,0.00274795204456824,0.00387855640754192,"Pt","2021-02-21"
55,55,0.00316833322491191,0.00263723021035495,0.0038361650873285,"Pt","2021-02-22"
56,56,0.00307977513137981,0.00253478215848883,0.00379295072019866,"Pt","2021-02-23"
57,57,0.00299304974952332,0.00243515506253848,0.00373045974189471,"Pt","2021-02-24"
58,58,0.00290828279869552,0.00234336744791315,0.00367864398088084,"Pt","2021-02-25"
59,59,0.0028256002054053,0.00224525371406761,0.00362498805147837,"Pt","2021-02-26"
60,60,0.00274507397048407,0.00217011893922589,0.00356867404290197,"Pt","2021-02-27"
61,61,0.00266674220560852,0.00209094680168065,0.00348754588961366,"Pt","2021-02-28"
62,62,0.00259069054893755,0.00202192019888603,0.00337832972662173,"Pt","2021-03-01"
63,63,0.00251707243131535,0.00194631726768442,0.00327856920055841,"Pt","2021-03-02"
64,64,0.00244600231015347,0.00188350707173338,0.00319564170378336,"Pt","2021-03-03"
65,65,0.00237753663438998,0.00181720103519277,0.00308437687804772,"Pt","2021-03-04"
66,66,0.00231168966444226,0.00175897797209143,0.00297871676811094,"Pt","2021-03-05"
67,67,0.00224846859528417,0.00171036922646663,0.00286992198196203,"Pt","2021-03-06"
68,68,0.0021878905509001,0.00166673017254594,0.00278411923952892,"Pt","2021-03-07"
69,69,0.00212995997342633,0.00161952121020762,0.00270684761682649,"Pt","2021-03-08"
70,70,0.0020746531869848,0.00158540658621514,0.0026177545378501,"Pt","2021-03-09"
71,71,0.00202192374532201,0.00156017828296994,0.00253117031339159,"Pt","2021-03-10"
72,72,0.00197178197987438,0.00154572894194433,0.00244438622371111,"Pt","2021-03-11"
73,73,0.0019243174953027,0.00152168871032881,0.00237527300067784,"Pt","2021-03-12"
74,74,0.0018795980277359,0.00150210701384545,0.00229036369307076,"Pt","2021-03-13"
75,75,0.00183765868760092,0.00148949379684552,0.00222261066400903,"Pt","2021-03-14"
76,76,0.00179850995111695,0.00145543285144998,0.00215304896618863,"Pt","2021-03-15"
77,77,0.00176208301301205,0.00144494935426427,0.00210047671051415,"Pt","2021-03-16"
78,78,0.00172822310653047,0.00142434280669948,0.00205277649213109,"Pt","2021-03-17"
79,79,0.00169677442479911,0.0013978385480001,0.00201134741029349,"Pt","2021-03-18"
80,80,0.00166757994441895,0.00137373416936401,0.00197537192422716,"Pt","2021-03-19"
