"param","m","l","u","rhat","ess"
"sigma",0.0114645886251478,0.00552092449870997,0.0218666606484554,1.00449316721479,112.72873049566
"rho",0.000263533831719958,0.00016073734123347,0.000449522738553674,1.01039621162256,104.140817573396
