"param","m","l","u","rhat","ess"
"sigma",0.0148468015526433,0.00746906017068686,0.0278963395998158,1.02446817895348,128.883943345874
"rho",0.000278749860720339,0.000122558131539227,0.000499967741145697,1.03701920563479,134.656431985103
