"param","m","l","u","rhat","ess"
"sigma",0.0153520331094563,0.00684510109477521,0.0283546069919219,1.0443243353901,110.12885694968
"rho",0.000112592387045278,1.50613600693461e-05,0.000308029322146118,1.02041113602787,133.472238216259
