"variable","mean","median","sd","lower","upper","rhat","ess_bulk","t","days","t_approximation","date"
"lp__",-23647.7882222222,-23647.6,9.53744188584486,-23667.1575,-23631,1.00587914373419,315.322831584368,NA,NA,NA,NA
"ell",19.2274883255556,7.265915,28.1795391705354,0.294274875,103.605195,1.0284562988828,124.049494780786,NA,NA,NA,NA
"alpha",0.0768521311111111,0.05964005,0.0512433335645145,0.02367178,0.217037325,1.00649426674039,234.242954411126,NA,NA,NA,NA
"rho",0.000128385593333333,0.000122878,4.56589193900881e-05,5.438782e-05,0.0002250353,1.00036321590606,667.842365850784,NA,NA,NA,NA
"eta",-0.328546894892222,-0.318893,0.54784982265598,-1.3743395,0.78899705,1.00699739957883,647.949412367955,NA,NA,1,NA
"eta",-1.10858815801778,-1.109065,0.941183737784817,-3.061911,0.66005465,1.00823168328739,1076.58017144537,NA,NA,2,NA
"eta",0.553789368033333,0.5564535,0.794476608017454,-0.960201525,2.18755025,1.00033838699029,891.504949936912,NA,NA,3,NA
"eta",1.38830494867556,1.39218,0.856027741751564,-0.239221,3.09683125,1.00534801672533,562.524237633722,NA,NA,4,NA
"eta",-0.696671547066667,-0.697411,0.787893098585673,-2.160972,0.8634103,1.00265365243865,1260.56505774243,NA,NA,5,NA
"eta",-0.758607936113333,-0.7525935,0.865278817883429,-2.530351,0.927655275,1.00188332921433,812.305117507996,NA,NA,6,NA
"eta",0.581144127442222,0.57195,0.795274143217795,-0.919024475,2.2008825,1.00830873580119,952.207858937648,NA,NA,7,NA
"eta",-0.0837377273111111,-0.08868815,0.776324442827269,-1.65264075,1.4056925,1.004139010791,1295.13557668381,NA,NA,8,NA
"eta",-0.159773612214444,-0.1315485,0.809423361054706,-1.789252,1.31427875,1.01159667738856,1013.98286904217,NA,NA,9,NA
"eta",0.609188151222222,0.5796875,0.808147773496486,-1.00751245,2.26572575,1.00142645024943,1061.02209116164,NA,NA,10,NA
"eta",-0.344953599937778,-0.304756,0.822070351811184,-1.99769425,1.2282755,1.00579841045335,1013.49750777905,NA,NA,11,NA
"eta",-0.675934970584444,-0.66525,0.865776759127962,-2.2792405,1.01691,1.00906467360292,1273.83223017288,NA,NA,12,NA
"eta",0.4978942145,0.506443,0.846437453016095,-1.08453575,2.14813725,1.00582301625187,1575.64097993981,NA,NA,13,NA
"eta",0.532807549108556,0.538892,0.842560389132518,-1.14984725,2.238321,1.00372157146969,1166.98670705785,NA,NA,14,NA
"eta",-0.239561873144444,-0.235597,0.866417349351954,-1.95575025,1.467579,1.00682832401584,1330.90367197748,NA,NA,15,NA
"eta",-0.247183644377778,-0.2289665,0.858042633729256,-1.9577385,1.41620475,0.999283583635066,1281.24273776234,NA,NA,16,NA
"eta",-0.102436692033333,-0.1178425,0.896730471824385,-1.7175745,1.58198825,1.01095746525292,1593.08098227763,NA,NA,17,NA
"eta",-0.107838005053333,-0.08287965,0.891942115682856,-1.8484425,1.645435,1.00020955595263,1157.36476973235,NA,NA,18,NA
"eta",0.100263677239333,0.08857265,0.918594480674162,-1.70879575,1.85356125,1.00335585219686,725.081500936378,NA,NA,19,NA
"eta",0.364165674597778,0.396322,0.911320513030189,-1.34961075,2.116771,0.999201816744431,933.93288412238,NA,NA,20,NA
"eta",0.139281578127,0.1224185,0.989634824804635,-1.6700535,2.13703325,1.0050424258618,1052.28321090623,NA,NA,21,NA
"eta",-0.330820095211111,-0.3333255,0.92011935026693,-2.05775325,1.51588025,1.00160336195396,1389.64565770183,NA,NA,22,NA
"eta",-0.349552335331111,-0.3079615,0.931629638731027,-2.193301,1.4216675,1.00419081633297,1007.09706537142,NA,NA,23,NA
"eta",0.121763914066667,0.1312875,0.873393115015596,-1.6180805,1.779332,1.00130608678143,1549.29975740838,NA,NA,24,NA
"eta",0.372038941155556,0.3527165,0.939157022830195,-1.381136,2.17853625,0.999952231145243,1420.18916493373,NA,NA,25,NA
"eta",0.173304868444444,0.1484495,0.902255141870265,-1.58108375,2.038105,1.00088310262133,1035.07421421868,NA,NA,26,NA
"eta",-0.312185771324889,-0.3423955,0.928810753283017,-2.0676255,1.62370125,1.00583395774767,1554.55452069795,NA,NA,27,NA
"eta",-0.389822435533333,-0.3883385,0.91164664975664,-2.19474675,1.483461,1.00296206052169,1086.32227879928,NA,NA,28,NA
"eta",0.142548054377778,0.1318725,1.00969864173123,-1.8182005,2.074179,1.00478394437678,1320.28189838771,NA,NA,29,NA
"eta",0.500000903133333,0.4962055,0.910078445074448,-1.223123,2.2057715,1.00083131192771,1165.35639714992,NA,NA,30,NA
"eta",-0.0243811247211111,-0.012739605,0.963569281411839,-1.9140555,1.86929875,1.00134642448952,1359.81119122081,NA,NA,31,NA
"eta",-0.457798308213333,-0.456658,0.971229907834195,-2.3232105,1.386528,1.01628852855887,1061.45660673684,NA,NA,32,NA
"eta",-0.0696890333,-0.0880353,0.954008672817642,-2.0064195,1.92879925,1.00589109807746,1399.21481228594,NA,NA,33,NA
"eta",0.203458673681111,0.2241915,1.00539850423696,-1.70344925,2.1174475,1.00236381100989,1412.31295448255,NA,NA,34,NA
"eta",0.0408023104977778,0.05334335,0.934134859398914,-1.7542885,1.7757305,1.00313712365865,1647.14969303233,NA,NA,35,NA
"eta",0.02828522979,0.0424683,0.980012422822494,-1.785411,2.06305375,1.0214514993496,1594.0043315721,NA,NA,36,NA
"eta",0.105743456942222,0.07263975,0.967503718000127,-1.76643825,1.9789945,1.0199748117217,1160.81389088448,NA,NA,37,NA
"eta",-0.0860192710422222,-0.0762799,0.979067411790574,-2.12543725,1.86123325,1.00053006327338,1532.30567149669,NA,NA,38,NA
"eta",-0.1501887683,-0.1798905,0.953420954568765,-2.054134,1.71716225,1.00771688392241,1980.19202453066,NA,NA,39,NA
"eta",0.0630669459722222,0.0428823,0.934171521154315,-1.755133,1.849134,1.00800424664523,1104.91705131406,NA,NA,40,NA
"eta",0.1352916828,0.1598085,0.985762573859674,-1.721902,2.0460025,1.00028902942967,1729.82890815104,NA,NA,41,NA
"eta",-0.0472721280555556,-0.07531545,0.954884563695162,-1.92084625,1.819673,1.00033088498931,1180.72968025108,NA,NA,42,NA
"eta",-0.00932341610000003,-0.0206607,1.05956377461797,-1.90960125,2.07965,1.0003882622564,1124.70819870099,NA,NA,43,NA
"eta",-0.0487700418533333,-0.02517865,0.96547154824644,-1.9238745,1.80379225,1.00276319559049,1420.33521693734,NA,NA,44,NA
"eta",-0.0172767793766667,-0.05151415,1.02637999801517,-2.00119525,2.0597135,0.997668376548463,1398.46138107212,NA,NA,45,NA
"eta",0.0906334078888889,0.14046,0.958462985284824,-1.80941375,1.85994275,1.00124293758357,1795.95234794582,NA,NA,46,NA
"eta",0.0661235621988889,0.0723921,0.976536828348127,-1.91365075,2.0924995,1.00495025885288,1623.92741178215,NA,NA,47,NA
"eta",-0.0947328944555556,-0.116531,1.05568266176883,-2.1665185,1.88030625,1.0032831604144,1717.88401203405,NA,NA,48,NA
"eta",-0.0710143000377778,-0.05887475,0.931409748547431,-1.903773,1.72880425,1.00057637478151,1102.88173549551,NA,NA,49,NA
"eta",-0.0155947540444445,-0.00194354,0.943534207475192,-1.795009,1.9228685,1.0022478277487,1679.91452525745,NA,NA,50,NA
"eta",0.00979222892222221,-0.0224088,1.00402592979063,-1.926207,1.89905225,1.00319437292614,1719.08560474344,NA,NA,51,NA
"eta",0.0474736692888889,0.08642355,0.971665238510409,-1.76809125,1.80489775,1.01132320226213,1325.15034173366,NA,NA,52,NA
"eta",0.0157369608211111,0.0271955,0.973523809914545,-1.93558775,1.80669775,0.999856247831419,1037.66872137853,NA,NA,53,NA
