"variable","mean","median","sd","lower","upper","rhat","ess_bulk","t","days","t_approximation","date"
"lp__",-55429.7415555556,-55429.6,9.44292295944667,-55448.21,-55411.8,1.00116111069612,215.086879019556,NA,NA,NA,NA
"ell",7.319167772,3.54533,8.05911779685287,0.170924875,26.7203375,1.01063996004409,293.577522694771,NA,NA,NA,NA
"alpha",0.0812287336666667,0.06452355,0.0522181061097155,0.0263379475,0.2188054,1.00485676918024,435.702364410988,NA,NA,NA,NA
"rho",0.000312091906888889,0.0002988235,0.000105493339121256,0.000154176925,0.000579635125,1.00614011664227,786.314271545557,NA,NA,NA,NA
"eta",0.0792478992432222,0.0428399,0.642272973104588,-1.225679,1.42055925,1.00476124063295,581.400539808415,NA,NA,1,NA
"eta",-0.570291264944444,-0.589166,0.915246652881874,-2.2108005,1.186499,1.00498205710001,901.247300944939,NA,NA,2,NA
"eta",-0.126355122122222,-0.120576,0.812582229137855,-1.81188825,1.49639575,1.00266443355472,810.591180392945,NA,NA,3,NA
"eta",0.880931874688889,0.905125,0.829343495611218,-0.706643,2.61737725,0.999996600871911,819.587421166434,NA,NA,4,NA
"eta",0.0575489300222222,0.0785075,0.89625322700565,-1.74968975,1.73031625,0.99909235227991,627.40593455127,NA,NA,5,NA
"eta",-0.874288144666667,-0.877661,0.871997736722824,-2.57970975,0.775559049999999,1.00957390220838,1032.30942172645,NA,NA,6,NA
"eta",0.1342229475,0.1083495,0.811652254783909,-1.2855505,1.87725825,1.0061414212712,786.190653608174,NA,NA,7,NA
"eta",0.558242662811111,0.560511,0.867514949851772,-1.155528,2.199899,1.00093182312761,951.941676096237,NA,NA,8,NA
"eta",-0.502710625966667,-0.5232565,0.784980779076992,-2.077234,0.9587754,1.00111076029479,705.644858412889,NA,NA,9,NA
"eta",0.00660570707777775,0.01970355,0.822077044525331,-1.62716925,1.595239,1.00065734040065,884.68291440918,NA,NA,10,NA
"eta",0.848229319672222,0.8449995,0.861238649112851,-0.77149155,2.59420925,1.00097881058695,1039.48798816102,NA,NA,11,NA
"eta",-0.447187689916667,-0.4654515,0.852454394338532,-2.149968,1.28235175,1.00171943438649,960.70609207301,NA,NA,12,NA
"eta",-0.943040206833333,-0.937404,0.901370759487779,-2.74026175,0.890703575,1.00044579835488,959.017667923814,NA,NA,13,NA
"eta",0.814210622988889,0.7998075,0.824412056898194,-0.80596785,2.37995275,1.00019727234079,966.319266833206,NA,NA,14,NA
"eta",0.731590353323333,0.717663,0.840510429002876,-0.9299166,2.3126195,1.00233928284885,995.141715541095,NA,NA,15,NA
