"variable","mean","median","sd","lower","upper","rhat","ess_bulk","t","days","t_approximation","date"
"lp__",-18496.7701111111,-18496.3,8.28303988337339,-18513.4,-18481.3475,0.999268124482253,304.358458504064,NA,NA,NA,NA
"ell",3.922004009,1.903135,5.93964318646851,0.181595225,19.987525,0.999732308526987,527.920754489084,NA,NA,NA,NA
"alpha",0.101344374333333,0.08842655,0.0538116552064441,0.03094879,0.2335407,1.00138920961428,614.934317490981,NA,NA,NA,NA
"rho",9.97405616666667e-05,8.704085e-05,6.39492294057885e-05,1.6251675e-05,0.000249462625,1.00276040554317,534.699341040406,NA,NA,NA,NA
"eta",0.3356771602,0.294918,0.686710129096943,-0.894490875,1.80167425,1.00856075550243,581.639961384011,NA,NA,1,NA
"eta",-0.378413166212222,-0.3709935,0.875294284031331,-2.08546925,1.31554225,0.998685570102394,555.0019885515,NA,NA,2,NA
"eta",-0.316680578368889,-0.300687,0.819986122394688,-1.923661,1.24150175,1.00981313993043,604.184965357004,NA,NA,3,NA
"eta",0.172396435222222,0.159987,0.812360862027115,-1.4448995,1.806016,1.00552631709633,771.314486045631,NA,NA,4,NA
"eta",0.0502881321566667,0.03238515,0.871504065441604,-1.663145,1.738408,0.998874000988158,740.282168898398,NA,NA,5,NA
"eta",0.401781314370556,0.366492,0.873069697333216,-1.21954575,2.166607,1.00005284398571,896.577950556689,NA,NA,6,NA
"eta",0.246504670333333,0.256181,0.82547077046215,-1.35876525,1.85751725,1.001344345808,731.581034017142,NA,NA,7,NA
"eta",-0.9169871749,-0.9204625,0.884165711979766,-2.65246025,0.866513225,1.00959742601107,581.399878575311,NA,NA,8,NA
"eta",-0.45563451693,-0.479383,0.884949293594461,-2.137738,1.27142875,1.00441544103721,1096.34537397129,NA,NA,9,NA
"eta",0.943033615883333,0.941288,0.881966033244301,-0.8911578,2.6988905,1.00130938674913,799.560755192704,NA,NA,10,NA
"eta",0.220619526753111,0.230862,0.867697726996223,-1.38848325,1.943564,0.999526595188228,783.821477157315,NA,NA,11,NA
"eta",-0.601514100222222,-0.620689,0.847746146366381,-2.223916,1.061019,1.00049619821337,765.827339144487,NA,NA,12,NA
"eta",-0.144416549064444,-0.125153,0.879558221935823,-1.87269325,1.71362,1.00272637916906,749.703755723081,NA,NA,13,NA
"eta",0.283986316344444,0.2906,0.891536224518254,-1.48968475,1.98430675,1.00486565378952,889.963791075758,NA,NA,14,NA
"eta",0.411458696555556,0.4593685,0.940623479433993,-1.3597905,2.1883495,0.999739500298648,805.50983919865,NA,NA,15,NA
"eta",-0.0135545943707778,-0.00961457,0.842036315884975,-1.6201295,1.71706625,1.00455275138017,799.286108068363,NA,NA,16,NA
"eta",-0.645657655593333,-0.635676,0.833972628490287,-2.290313,0.9707881,1.00257330065011,756.581619822422,NA,NA,17,NA
"eta",0.0456383297611111,0.02685305,0.863869033026901,-1.705362,1.780632,1.00251990512061,1162.76835616955,NA,NA,18,NA
"eta",0.730256618385556,0.7162875,0.932445213613608,-1.11447025,2.589892,1.00188326474912,877.277527670747,NA,NA,19,NA
"eta",-0.345935366502222,-0.414224,0.885549718996451,-2.01779275,1.38611825,1.00009280308882,1143.38272730303,NA,NA,20,NA
"eta",-0.492549218618889,-0.5094775,0.927566906646362,-2.1857715,1.2459265,1.00291466480818,1066.58086311431,NA,NA,21,NA
"eta",0.660912812848889,0.6667305,0.910975160835257,-1.011592,2.43243675,1.00087099765165,815.028706637392,NA,NA,22,NA
"eta",0.171135875444444,0.160807,0.962951767713474,-1.741599,2.02937575,1.00101236556771,867.792267149259,NA,NA,23,NA
"eta",-0.694844128333333,-0.684304,0.943313677834757,-2.526616,1.21913375,0.999217526641798,745.810905987165,NA,NA,24,NA
"eta",0.116490125433333,0.1259275,0.960612367583193,-1.711911,2.00668675,1.00260862470113,948.73574015195,NA,NA,25,NA
"eta",0.443549581266667,0.436082,0.964782092467252,-1.449156,2.41003125,1.00677621414492,706.804353304385,NA,NA,26,NA
"eta",-0.200383440977778,-0.2102775,0.972880234561024,-2.18504625,1.66515575,1.0031687785611,760.893347856642,NA,NA,27,NA
"eta",-0.2734501953,-0.2890925,1.00754497080641,-2.16587575,1.764917,1.00537921294907,1158.55584783691,NA,NA,28,NA
"eta",0.0924728752644444,0.05673435,1.02606956132955,-1.87037125,2.15916725,0.99873008176957,818.209211987255,NA,NA,29,NA
"eta",0.170309150266667,0.16812,1.00036775097383,-1.722487,2.13561,1.00209316619378,894.114326073082,NA,NA,30,NA
"eta",0.125818999514444,0.1377405,0.98983800457715,-1.81389025,1.9993955,0.9983594697567,1231.6319263319,NA,NA,31,NA
"eta",-0.190911471935556,-0.191945,0.992847105038398,-2.052546,1.73625525,1.00840408864478,944.13910207216,NA,NA,32,NA
"eta",-0.20471848048,-0.210424,0.972888169096902,-2.03106925,1.7563195,0.998756666159577,1220.0287886514,NA,NA,33,NA
"eta",0.208507618622222,0.212084,0.92817555839463,-1.5392595,1.974777,0.999902077876821,945.634708052023,NA,NA,34,NA
"eta",0.0853964739488889,0.08186765,1.00025327352524,-2.00912275,1.9875705,1.0005956186928,910.764102414378,NA,NA,35,NA
"eta",-0.160970489861111,-0.122611,1.01476106193502,-2.211354,1.87914375,1.01362739695249,1396.53951887413,NA,NA,36,NA
"eta",0.0331334036555556,0.03561615,0.903273894061907,-1.727203,1.82953575,0.999633570775068,1009.80411624455,NA,NA,37,NA
"eta",0.119135984033333,0.1011655,0.976104062032456,-1.90903975,2.11444525,1.00062627496668,857.367350009489,NA,NA,38,NA
"eta",-0.188398531282222,-0.172246,0.993270554577297,-2.19257825,1.7202135,1.00192055259792,1252.10404124031,NA,NA,39,NA
"eta",-0.0739132630711111,-0.1006585,0.91871467635699,-1.829926,1.76085175,1.00341335636999,1200.39422796719,NA,NA,40,NA
"eta",0.190238273040889,0.197682,1.01078289852801,-1.935743,2.2241305,1.00188693772989,548.872470548567,NA,NA,41,NA
"eta",0.0952736833,0.08669295,0.979509352842228,-1.8268665,1.93540175,1.00871459962296,785.468066806359,NA,NA,42,NA
"eta",-0.247659082866667,-0.245674,0.985038443506702,-2.0699235,1.70913275,1.00119152417585,1097.9979700576,NA,NA,43,NA
"eta",-0.0840487974222222,-0.06262025,1.02176959382984,-1.9851325,1.88556875,1.00227652111661,979.169930372883,NA,NA,44,NA
"eta",0.215753162888889,0.2287385,0.9890507063416,-1.73625825,2.23784225,0.999379881971471,1100.69217350771,NA,NA,45,NA
"eta",0.115604839066667,0.101573,0.964172316578987,-1.68015625,1.936051,1.00312487911076,1186.61760781931,NA,NA,46,NA
"eta",-0.211038205755556,-0.1974235,0.964003823374714,-2.02403225,1.7293655,1.00956139910662,1011.30405428986,NA,NA,47,NA
"eta",-0.0727936062866666,-0.0486664,1.04287118827377,-2.1460495,1.92020825,1.00985565545201,843.475278281478,NA,NA,48,NA
"eta",0.128708548044444,0.1805975,1.00713561648625,-1.9142255,1.92276225,1.00751511565725,745.582051696916,NA,NA,49,NA
"eta",0.00480098975999998,-0.009858465,1.03795821560927,-2.0608855,2.00281475,1.00034522157303,877.546254731838,NA,NA,50,NA
"eta",-0.0940936972111111,-0.1268775,0.993184044642383,-1.912048,1.87459425,1.00089531724186,1105.72289876888,NA,NA,51,NA
"eta",0.0361467343233334,0.06221025,0.990227702843859,-1.9457595,1.89934975,1.00196096320762,906.171744291344,NA,NA,52,NA
"init_inc",-6.49499556666667,-6.547475,0.897146473811944,-8.11246875,-4.6537275,1.00679712520522,454.687251292474,NA,NA,NA,NA
"init_growth",-0.0428448880255556,-0.03800145,0.252733324750386,-0.53049595,0.4466878,1.00677601783888,883.06364309271,NA,NA,NA,NA
"prob_detect",9.48033318466667e-05,8.42087e-05,6.61074353978789e-05,3.34982775e-06,0.000252954025,1.00827529513667,581.547197925998,NA,1,NA,NA
"prob_detect",0.000117754979317222,0.0001015115,8.23668956466674e-05,7.5394125e-06,0.0003056809,1.00352496220997,767.935519850183,NA,2,NA,NA
"prob_detect",0.000129615860378889,0.000114069,8.96952021840254e-05,4.29353475e-06,0.000323608025,1.00030343644401,425.861426578798,NA,3,NA,NA
"prob_detect",0.000153301654511111,0.0001406335,0.000102704460420131,8.13642675e-06,0.000413370325,1.00996674383732,675.515830229849,NA,4,NA,NA
"prob_detect",0.000174508690678889,0.0001547425,0.000121530835888001,5.43729375e-06,0.000446206425,1.01025335542792,380.455208436242,NA,5,NA,NA
"prob_detect",0.000214618428424444,0.000199035,0.000145269338413726,1.01766575e-05,0.000529973975,1.00466692231575,382.496125730925,NA,6,NA,NA
"prob_detect",0.000259050528093333,0.000242414,0.000167249569052006,1.58422375e-05,0.00062937965,1.01019827563275,569.102845918812,NA,7,NA,NA
