"X","variable","mean","median","sd","lower","upper","rhat","ess_bulk"
1,"lp__",-55103.694,-55103.3,4.45483921550937,-55113,-55095.7475,1.01155117960879,259.538106031232
2,"a_raw[1]",-2.00544208677778,-2.0962,0.833031887690227,-3.42154675,-0.348351525,1.00429263082136,319.810879468532
3,"a_raw[2]",-2.24500815916667,-2.305485,0.595896882061349,-3.30846725,-1.01913425,1.00417584384954,315.179560828854
4,"a_raw[3]",0.00784380966111112,0.0003771625,0.977258565967178,-1.8889055,1.837823,1.0016859171164,1415.37092211595
5,"a_raw[4]",-0.00591679151333333,-0.000614996,0.958047534870397,-1.845105,1.91303675,1.0022675241766,1341.71252636105
6,"a_raw[5]",-0.0126671374222222,0.00010837,0.992725853821139,-1.83484875,1.88912975,1.00159242383288,822.899993815316
7,"a_raw[6]",0.242029574413333,0.212022,0.928715574255924,-1.4602805,2.1288695,1.00110799010091,598.898525900789
8,"a_raw[7]",0.926244817311111,0.8912055,0.841419075149179,-0.675900675,2.59325325,0.999613695202414,654.601134090717
9,"a_raw[8]",0.338016401201111,0.336765,0.787096239266326,-1.2107775,1.95710725,1.00067454910113,647.822033821303
10,"a_raw[9]",0.294924483333333,0.3216775,0.791109864527405,-1.2719505,1.804078,1.00143253519736,1001.15803085801
11,"a_raw[10]",-0.0138142938822222,0.02473535,0.815894826962018,-1.670574,1.5565355,1.00767848167962,873.583901894464
12,"a_raw[11]",-0.261440594626667,-0.2625165,0.873831347266967,-1.924935,1.5085065,1.00382454730471,766.978109113653
13,"a_raw[12]",-0.506513527288889,-0.539053,0.844375056264774,-2.09727575,1.20279675,1.00267090882199,767.681373880149
14,"a_raw[13]",-0.481179990177778,-0.4605785,0.803008914975601,-2.09455,0.9595205,1.00107671424241,529.223556767816
15,"a_raw[14]",0.3052812059,0.293269,0.792877084527988,-1.1534015,1.863206,0.999310156272934,585.104856646843
16,"a_raw[15]",0.688948743777778,0.690163,0.809261653662256,-0.75518775,2.305569,1.00440155996295,509.924164513457
17,"a_raw[16]",1.08093204833333,1.09299,0.794144407583166,-0.4215277,2.62461375,0.999409969317725,673.75297659017
18,"a_raw[17]",1.0230777154,1.02299,0.827403389352164,-0.61285325,2.58762275,1.00647937768547,643.203773480118
19,"a_raw[18]",0.144609932688889,0.1558165,0.780675095610066,-1.32576925,1.62432425,1.00424437020755,640.686533808751
20,"a_raw[19]",-0.0789496237444444,-0.0818934,0.711615240028958,-1.505732,1.30795375,1.00063449186157,726.809224074592
21,"a_raw[20]",-1.15900142103333,-1.11758,0.701836920283052,-2.61397625,0.194042625,1.00354222749091,986.438466797928
22,"a_raw[21]",-0.353039049926667,-0.3214955,0.750418971326348,-1.75089875,0.997717775,1.00194941468398,740.089124891891
23,"a_raw[22]",-0.409113188055556,-0.394429,0.838458668554394,-2.038886,1.2064945,1.00394982127329,966.040539618651
24,"a_raw[23]",-0.196822917633333,-0.1907025,0.961010065470303,-2.09235725,1.6305555,1.00465625185333,996.645106011817
25,"a_raw[24]",-0.0417405669066667,0.00300512,0.994613576571521,-2.081521,1.93764425,1.00492374940549,947.735564999094
26,"a_raw[25]",-0.0403835457111111,-0.0332004,1.01485065695197,-2.05865675,2.000555,1.00953279220815,1259.3392303395
27,"a_raw[26]",0.0251940493066667,0.03963075,0.978372448032707,-1.9237,1.93825025,1.00245744284587,717.789707976324
28,"sigma",0.151107083666667,0.1403645,0.0540897085272561,0.0785549,0.2835326,1.00450661907057,331.824423967619
29,"rho",0.000290753612111111,0.0002825415,0.000103119850524665,0.0001237732,0.000523971875,1.00972326199561,868.170839465589
30,"a[1]",-2.00544208677778,-2.0962,0.833031887690227,-3.42154675,-0.348351525,1.00429263082136,319.810879468532
31,"a[2]",-2.24500815916667,-2.305485,0.595896882061349,-3.30846725,-1.01913425,1.00417584384954,315.179560828854
32,"a[3]",-2.48671404111111,-2.505045,0.379536893261005,-3.17494925,-1.69853675,1.003415195827,348.371188861713
33,"a[4]",-2.72878151111111,-2.739845,0.1947909631947,-3.0601915,-2.3043985,1.00763342132607,452.473198735955
34,"a[5]",-2.9713829,-2.97197,0.0683872827551832,-3.09501325,-2.83599125,1.00020696127615,810.071923466834
35,"a[6]",-3.17452918888889,-3.172385,0.0533329650306747,-3.29101325,-3.0687405,1.00128149726038,627.7081785882
36,"a[7]",-3.23908715555556,-3.239425,0.0521023345540529,-3.34475475,-3.13697025,1.00025803821054,764.493361613318
37,"a[8]",-3.26245656666667,-3.26401,0.0658303401325709,-3.389479,-3.13074575,0.99894600835381,1055.9084155169
38,"a[9]",-3.24369646666667,-3.24421,0.11656538202729,-3.4833955,-3.0224155,1.00069817119352,1069.07670931569
39,"a[10]",-3.22531022222222,-3.22927,0.145407463757967,-3.52591775,-2.930189,1.00007146149116,760.088603041297
40,"a[11]",-3.24420461111111,-3.24911,0.124182119656783,-3.48386975,-2.9855285,1.00238093653077,758.528657602256
41,"a[12]",-3.33558356666667,-3.336485,0.0679546557041521,-3.4660885,-3.19323075,1.00038858418967,879.952464197387
42,"a[13]",-3.4948612,-3.493605,0.0535941464656084,-3.60014175,-3.39234075,1.00261479809825,816.614003899791
43,"a[14]",-3.61043552222222,-3.609645,0.0578438093291106,-3.72302825,-3.50561475,0.999583548726702,826.313831670865
44,"a[15]",-3.63392444444444,-3.632875,0.0636735674865576,-3.7644665,-3.51562375,1.00189035377256,821.457296663723
45,"a[16]",-3.50613693333333,-3.50107,0.0759874078639194,-3.6629605,-3.36104725,1.0056775403555,768.159467092602
46,"a[17]",-3.23808198888889,-3.237395,0.0704847793408747,-3.37675925,-3.100393,0.999911105244175,867.687225862733
47,"a[18]",-2.95332904444444,-2.952535,0.0478275595264264,-3.05356825,-2.863207,1.00173082743459,958.3325775291
48,"a[19]",-2.67344423333333,-2.67308,0.0439510889789679,-2.7613815,-2.58336775,1.00153470289043,837.219755328563
49,"a[20]",-2.56219896666667,-2.561815,0.0436404696472594,-2.64894275,-2.47837225,1.00542453626172,992.937630641395
50,"a[21]",-2.49055773333333,-2.4915,0.0512265294494892,-2.5930875,-2.38642675,1.0027638650143,949.002239385464
51,"a[22]",-2.47946185555556,-2.476815,0.070343219021401,-2.61311175,-2.3472585,0.999347541664547,1216.08648853604
52,"a[23]",-2.50151877777778,-2.491345,0.194288218401497,-2.890873,-2.14182925,1.00498969242196,1128.9622639305
53,"a[24]",-2.53234917777778,-2.506435,0.378077495349066,-3.3109465,-1.80095925,0.999702347978632,1061.7472591479
54,"a[25]",-2.56960848111111,-2.52671,0.608500754151048,-3.83385325,-1.41612325,0.999491709461894,1052.04130644079
55,"a[26]",-2.60186349333333,-2.56016,0.870930741856527,-4.4169395,-0.927008200000001,1.00122378436246,1049.15450625697
56,"Y_hat[1]",-2.96480696666667,-2.967885,0.067948224973104,-3.088945,-2.82418675,1.00367934737976,612.719553522683
57,"Y_hat[2]",-3.00846047777778,-3.012395,0.0536857958906882,-3.1057145,-2.899398,1.00162081617431,724.049981425289
58,"Y_hat[3]",-3.04974275555556,-3.051225,0.0439252075417067,-3.1298655,-2.9622265,0.999489491197328,905.176649592935
59,"Y_hat[4]",-3.0878606,-3.08781,0.0388729809268045,-3.16185975,-3.01010875,0.998856401537575,901.644910453459
60,"Y_hat[5]",-3.12202105555556,-3.121145,0.037512277834294,-3.19602625,-3.048955,0.998116039006715,851.848633586617
61,"Y_hat[6]",-3.15143113333333,-3.150965,0.037574327523114,-3.22538125,-3.0754255,1.00034212949619,808.357305695741
62,"Y_hat[7]",-3.17555976666667,-3.17663,0.0372617047963206,-3.24833725,-3.10287225,0.99969724921913,831.68805883523
63,"Y_hat[8]",-3.19492375555556,-3.19554,0.0367933851164483,-3.269216,-3.12148475,0.998224618061789,921.246316700464
64,"Y_hat[9]",-3.21030278888889,-3.210875,0.03698363003923,-3.2836805,-3.13587925,1.00031807625224,953.74216943345
65,"Y_hat[10]",-3.22247608888889,-3.223055,0.0380286781520778,-3.29907925,-3.1473685,1.00085887329535,928.009646191779
66,"Y_hat[11]",-3.23222248888889,-3.234095,0.0393539432002874,-3.30990575,-3.15553475,1.00000239588397,885.740602346597
67,"Y_hat[12]",-3.24019008888889,-3.239345,0.0405414827363467,-3.32373825,-3.1623225,0.998800287298933,873.39903735383
68,"Y_hat[13]",-3.2465027,-3.24661,0.0424564350627956,-3.334951,-3.165449,0.998710932976668,889.991681431924
69,"Y_hat[14]",-3.25115274444444,-3.252715,0.0460061067562423,-3.34442225,-3.162935,0.998683598719146,916.248311380892
70,"Y_hat[15]",-3.25413254444444,-3.25575,0.0512918597304553,-3.35607975,-3.156149,1.00116674680235,974.060918249452
71,"Y_hat[16]",-3.25543471111111,-3.255135,0.0578464846296634,-3.368074,-3.14244,1.00304394274647,1029.75543253446
72,"Y_hat[17]",-3.25510983333333,-3.253495,0.0654146690803786,-3.382773,-3.13168275,1.00284353246608,1070.17762272933
73,"Y_hat[18]",-3.25343993333333,-3.25228,0.0741971489637225,-3.40049325,-3.1142575,1.00182523983661,1084.69850431645
74,"Y_hat[19]",-3.24742432222222,-3.24716,0.0940391897248202,-3.43051175,-3.075715,1.00109576635408,1051.79588213778
75,"Y_hat[20]",-3.32319854444444,-3.32374,0.0680930589550561,-3.4562675,-3.18689025,1.00099069227758,898.475142967221
76,"Y_hat[21]",-3.34689995555556,-3.347285,0.0595386159730735,-3.4661935,-3.22253275,1.00056603471183,928.096360417314
77,"Y_hat[22]",-3.37317486666667,-3.3741,0.0521966949363045,-3.475613,-3.266008,0.999555506402836,975.855989609618
78,"Y_hat[23]",-3.40127282222222,-3.39998,0.0464265041151174,-3.49943675,-3.31163875,1.00043610226233,983.558419803999
79,"Y_hat[24]",-3.43030115555556,-3.42905,0.0428325744424548,-3.518823,-3.351518,0.999433137574178,975.326936904868
80,"Y_hat[25]",-3.4593668,-3.457545,0.0414021548178831,-3.54326475,-3.3833415,0.999948865086408,962.414238939844
81,"Y_hat[26]",-3.48757735555556,-3.48646,0.0411815086707968,-3.57330475,-3.411705,1.00134197642875,972.676505115602
82,"Y_hat[27]",-3.51412398888889,-3.513395,0.0411301875094255,-3.5958955,-3.43687125,1.00279888019103,1003.93787676421
