"X","t","mean","lower","upper","variable","date"
35,35,0.0156259838093,0.0116686133366226,0.020539237716041,"Pt","2021-10-13"
36,36,0.0159790761438861,0.0121667812742124,0.0207901647127322,"Pt","2021-10-14"
37,37,0.0162829472413811,0.0126789993897694,0.0209225858493734,"Pt","2021-10-15"
38,38,0.0165304609488329,0.013153898609845,0.0206580353604328,"Pt","2021-10-16"
39,39,0.0167143101436978,0.013753610805552,0.020505233481431,"Pt","2021-10-17"
40,40,0.0168266582948885,0.0141274188785156,0.0201557018156379,"Pt","2021-10-18"
41,41,0.0168594780363011,0.0144712988419265,0.019691134145498,"Pt","2021-10-19"
42,42,0.0168070812522848,0.0146192171301884,0.0191689105573362,"Pt","2021-10-20"
43,43,0.0166672000965896,0.0146343683525202,0.0186537198668505,"Pt","2021-10-21"
44,44,0.0164386437267947,0.0145918488091138,0.0182174251681987,"Pt","2021-10-22"
45,45,0.0161211167782494,0.0144818034947086,0.0176739145800617,"Pt","2021-10-23"
46,46,0.0157162136898411,0.0142423952700994,0.0171089598595037,"Pt","2021-10-24"
47,47,0.0152417877399947,0.0139246630917011,0.016491034519165,"Pt","2021-10-25"
48,48,0.0147313530741002,0.0135636317869786,0.01593051689424,"Pt","2021-10-26"
49,49,0.0142157303915182,0.0131536750571309,0.0153589857513784,"Pt","2021-10-27"
50,50,0.013721378076172,0.0126210287708172,0.0148716602560895,"Pt","2021-10-28"
51,51,0.0132703370269775,0.0120729692147245,0.014450223654325,"Pt","2021-10-29"
52,52,0.0128720787359096,0.0116414051242554,0.0141415159577029,"Pt","2021-10-30"
53,53,0.0125257775139826,0.0112633496730274,0.0139275511961838,"Pt","2021-10-31"
54,54,0.0122304275324593,0.0108976952642617,0.0136706045123735,"Pt","2021-11-01"
55,55,0.0119852374635937,0.0106010451486208,0.0135128717599859,"Pt","2021-11-02"
56,56,0.0117897389541685,0.0103044223506049,0.0134227282104689,"Pt","2021-11-03"
57,57,0.0116413264953366,0.0099884750928263,0.0133647586442446,"Pt","2021-11-04"
58,58,0.011535291720047,0.0096647279315083,0.0135781698851965,"Pt","2021-11-05"
59,59,0.0114666829836046,0.00940983848042632,0.0138350015758559,"Pt","2021-11-06"
60,60,0.0114300644891394,0.00920838679856536,0.0141167505858611,"Pt","2021-11-07"
61,61,0.0114196534268916,0.00904150404221188,0.0144007619048509,"Pt","2021-11-08"
62,62,0.0114305787493909,0.00884161303460881,0.014558217145699,"Pt","2021-11-09"
63,63,0.0114588201152406,0.00881516706854988,0.0147730886897772,"Pt","2021-11-10"
64,64,0.0115002014027262,0.00870729189287655,0.015017228791096,"Pt","2021-11-11"
65,65,0.0115502373643605,0.00865377835671791,0.0151907759603028,"Pt","2021-11-12"
66,66,0.0116044508472798,0.00865167103141793,0.0156045362266225,"Pt","2021-11-13"
67,67,0.011659836831776,0.0087688852420326,0.0156034157764307,"Pt","2021-11-14"
68,68,0.0117142097242753,0.00888200235890408,0.0157170647169677,"Pt","2021-11-15"
69,69,0.0117649124820347,0.00905307004445177,0.0157153450016898,"Pt","2021-11-16"
70,70,0.011808682974177,0.00912199645804417,0.0155686642327161,"Pt","2021-11-17"
71,71,0.0118421189908941,0.00926141578496073,0.0153427687771804,"Pt","2021-11-18"
72,72,0.0118635501536893,0.00948073919889693,0.015289709310624,"Pt","2021-11-19"
73,73,0.0118722254041783,0.00966927971593257,0.0150320735464861,"Pt","2021-11-20"
74,74,0.011866891598839,0.00986989056801874,0.0147415874368296,"Pt","2021-11-21"
75,75,0.0118456216909726,0.0100682442774261,0.0143321100323163,"Pt","2021-11-22"
76,76,0.0118068289129729,0.0102363805744328,0.0138990584761144,"Pt","2021-11-23"
77,77,0.0117552910283971,0.0103566019414224,0.0134982183071206,"Pt","2021-11-24"
78,78,0.0116988643012287,0.0104367360656459,0.0131482306876786,"Pt","2021-11-25"
79,79,0.0116447455221093,0.0105321513087569,0.0129439176128881,"Pt","2021-11-26"
80,80,0.0115993460449841,0.0105453971684522,0.0127868943855353,"Pt","2021-11-27"
81,81,0.0115686372566579,0.0105237544795745,0.012689884961581,"Pt","2021-11-28"
82,82,0.0115586450729878,0.0105381778472386,0.0125882144379019,"Pt","2021-11-29"
83,83,0.0115755758855867,0.0105588281883538,0.0125883102798653,"Pt","2021-11-30"
84,84,0.0116255899730373,0.0105083140978001,0.0126878050402425,"Pt","2021-12-01"
85,85,0.0117148427810599,0.0105865603431258,0.0128767479399581,"Pt","2021-12-02"
86,86,0.0118493528388735,0.0106444881708603,0.0130591775831599,"Pt","2021-12-03"
87,87,0.0120325377940464,0.0107849626056093,0.0133069116251007,"Pt","2021-12-04"
88,88,0.0122671877976501,0.010986425370017,0.0135905123564104,"Pt","2021-12-05"
89,89,0.0125565437922176,0.0112083681636102,0.0138984154758942,"Pt","2021-12-06"
90,90,0.0129043320086914,0.0115837297118675,0.0142518555189983,"Pt","2021-12-07"
91,91,0.013314627286855,0.0118986959997658,0.0146723338966091,"Pt","2021-12-08"
92,92,0.0137898054171551,0.0123474166078002,0.0151908878655126,"Pt","2021-12-09"
93,93,0.0143318889531088,0.0127094912659495,0.0158853074381048,"Pt","2021-12-10"
94,94,0.0149431426981186,0.0131576875296819,0.0167470685866692,"Pt","2021-12-11"
95,95,0.0156262100442733,0.0135234870703571,0.0178059021086907,"Pt","2021-12-12"
96,96,0.0163845364101223,0.0138628039940747,0.0191935158132827,"Pt","2021-12-13"
97,97,0.0172216815225136,0.0140676498133331,0.0209035115030589,"Pt","2021-12-14"
98,98,0.0181413322997624,0.0140938048498891,0.0231038670582733,"Pt","2021-12-15"
99,99,0.0191470145184963,0.0142016572959526,0.0255487254941124,"Pt","2021-12-16"
100,100,0.0202419119303924,0.0140970595661102,0.0290498618344135,"Pt","2021-12-17"
101,1,NA,NA,NA,"rt","2021-09-09"
102,2,-0.00925421436779291,-0.070461692966922,0.040002573329628,"rt","2021-09-10"
103,3,-0.00837409674831262,-0.0638208720552353,0.0379473866460842,"rt","2021-09-11"
104,4,-0.00688658835423473,-0.0570153106173166,0.0354412859826716,"rt","2021-09-12"
105,5,-0.0047916099365282,-0.0474036959503872,0.0336668886233019,"rt","2021-09-13"
106,6,-0.00208922338721926,-0.0390608412456747,0.031017061139768,"rt","2021-09-14"
107,7,0.00105729630186854,-0.0300842253311471,0.0297539318522631,"rt","2021-09-15"
108,8,0.00408642203844391,-0.0243473541707181,0.0308631212280293,"rt","2021-09-16"
