"X","variable","mean","median","sd","lower","upper","rhat","ess_bulk"
1,"lp__",-23316.9578888889,-23316.5,5.59580269256076,-23328.8525,-23307.1,1.00621503447613,259.141743464359
2,"a_raw[1]",-4.04057532777778,-4.009715,0.743017602411778,-5.713089,-2.61999025,1.0067908189384,645.327738567877
3,"a_raw[2]",-4.07046648888889,-4.04664,0.568214465756451,-5.29529325,-2.95287175,1.00774610634422,633.36233546176
4,"a_raw[3]",-0.02205020376,-0.04065655,0.980593966912333,-1.95972,1.76734075,0.999361800703017,2087.28792082699
5,"a_raw[4]",-0.0359169330444444,-0.05798775,0.980557921688582,-1.82609875,1.969095,1.00375972758603,1311.13572304554
6,"a_raw[5]",-0.0323820964333333,-0.002686705,1.0748353224783,-2.15605425,2.04654125,1.0053723752343,1607.75342878606
7,"a_raw[6]",-0.0190220000755555,-0.0219473,0.988142720331702,-1.9821445,1.99121375,0.999766165012922,1351.13414576436
8,"a_raw[7]",-0.0184811837333333,-0.00719671,0.976414883721762,-1.91138625,1.92050625,0.998290587632483,1349.07645999906
9,"a_raw[8]",-0.135395262655556,-0.1692175,0.940218133317164,-1.9151,1.6812475,1.00004698441395,896.369628704916
10,"a_raw[9]",-1.0095398016,-1.0129,0.885157683427621,-2.64179775,0.727782624999999,1.01217037777775,1397.05697705904
11,"a_raw[10]",-1.07049350082778,-1.066325,0.879184212866165,-2.76163425,0.703522775,1.00790244525347,1614.43450670479
12,"a_raw[11]",-0.605593699457778,-0.569077,0.950649194398226,-2.56013225,1.150857,1.00358984710237,1876.20177245152
13,"a_raw[12]",-0.171565389574444,-0.180233,0.86691386538414,-1.70712625,1.5587805,1.00108617439811,1110.06530684327
14,"a_raw[13]",0.195782631077778,0.1914645,0.882228787141465,-1.51822675,1.866115,1.00128412384293,1644.43339401514
15,"a_raw[14]",0.608401453555556,0.5940745,0.84154745788431,-1.01556275,2.349594,1.00121522382971,1156.1140086096
16,"a_raw[15]",0.428535577762222,0.42024,0.872483697319985,-1.3372845,2.1101895,0.998990033125667,1207.99352621229
17,"a_raw[16]",0.186131645924444,0.145798,0.87292511961594,-1.48369525,1.929818,1.01029816327855,1210.20996869469
18,"a_raw[17]",-0.0334669774222222,-0.02771085,0.960012807531502,-2.1012925,1.9396065,1.01600077613221,2009.51733483938
19,"a_raw[18]",0.104029300612222,0.1450975,0.9633935206219,-1.83740525,1.86167425,1.00321746204207,2159.526868718
20,"a_raw[19]",0.167035417566667,0.175387,0.987105763459279,-1.77007175,2.06134225,1.00176596265484,1939.92937741356
