"X","variable","mean","median","sd","lower","upper","rhat","ess_bulk"
1,"lp__",-26024.872,-26024.2,5.80702600792605,-26037.1,-26014.4,1.00780632518915,380.061627078932
2,"a_raw[1]",-4.98803436444444,-5.02024,1.1923201401565,-7.2295635,-2.6461275,1.01182155049703,495.626074270376
3,"a_raw[2]",-5.1754522,-5.19027,0.97445523152277,-7.09384175,-3.334999,1.01303654048695,493.572580409464
4,"a_raw[3]",7.1698522222227e-05,0.01167875,1.06544635003523,-2.03645025,2.08435025,1.00487774776967,1332.07144219724
5,"a_raw[4]",-0.0182955882555556,-0.02938685,1.03076194168018,-2.0818595,1.99931475,1.00588679013167,842.531966473457
6,"a_raw[5]",-0.0411484435355555,-0.0240394,0.996964607206231,-1.94793425,1.89118825,1.01603902259688,1406.89645164024
7,"a_raw[6]",-0.0432769745888889,-0.0243544,0.9740034927276,-1.99920275,1.885481,1.00191958244509,1171.55161336436
8,"a_raw[7]",-0.0354937563777778,-0.03970425,1.02251008641066,-2.06793775,1.834786,1.00729158393167,893.434087515942
9,"a_raw[8]",-0.0857801545,-0.08339705,1.02564975091871,-2.10324625,1.92022475,1.00586571654352,895.901590312124
10,"a_raw[9]",0.00793804597111112,0.00930383,0.926358598705642,-1.77327275,1.8514835,1.00248210962115,1065.2329299852
11,"a_raw[10]",0.431972339852222,0.4380035,0.932415710391221,-1.3457435,2.21771275,1.00641223412484,1372.26857110374
12,"a_raw[11]",0.596256662266778,0.5807585,0.882187155279806,-1.12520275,2.30587025,1.00653263974824,1074.86913773606
13,"a_raw[12]",0.446430754566667,0.4517375,0.962339704167515,-1.431907,2.34641425,1.00549642393899,1344.47270837307
14,"a_raw[13]",0.256406513622222,0.265118,0.971570194861297,-1.64790825,2.083289,1.00430779749878,1158.63036604474
15,"a_raw[14]",0.0415703156,0.0854091,0.953853454147864,-1.7379855,1.9592275,1.00291217638318,1072.64357687267
