start_round,end_round,iter,success,maxrhat,miness,time_taken,num_obs,num_days
1.0,7.0,1,true,1.019480552682725,124.75889471760223,63.53933906555176,147,217
1.0,7.0,2,true,1.0143037411554063,111.90077031266416,65.99120879173279,147,217
1.0,7.0,3,true,1.0190642652355115,148.55520771180238,71.27172613143921,147,217
1.0,7.0,4,true,1.0393438920795341,119.07052149184383,48.9014790058136,147,217
1.0,7.0,5,true,1.0190618362608341,116.3843323070086,44.12877082824707,147,217
1.0,7.0,6,true,1.0196628474251104,129.09003957651362,66.00200700759888,147,217
1.0,7.0,7,true,1.0142045904347914,124.68770460109359,63.16751408576965,147,217
1.0,7.0,8,true,1.0186632143557381,104.08922430384894,52.972880125045776,147,217
1.0,7.0,9,true,1.0234124281181691,123.12637970405206,57.931604862213135,147,217
1.0,7.0,10,true,1.0422019747106193,116.39369292284607,49.00953197479248,147,217
