start_round,end_round,iter,success,maxrhat,miness,time_taken,num_obs,num_days
1.0,15.0,1,true,1.0424947886081453,118.07393587867422,152.3140048980713,308,557
1.0,15.0,2,true,1.0365529679917298,120.15665897383958,218.18569684028625,308,557
1.0,15.0,3,true,1.0217904408255662,109.68797100694049,224.3418309688568,308,557
1.0,15.0,4,true,1.0314237316471893,111.31124945875003,186.19998788833618,308,557
1.0,15.0,5,true,1.0256556520019269,104.2438830315306,234.63312602043152,308,557
1.0,15.0,6,true,1.0227981700434072,112.39541259818343,235.86309099197388,308,557
1.0,15.0,7,true,1.0231914792193617,111.19602110460134,186.72249817848206,308,557
1.0,15.0,8,true,1.0159162632254157,116.48094988188772,226.53166794776917,308,557
1.0,15.0,9,true,1.0235481212160868,100.40629803130126,170.88861799240112,308,557
1.0,15.0,10,true,1.0416507887651574,100.06323002690216,171.62635207176208,308,557
