"start_round","end_round","iter","success","maxrhat","miness","time_taken","num_obs","num_days","iter_sampling","iter_warmup"
1,12,1,TRUE,1.03895300322183,144.89025485008,94.6419999999998,247,403,300,200
1,12,2,TRUE,1.02420164567302,243.574671930705,121.896999999999,247,403,300,200
1,12,3,FALSE,1.21712960201178,10.0271654368297,1644.51,247,403,300,200
1,12,4,TRUE,1.03162742531048,146.682827987259,118.224,247,403,300,200
1,12,5,FALSE,1.8076941519096,4.56153057679973,90.7309999999998,247,403,300,200
1,12,6,TRUE,1.04250288352374,140.691525845053,154.469000000001,247,403,300,200
1,12,7,FALSE,2.95272727958502,3.5045886766301,117.478999999999,247,403,300,200
1,12,8,TRUE,1.02485932377788,186.029986621972,103.210999999999,247,403,300,200
1,12,9,TRUE,1.02409729989339,248.968903669174,174.824000000001,247,403,300,200
1,12,10,TRUE,1.0214221719171,140.848895979588,92.0279999999984,247,403,300,200
1,12,11,TRUE,1.02828493416907,115.742454700684,93.8459999999995,247,403,300,200
1,12,12,TRUE,1.02174032376983,196.593827969813,108.162,247,403,300,200
1,12,13,TRUE,1.02383581937074,148.646539557368,273.719999999999,247,403,300,200
