start_round,end_round,iter,success,maxrhat,miness,time_taken,num_obs,num_days
1.0,5.0,1,true,1.0120820629723029,115.84636242566502,40.23972511291504,108,158
1.0,5.0,2,true,1.0173954414702955,120.65330328694643,45.77187395095825,108,158
1.0,5.0,3,true,1.0122370700077243,103.34895655624156,29.86879301071167,108,158
1.0,5.0,4,true,1.0371189823149196,106.32261616928868,42.1567599773407,108,158
1.0,5.0,5,true,1.0315427355391131,114.45236896307094,38.85639214515686,108,158
1.0,5.0,6,true,1.027754229906114,128.82690035479706,36.49952006340027,108,158
1.0,5.0,7,true,1.0361515574645326,137.7683426676503,45.92324113845825,108,158
1.0,5.0,8,true,1.0151047572920537,117.16869047738726,36.79654598236084,108,158
1.0,5.0,9,true,1.012595250965735,126.77110432463766,40.072673082351685,108,158
1.0,5.0,10,true,1.02709038700653,114.54920409535413,39.134434938430786,108,158
