start_round,end_round,iter,success,maxrhat,miness,time_taken,num_obs,num_days
1.0,9.0,1,true,1.0338866373070765,108.31540661178731,212.6479640007019,190,298
1.0,9.0,2,true,1.0227787417065484,105.10390186887746,266.0444130897522,190,298
1.0,9.0,3,true,1.0436137729709152,106.73533250100719,257.5392518043518,190,298
1.0,9.0,4,true,1.0302094895682625,123.937026958542,235.83258295059204,190,298
1.0,9.0,5,true,1.0256042279834874,102.09504184564362,282.5185401439667,190,298
1.0,9.0,6,true,1.015381360783808,121.81413264103188,250.0292899608612,190,298
1.0,9.0,7,true,1.0402851687847448,103.57418082743865,211.00398802757263,190,298
1.0,9.0,8,true,1.0429642107020636,112.52377394244293,267.52580404281616,190,298
1.0,9.0,9,true,1.0257968261367942,101.33282649684749,232.18969583511353,190,298
1.0,9.0,10,true,1.0353567802537504,106.0377598384376,202.38679695129395,190,298
