"start_round","end_round","iter","success","maxrhat","miness","time_taken","num_obs","num_days","iter_sampling","iter_warmup","max_treedepth"
1,2,1,FALSE,1.08036310799983,35.5556556245867,4.22500000000582,51,68,300,200,15
1,2,2,FALSE,1.03577312037105,86.031642938277,5.28299999999581,51,68,300,200,15
1,2,3,TRUE,1.02732785943585,139.509645297531,9.88000000000466,51,68,300,200,15
1,2,4,TRUE,1.01662309584717,124.578769249123,4.25,51,68,300,200,15
1,2,5,FALSE,1.04011480576045,79.5225139428014,6.16400000001886,51,68,300,200,15
1,2,6,TRUE,1.02550274428864,193.139953550169,9.84200000000419,51,68,300,200,15
1,2,7,FALSE,1.35670574288799,7.12332824492774,5.47200000000885,51,68,300,200,15
1,2,8,FALSE,1.03583468245405,87.7607951535334,13.9060000000172,51,68,300,200,15
1,2,9,FALSE,1.10563596717667,26.2584855657805,4.31499999997322,51,68,300,200,15
1,2,10,FALSE,1.10677968828547,19.6371936168387,5.09700000000885,51,68,300,200,15
1,2,11,FALSE,1.10740113037211,23.7667266329251,9.15300000002026,51,68,300,200,15
1,2,12,FALSE,1.02991480242842,94.843604122018,3.80499999999302,51,68,300,200,15
1,2,13,FALSE,1.10052697830397,25.472169635272,3.8859999999986,51,68,300,200,15
1,2,14,TRUE,1.02207774861953,201.349099230117,13.7680000000109,51,68,300,200,15
1,2,15,TRUE,1.02040712837781,156.273778730105,6.26800000001094,51,68,300,200,15
1,2,16,FALSE,1.05372247925017,51.7251982339462,5.98000000001048,51,68,300,200,15
1,2,17,FALSE,1.23571824368127,10.8832405658509,3.73500000001513,51,68,300,200,15
1,2,18,FALSE,1.84458490115405,4.45163509120836,4.02400000000489,51,68,300,200,15
1,2,19,TRUE,1.01534043443915,229.910773898895,5.4210000000021,51,68,300,200,15
1,2,20,FALSE,1.31203027646568,7.95675353831721,5.24400000000605,51,68,300,200,15
1,2,21,TRUE,1.03831441719727,137.35594472366,6.33100000000559,51,68,300,200,15
1,2,22,TRUE,1.03487465048417,100.16608124495,5.7269999999844,51,68,300,200,15
1,2,23,FALSE,1.38827115976007,6.80988673026183,6.25,51,68,300,200,15
1,2,24,FALSE,1.15254587031258,16.5126297734871,4.13099999999395,51,68,300,200,15
1,2,25,FALSE,1.08244102738166,26.9949955146147,4.69999999998254,51,68,300,200,15
1,2,26,TRUE,1.01846614606154,191.109909494503,8.65400000000955,51,68,300,200,15
1,2,27,TRUE,1.01464617135406,118.231314633412,17.2850000000035,51,68,300,200,15
