start_round,end_round,iter,success,maxrhat,miness,time_taken,num_obs,num_days
1.0,8.0,1,true,1.0257219655194165,123.27921624543015,83.15629005432129,171,267
1.0,8.0,2,true,1.0349662717765393,107.39045608725246,72.25077295303345,171,267
1.0,8.0,3,true,1.0208077043178994,113.30901416037958,66.57206201553345,171,267
1.0,8.0,4,true,1.0285899058455157,152.4943515136908,88.48894000053406,171,267
1.0,8.0,5,true,1.0220312134108922,128.4360630426448,54.08069896697998,171,267
1.0,8.0,6,true,1.0390421248434978,102.04691569212213,69.11618685722351,171,267
1.0,8.0,7,true,1.0444902685445048,112.94451661540322,68.67899703979492,171,267
1.0,8.0,8,true,1.027238743233599,111.74146330423,83.78844904899597,171,267
1.0,8.0,9,true,1.011675757277135,132.97072251695948,77.3358998298645,171,267
1.0,8.0,10,true,1.036751329293934,103.10266804577753,73.78447604179382,171,267
