start_round,end_round,iter,success,maxrhat,miness,time_taken,num_obs,num_days
1.0,1.0,1,true,1.0357229486272987,111.51213946616984,17.358062028884888,32,32
1.0,1.0,2,true,1.013346757273441,121.70872252540774,16.676809072494507,32,32
1.0,1.0,3,true,1.0143469008708235,102.39421638175581,12.659842014312744,32,32
1.0,1.0,4,true,1.0091396550772895,130.56235640052148,18.481930017471313,32,32
1.0,1.0,5,true,1.0101725750378259,150.2270739110185,18.479681968688965,32,32
1.0,1.0,6,true,1.0393190725070198,100.37902927158093,14.725443840026855,32,32
1.0,1.0,7,true,1.0358363866406117,104.34627007508679,16.2901508808136,32,32
1.0,1.0,8,true,1.0189624508077095,108.478526767729,14.886482000350952,32,32
1.0,1.0,9,true,1.0403404178124782,147.51747124901627,20.486053943634033,32,32
1.0,1.0,10,true,1.0194927481149592,150.36485589701877,18.39268207550049,32,32
