start_round,end_round,iter,success,maxrhat,miness,time_taken,num_obs,num_days
1.0,17.0,1,true,1.0273342687151654,133.68347390396735,219.51148796081543,352,634
1.0,17.0,2,true,1.0358806799618308,101.07271281088802,232.95238304138184,352,634
1.0,17.0,3,true,1.0297172363708096,117.88537226067018,233.55322909355164,352,634
1.0,17.0,4,true,1.0125338067073983,104.89370695247885,177.33384203910828,352,634
1.0,17.0,5,true,1.0482965254606704,112.74429485172318,210.38378620147705,352,634
1.0,17.0,6,true,1.0179363464135625,108.2287477056266,264.8072371482849,352,634
1.0,17.0,7,true,1.0294230826346804,103.49923590126133,234.34928798675537,352,634
1.0,17.0,8,true,1.040590291710175,105.4972965005998,257.572603225708,352,634
1.0,17.0,9,true,1.0369219986600287,100.54527647373948,222.45154690742493,352,634
1.0,17.0,10,true,1.0146813479377337,101.17614655137086,235.1737778186798,352,634
