"start_round","end_round","iter","success","maxrhat","miness","time_taken","num_obs","num_days","iter_sampling","iter_warmup","max_treedepth"
1,4,1,TRUE,1.02288136442271,269.669820406118,24.8450000000012,90,131,300,200,15
1,4,2,TRUE,1.0254542350605,216.335014540738,18.8949999999895,90,131,300,200,15
1,4,3,TRUE,1.01395363776291,213.005326820383,29.1420000000217,90,131,300,200,15
1,4,4,TRUE,1.01089493548038,305.775750816758,25.5900000000256,90,131,300,200,15
1,4,5,TRUE,1.01348014104385,361.967618820184,23.3550000000105,90,131,300,200,15
1,4,6,TRUE,1.03652107797183,111.685494660694,26.7889999999898,90,131,300,200,15
1,4,7,TRUE,1.02348936066877,324.956286093971,31.9590000000026,90,131,300,200,15
1,4,8,TRUE,1.03187944446907,211.168816260862,18.4370000000054,90,131,300,200,15
1,4,9,TRUE,1.00925914604388,278.244708804654,34.0050000000047,90,131,300,200,15
1,4,10,TRUE,1.02190637191001,234.414433704365,22.3990000000049,90,131,300,200,15
