start_round,end_round,iter,success,maxrhat,miness,time_taken,num_obs,num_days
1.0,1.0,1,true,1.0302362241981131,119.78327906650016,16.707427978515625,32,32
1.0,1.0,2,true,1.0171915125428732,132.8605180263685,10.121408939361572,32,32
1.0,1.0,3,true,1.0469979958712183,123.85270766225592,9.852967023849487,32,32
1.0,1.0,4,true,1.0087377852901998,102.21000628975332,7.455432176589966,32,32
1.0,1.0,5,true,1.0359581515961105,119.27314107259966,10.219147205352783,32,32
1.0,1.0,6,true,1.0349532469775748,123.04873027967656,9.144860982894897,32,32
1.0,1.0,7,true,1.0129281176482854,109.30903016557296,9.26361083984375,32,32
1.0,1.0,8,true,1.0295408418199874,109.19903416856353,7.451361894607544,32,32
1.0,1.0,9,true,1.0267510134540696,106.13476224737535,9.443098068237305,32,32
1.0,1.0,10,true,1.018467202061751,127.25222019583389,7.627331972122192,32,32
