"start_round","end_round","iter","success","maxrhat","miness","time_taken","num_obs","num_days","iter_sampling","iter_warmup","max_treedepth"
1,3,1,TRUE,1.02673362615242,133.669221532656,6.12899999998626,70,103,300,200,15
1,3,2,TRUE,1.02574817863046,116.281758637262,5.61600000000908,70,103,300,200,15
1,3,3,TRUE,1.0267087871182,129.399449704454,4.41899999999441,70,103,300,200,15
1,3,4,TRUE,1.02009993436076,181.865071117238,6.32099999999627,70,103,300,200,15
1,3,5,FALSE,1.05176754691202,115.133064448987,5.85800000000745,70,103,300,200,15
1,3,6,FALSE,1.30992594745196,7.66741288428842,5.55199999999604,70,103,300,200,15
1,3,7,TRUE,1.02976696337481,126.129509985617,5.04500000001281,70,103,300,200,15
1,3,8,TRUE,1.01852407371204,287.714702892274,6.19500000000698,70,103,300,200,15
1,3,9,TRUE,1.01767149304538,239.531059227571,5.54899999999907,70,103,300,200,15
1,3,10,FALSE,1.03925469409862,93.1775042731471,6.35000000000582,70,103,300,200,15
1,3,11,TRUE,1.03094960707259,183.44515930202,5.4440000000177,70,103,300,200,15
1,3,12,FALSE,1.06711650481868,40.9793063133311,6.40499999999884,70,103,300,200,15
1,3,13,TRUE,1.0162360942963,273.060845137657,5.60400000002119,70,103,300,200,15
1,3,14,FALSE,1.07153459693973,44.9300063481177,4.98699999999371,70,103,300,200,15
1,3,15,TRUE,1.03924407497925,144.692717543435,5.17999999999302,70,103,300,200,15
